,Rank,"Player (yrs, age)",Wins Above Replacement,Bats/Throws
0,1.,"Albert Pujols (20, 40)",100.7,R
1,2.,"Mike Trout (10, 28)",74.6,R
2,3.,"Zack Greinke (17, 36)",72.2,R
3,4.,"Justin Verlander (16, 37)",71.8,R
4,5.,"Miguel Cabrera (18, 37)",69.6,R
5,5.,"Clayton Kershaw (13, 32)",69.6,L
6,7.,"Robinson Cano (16, 37)",69.1,L
7,8.,"Max Scherzer (13, 35)",62.3,R
8,9.,"Joey Votto (14, 36)",62.1,L
9,10.,"Cole Hamels (15, 36)",59.4,L
10,11.,"Evan Longoria (13, 34)",56.7,R
11,12.,"Dustin Pedroia (14, 36)",51.6,R
12,13.,"Felix Hernandez (15, 34)",50.1,R
13,14.,"Ryan Braun (14, 36)",46.9,R
14,15.,"Bartolo Colon (21, 47)",45.8,R
15,16.,"Mookie Betts (7, 27)",45.4,R
16,17.,"Chris Sale (10, 31)",45.3,L
17,18.,"Paul Goldschmidt (10, 32)",45.1,R
18,19.,"Jon Lester (15, 36)",44.6,L
19,19.,"Andrew McCutchen (12, 33)",44.6,R
20,21.,"Brett Gardner (13, 36)",43.0,L
21,22.,"Buster Posey (11, 33)",41.8,R
22,23.,"Josh Donaldson (10, 34)",41.5,R
23,24.,"Giancarlo Stanton (11, 30)",41.0,R
24,24.,"Adam Wainwright (15, 38)",41.0,R
25,26.,"Yadier Molina (17, 37)",40.4,R
26,27.,"Manny Machado (9, 27)",39.8,R
27,28.,"Nelson Cruz (16, 39)",39.7,R
28,29.,"David Price (12, 34)",39.4,L
29,30.,"Nolan Arenado (8, 29)",39.1,R
30,31.,"Freddie Freeman (11, 30)",38.8,L
31,32.,"Ryan Zimmerman (15, 35)",38.5,R
32,33.,"Jason Heyward (11, 30)",38.4,L
33,34.,"Jacob deGrom (7, 32)",38.1,L
34,35.,"Andrelton Simmons (9, 30)",36.8,R
35,36.,"Jose Altuve (10, 30)",36.5,R
36,36.,"Madison Bumgarner (12, 30)",36.5,R
37,38.,"Lorenzo Cain (11, 34)",36.4,R
38,39.,"Edwin Encarnacion (16, 37)",35.7,R
39,40.,"Alex Gordon (14, 36)",35.1,L
40,41.,"Shin-Soo Choo (16, 37)",34.6,L
41,42.,"Anthony Rizzo (10, 30)",34.5,L
42,43.,"Nick Markakis (15, 36)",34.0,L
43,44.,"Justin Upton (14, 32)",33.9,R
44,45.,"Bryce Harper (9, 27)",33.7,L
45,46.,"Kyle Seager (10, 32)",33.4,L
46,47.,"Stephen Strasburg (11, 31)",33.3,R
47,48.,"Corey Kluber (10, 34)",32.3,R
48,48.,"Christian Yelich (8, 28)",32.3,L
49,50.,"Johnny Cueto (13, 34)",32.1,R
50,51.,"Carlos Santana (11, 34)",31.4,B
51,52.,"Anthony Rendon (8, 30)",31.2,R
52,53.,"Elvis Andrus (12, 31)",30.5,R
53,54.,"Michael Brantley (12, 33)",30.4,L
54,55.,"Starling Marte (9, 31)",29.9,R
55,56.,"Justin Turner (12, 35)",29.5,R
56,57.,"Asdrubal Cabrera (14, 34)",29.1,B
57,58.,"Francisco Lindor (6, 26)",28.7,B
58,59.,"Gio Gonzalez (13, 34)",28.6,R
59,60.,"Matt Carpenter (10, 34)",28.3,L
60,61.,"Jose Ramirez (8, 27)",28.1,B
61,62.,"George Springer (7, 30)",27.5,R
62,63.,"Kevin Kiermaier (8, 30)",27.4,L
63,64.,"Anibal Sanchez (15, 36)",27.3,R
64,65.,"Carlos Correa (6, 25)",26.3,R
65,66.,"Gerrit Cole (8, 29)",26.0,R
66,67.,"Jake Arrieta (11, 34)",25.9,R
67,68.,"Brandon Crawford (10, 33)",25.5,L
68,69.,"Brandon Belt (10, 32)",25.1,L
69,70.,"Yu Darvish (8, 33)",25.0,R
70,70.,"Josh Reddick (12, 33)",25.0,L
71,72.,"Todd Frazier (10, 34)",24.8,R
72,72.,"DJ LeMahieu (10, 31)",24.8,R
73,74.,"Jose Quintana (9, 31)",24.4,R
74,75.,"Kris Bryant (6, 28)",24.3,R
75,76.,"Carlos Gonzalez (12, 34)",24.2,L
76,76.,"Lance Lynn (9, 33)",24.2,B
77,76.,"Salvador Perez (9, 30)",24.2,R
78,79.,"José Abreu (7, 33)",24.0,R
79,80.,"J.D. Martinez (10, 32)",23.6,R
80,81.,"Alex Bregman (5, 26)",23.4,R
81,82.,"Brian Dozier (9, 33)",23.1,R
82,83.,"Xander Bogaerts (8, 27)",23.0,R
83,84.,"J.A. Happ (14, 37)",22.9,L
84,85.,"Erick Aybar (12, 36)",22.7,B
85,86.,"Marcus Semien (8, 29)",22.3,R
86,87.,"Dallas Keuchel (9, 32)",21.9,L
87,88.,"Jason Kipnis (10, 33)",21.8,L
88,88.,"Jean Segura (9, 30)",21.8,R
89,90.,"Aaron Nola (6, 27)",21.7,R
90,91.,"Yoenis Céspedes (8, 34)",21.6,R
91,91.,"Matt Kemp (15, 35)",21.6,R
92,93.,"Carlos Carrasco (11, 33)",21.4,R
93,94.,"Kyle Hendricks (7, 30)",21.3,R
94,94.,"Jordan Zimmermann (12, 34)",21.3,R
95,96.,"Marcell Ozuna (8, 29)",21.1,R
96,97.,"Matt Chapman (4, 27)",21.0,R
97,97.,"Trevor Story (5, 27)",21.0,R
98,99.,"Kurt Suzuki (14, 36)",20.3,R
99,100.,"Aaron Judge (5, 28)",20.2,R
