,Rank,"Player (yrs, age)",WAR Position Players,Bats
0,1.,"Albert Pujols (20, 40)",100.7,R
1,2.,"Mike Trout (10, 28)",74.6,R
2,3.,"Miguel Cabrera (18, 37)",69.6,R
3,4.,"Robinson Cano (16, 37)",69.1,L
4,5.,"Joey Votto (14, 36)",62.1,L
5,6.,"Evan Longoria (13, 34)",56.7,R
6,7.,"Dustin Pedroia (14, 36)",51.6,R
7,8.,"Ryan Braun (14, 36)",46.9,R
8,9.,"Mookie Betts (7, 27)",45.4,R
9,10.,"Paul Goldschmidt (10, 32)",45.1,R
10,11.,"Andrew McCutchen (12, 33)",44.6,R
11,12.,"Brett Gardner (13, 36)",43.0,L
12,13.,"Buster Posey (11, 33)",41.8,R
13,14.,"Josh Donaldson (10, 34)",41.5,R
14,15.,"Giancarlo Stanton (11, 30)",41.0,R
15,16.,"Yadier Molina (17, 37)",40.4,R
16,17.,"Manny Machado (9, 27)",39.8,R
17,18.,"Nelson Cruz (16, 39)",39.7,R
18,19.,"Nolan Arenado (8, 29)",39.1,R
19,20.,"Freddie Freeman (11, 30)",38.8,L
20,21.,"Ryan Zimmerman (15, 35)",38.5,R
21,22.,"Jason Heyward (11, 30)",38.4,L
22,23.,"Andrelton Simmons (9, 30)",36.8,R
23,24.,"Jose Altuve (10, 30)",36.5,R
24,25.,"Lorenzo Cain (11, 34)",36.4,R
25,26.,"Edwin Encarnacion (16, 37)",35.7,R
26,27.,"Alex Gordon (14, 36)",35.2,L
27,28.,"Shin-Soo Choo (16, 37)",34.6,L
28,29.,"Anthony Rizzo (10, 30)",34.5,L
29,30.,"Nick Markakis (15, 36)",34.0,L
30,31.,"Justin Upton (14, 32)",33.9,R
31,32.,"Bryce Harper (9, 27)",33.7,L
32,33.,"Kyle Seager (10, 32)",33.4,L
33,34.,"Christian Yelich (8, 28)",32.3,L
34,35.,"Carlos Santana (11, 34)",31.4,B
35,36.,"Anthony Rendon (8, 30)",31.2,R
36,37.,"Elvis Andrus (12, 31)",30.5,R
37,38.,"Michael Brantley (12, 33)",30.4,L
38,39.,"Starling Marte (9, 31)",29.9,R
39,40.,"Justin Turner (12, 35)",29.5,R
40,41.,"Asdrubal Cabrera (14, 34)",29.1,B
41,42.,"Francisco Lindor (6, 26)",28.7,B
42,43.,"Matt Carpenter (10, 34)",28.3,L
43,44.,"Jose Ramirez (8, 27)",28.1,B
44,45.,"George Springer (7, 30)",27.5,R
45,46.,"Kevin Kiermaier (8, 30)",27.4,L
46,47.,"Carlos Correa (6, 25)",26.3,R
47,48.,"Brandon Crawford (10, 33)",25.5,L
48,49.,"Brandon Belt (10, 32)",25.1,L
49,50.,"Josh Reddick (12, 33)",25.0,L
50,51.,"Todd Frazier (10, 34)",24.8,R
51,51.,"DJ LeMahieu (10, 31)",24.8,R
52,53.,"Kris Bryant (6, 28)",24.3,R
53,54.,"Carlos Gonzalez (12, 34)",24.2,L
54,54.,"Salvador Perez (9, 30)",24.2,R
55,56.,"José Abreu (7, 33)",24.0,R
56,57.,"J.D. Martinez (10, 32)",23.6,R
57,58.,"Alex Bregman (5, 26)",23.4,R
58,59.,"Brian Dozier (9, 33)",23.2,R
59,60.,"Xander Bogaerts (8, 27)",23.0,R
60,61.,"Erick Aybar (12, 36)",22.7,B
61,62.,"Marcus Semien (8, 29)",22.3,R
62,63.,"Jason Kipnis (10, 33)",21.8,L
63,63.,"Jean Segura (9, 30)",21.8,R
64,65.,"Yoenis Céspedes (8, 34)",21.6,R
65,65.,"Matt Kemp (15, 35)",21.6,R
66,67.,"Marcell Ozuna (8, 29)",21.1,R
67,68.,"Matt Chapman (4, 27)",21.0,R
68,68.,"Trevor Story (5, 27)",21.0,R
69,70.,"Kurt Suzuki (14, 36)",20.3,R
70,71.,"Aaron Judge (5, 28)",20.2,R
71,72.,"AJ Pollock (9, 32)",20.1,R
72,73.,"Jay Bruce (13, 33)",19.8,L
73,73.,"Dexter Fowler (13, 34)",19.8,B
74,73.,"J.T. Realmuto (7, 29)",19.8,R
75,73.,"Neil Walker (12, 34)",19.8,B
76,77.,"Daniel Murphy (12, 35)",19.6,L
77,77.,"Pablo Sandoval (13, 33)",19.6,B
78,79.,"Cody Bellinger (4, 24)",18.9,L
79,80.,"Didi Gregorius (9, 30)",18.7,L
80,81.,"Adam Eaton (9, 31)",18.6,L
81,82.,"Ender Inciarte (7, 29)",18.3,L
82,82.,"Matt Wieters (12, 34)",18.3,B
83,84.,"Jackie Bradley Jr. (8, 30)",18.0,L
84,84.,"Yasmani Grandal (9, 31)",18.0,B
85,86.,"Charlie Blackmon (10, 33)",17.9,L
86,87.,"Eric Hosmer (10, 30)",17.8,L
87,87.,"Jonathan Lucroy (11, 34)",17.8,R
88,87.,"Corey Seager (6, 26)",17.8,L
89,90.,"Javier Baez (7, 27)",17.7,R
90,90.,"Starlin Castro (11, 30)",17.7,R
91,92.,"Jonathan Schoop (8, 28)",17.3,R
92,93.,"Jed Lowrie (12, 36)",17.0,B
93,94.,"Kole Calhoun (9, 32)",16.9,L
94,94.,"Kolten Wong (8, 29)",16.9,L
95,96.,"Ketel Marte (6, 26)",16.6,B
96,96.,"Trea Turner (6, 27)",16.6,R
97,98.,"Kevin Pillar (8, 31)",16.3,R
98,99.,"Alex Avila (12, 33)",16.1,L
99,100.,"Wilson Ramos (11, 32)",15.7,R
