,Rank,"Player (yrs, age)",Offensive WAR,Bats
0,1.,"Albert Pujols (20, 40)",85.8,R
1,2.,"Miguel Cabrera (18, 37)",79.0,R
2,3.,"Mike Trout (10, 28)",74.2,R
3,4.,"Robinson Cano (16, 37)",68.8,L
4,5.,"Joey Votto (14, 36)",56.1,L
5,6.,"Andrew McCutchen (12, 33)",52.6,R
6,7.,"Ryan Braun (14, 36)",50.2,R
7,8.,"Evan Longoria (13, 34)",45.7,R
8,9.,"Edwin Encarnacion (16, 37)",42.3,R
9,10.,"Shin-Soo Choo (16, 37)",42.0,L
10,11.,"Nelson Cruz (16, 39)",41.4,R
11,11.,"Dustin Pedroia (14, 36)",41.4,R
12,13.,"Jose Altuve (10, 30)",40.2,R
13,14.,"Paul Goldschmidt (10, 32)",39.9,R
14,15.,"Josh Donaldson (10, 34)",38.3,R
15,16.,"Freddie Freeman (11, 30)",37.6,L
16,17.,"Buster Posey (11, 33)",36.8,R
17,18.,"Matt Kemp (15, 35)",36.6,R
18,19.,"Asdrubal Cabrera (14, 34)",36.3,B
19,20.,"Giancarlo Stanton (11, 30)",35.3,R
20,21.,"Ryan Zimmerman (15, 35)",34.4,R
21,22.,"Justin Upton (14, 32)",33.8,R
22,23.,"Carlos Santana (11, 34)",33.1,B
23,24.,"Nick Markakis (15, 36)",32.9,L
24,25.,"Mookie Betts (7, 27)",32.8,R
25,25.,"Bryce Harper (9, 27)",32.8,L
26,27.,"Christian Yelich (8, 28)",32.6,L
27,28.,"Manny Machado (9, 27)",31.1,R
28,29.,"Kyle Seager (10, 32)",30.9,L
29,30.,"Justin Turner (12, 35)",29.8,R
30,31.,"Elvis Andrus (12, 31)",29.7,R
31,31.,"Xander Bogaerts (8, 27)",29.7,R
32,33.,"Matt Carpenter (10, 34)",29.1,L
33,34.,"Anthony Rendon (8, 30)",28.8,R
34,35.,"Dexter Fowler (13, 34)",28.7,B
35,36.,"Brett Gardner (13, 36)",28.1,L
36,37.,"Michael Brantley (12, 33)",28.0,L
37,38.,"J.D. Martinez (10, 32)",27.4,R
38,39.,"Yadier Molina (17, 37)",27.3,R
39,39.,"Anthony Rizzo (10, 30)",27.3,L
40,41.,"Nolan Arenado (8, 29)",26.7,R
41,42.,"Jose Ramirez (8, 27)",25.9,B
42,43.,"José Abreu (7, 33)",25.7,R
43,44.,"Jason Kipnis (10, 33)",25.6,L
44,45.,"Kris Bryant (6, 28)",25.5,R
45,45.,"Daniel Murphy (12, 35)",25.5,L
46,47.,"Brian Dozier (9, 33)",25.0,R
47,48.,"Charlie Blackmon (10, 33)",24.9,L
48,49.,"George Springer (7, 30)",24.8,R
49,50.,"Erick Aybar (12, 36)",24.2,B
50,51.,"Alex Gordon (14, 36)",23.8,L
51,51.,"Francisco Lindor (6, 26)",23.8,B
52,53.,"Starling Marte (9, 31)",23.6,R
53,53.,"Neil Walker (12, 34)",23.6,B
54,55.,"Todd Frazier (10, 34)",23.2,R
55,56.,"Starlin Castro (11, 30)",23.1,R
56,57.,"Lorenzo Cain (11, 34)",22.8,R
57,58.,"Carlos Gonzalez (12, 34)",22.5,L
58,59.,"Jason Heyward (11, 30)",22.4,L
59,60.,"Jed Lowrie (12, 36)",22.1,B
60,61.,"Pablo Sandoval (13, 33)",22.0,B
61,62.,"Carlos Correa (6, 25)",21.8,R
62,63.,"Alex Bregman (5, 26)",21.7,R
63,64.,"Jean Segura (9, 30)",21.1,R
64,65.,"Ian Desmond (11, 34)",20.9,R
65,66.,"Kurt Suzuki (14, 36)",20.8,R
66,67.,"Marcus Semien (8, 29)",20.7,R
67,68.,"Yoenis Céspedes (8, 34)",20.3,R
68,69.,"Jonathan Lucroy (11, 34)",20.2,R
69,70.,"Brandon Belt (10, 32)",20.1,L
70,71.,"Marcell Ozuna (8, 29)",20.0,R
71,72.,"Yasmani Grandal (9, 31)",19.4,B
72,73.,"Didi Gregorius (9, 30)",19.1,L
73,74.,"Chris Iannetta (14, 37)",19.0,R
74,75.,"J.T. Realmuto (7, 29)",18.9,R
75,76.,"Eric Hosmer (10, 30)",18.7,L
76,77.,"Adam Eaton (9, 31)",18.6,L
77,78.,"DJ LeMahieu (10, 31)",18.4,R
78,78.,"Corey Seager (6, 26)",18.4,L
79,80.,"Nicholas Castellanos (8, 28)",17.5,R
80,81.,"AJ Pollock (9, 32)",17.4,R
81,81.,"Eugenio Suarez (7, 28)",17.4,R
82,83.,"Brandon Crawford (10, 33)",17.1,L
83,83.,"Trea Turner (6, 27)",17.1,R
84,85.,"Salvador Perez (9, 30)",17.0,R
85,86.,"Jay Bruce (13, 33)",16.7,L
86,86.,"Josh Reddick (12, 33)",16.7,L
87,86.,"Trevor Story (5, 27)",16.7,R
88,89.,"Mike Moustakas (10, 31)",16.6,L
89,90.,"Matthew Joyce (13, 35)",16.2,L
90,91.,"Alex Avila (12, 33)",16.1,L
91,91.,"Andrelton Simmons (9, 30)",16.1,R
92,93.,"Chris Davis (13, 34)",15.6,L
93,93.,"Wilson Ramos (11, 32)",15.6,R
94,95.,"Kole Calhoun (9, 32)",15.5,L
95,96.,"Aaron Judge (5, 28)",15.3,R
96,97.,"Michael Conforto (6, 27)",15.1,L
97,98.,"Matt Wieters (12, 34)",14.8,B
98,99.,"Cody Bellinger (4, 24)",14.7,L
99,100.,"Cameron Maybin (14, 33)",14.5,R
