,Rank,"Player (yrs, age)",Defensive WAR,Bats
0,1.,"Andrelton Simmons (9, 30)",26.6,R
1,2.,"Yadier Molina (17, 37)",25.4,R
2,3.,"Kevin Kiermaier (8, 30)",16.0,L
3,4.,"Lorenzo Cain (11, 34)",15.5,R
4,5.,"Dustin Pedroia (14, 36)",15.3,R
5,6.,"Brandon Crawford (10, 33)",15.0,L
6,7.,"Nolan Arenado (8, 29)",14.7,R
7,8.,"Evan Longoria (13, 34)",14.6,R
8,9.,"Salvador Perez (9, 30)",13.4,R
9,10.,"Brett Gardner (13, 36)",12.8,L
10,11.,"Jeff Mathis (16, 37)",12.6,R
11,12.,"Manny Machado (9, 27)",12.5,R
12,13.,"Nick Ahmed (7, 30)",11.5,R
13,14.,"Mookie Betts (7, 27)",11.1,R
14,15.,"Jason Heyward (11, 30)",10.7,L
15,15.,"Matt Wieters (12, 34)",10.7,B
16,17.,"Elvis Andrus (12, 31)",10.5,R
17,18.,"Buster Posey (11, 33)",10.1,R
18,19.,"Juan Lagares (8, 31)",10.0,R
19,20.,"Matt Chapman (4, 27)",9.6,R
20,20.,"Jarrod Dyson (11, 35)",9.6,L
21,20.,"Billy Hamilton (8, 29)",9.6,B
22,23.,"Zack Cozart (9, 34)",9.4,R
23,23.,"Francisco Lindor (6, 26)",9.4,B
24,25.,"Ender Inciarte (7, 29)",9.3,L
25,25.,"Kurt Suzuki (14, 36)",9.3,R
26,27.,"DJ LeMahieu (10, 31)",9.0,R
27,28.,"Martin Maldonado (10, 33)",8.8,R
28,29.,"Jake Marisnick (8, 29)",8.6,R
29,30.,"Yan Gomes (9, 32)",8.5,R
30,31.,"Carlos Correa (6, 25)",8.0,R
31,32.,"Javier Baez (7, 27)",7.9,R
32,33.,"Jackie Bradley Jr. (8, 30)",7.8,L
33,34.,"Kevin Pillar (8, 31)",7.6,R
34,35.,"Roberto Perez (7, 31)",7.5,R
35,35.,"Trevor Story (5, 27)",7.5,R
36,37.,"Kolten Wong (8, 29)",7.4,L
37,38.,"Alex Gordon (14, 36)",7.2,L
38,38.,"Jonathan Schoop (8, 28)",7.2,R
39,40.,"Tucker Barnhart (7, 29)",6.9,L
40,41.,"Robinson Cano (16, 37)",6.8,L
41,41.,"José Iglesias (9, 30)",6.8,R
42,43.,"Byron Buxton (6, 26)",6.6,R
43,44.,"Erick Aybar (12, 36)",6.4,B
44,44.,"Jean Segura (9, 30)",6.4,R
45,44.,"Marcus Semien (8, 29)",6.4,R
46,47.,"Adeiny Hechavarria (9, 31)",6.1,R
47,47.,"Wilson Ramos (11, 32)",6.1,R
48,49.,"Kyle Seager (10, 32)",6.0,L
49,50.,"Alex Avila (12, 33)",5.9,L
50,50.,"Paul DeJong (4, 26)",5.9,R
51,50.,"Caleb Joseph (7, 34)",5.9,R
52,53.,"Robinson Chirinos (9, 36)",5.8,R
53,54.,"Welington Castillo (10, 33)",5.4,R
54,54.,"Josh Donaldson (10, 34)",5.4,R
55,56.,"Josh Harrison (10, 32)",5.3,R
56,56.,"Ketel Marte (6, 26)",5.3,B
57,58.,"Jason Castro (10, 33)",5.2,L
58,58.,"Ryan Goins (8, 32)",5.2,L
59,60.,"J.T. Realmuto (7, 29)",5.1,R
60,60.,"Miguel Rojas (7, 31)",5.1,R
61,60.,"Mike Zunino (8, 29)",5.1,R
62,63.,"Freddy Galvis (9, 30)",4.9,B
63,64.,"Didi Gregorius (9, 30)",4.8,L
64,65.,"Starling Marte (9, 31)",4.7,R
65,65.,"Anthony Rendon (8, 30)",4.7,R
66,67.,"Sandy Leon (9, 31)",4.6,B
67,68.,"James McCann (7, 30)",4.5,R
68,68.,"Jose Ramirez (8, 27)",4.5,B
69,70.,"Jonathan Lucroy (11, 34)",4.4,R
70,70.,"Tony Wolters (5, 28)",4.4,L
71,72.,"Willson Contreras (5, 28)",4.3,R
72,72.,"David Fletcher (3, 26)",4.3,R
73,72.,"Eric Sogard (10, 34)",4.3,L
74,72.,"Dansby Swanson (5, 26)",4.3,R
75,76.,"Enrique Hernandez (7, 28)",4.2,R
76,76.,"Rene Rivera (12, 36)",4.2,R
77,78.,"Manny Pina (7, 33)",4.0,R
78,79.,"AJ Pollock (9, 32)",3.9,R
79,79.,"Sean Rodriguez (13, 35)",3.9,R
80,81.,"Ozzie Albies (4, 23)",3.7,B
81,81.,"Harrison Bader (4, 26)",3.7,R
82,81.,"Josh Reddick (12, 33)",3.7,L
83,84.,"Orlando Arcia (5, 25)",3.6,R
84,84.,"Manuel Margot (5, 25)",3.6,R
85,84.,"Michael A. Taylor (7, 29)",3.6,R
86,87.,"Alex Bregman (5, 26)",3.5,R
87,87.,"Austin Hedges (6, 27)",3.5,R
88,89.,"Marwin Gonzalez (9, 31)",3.4,B
89,89.,"Yasmani Grandal (9, 31)",3.4,B
90,89.,"Chris Iannetta (14, 37)",3.4,R
91,89.,"Yolmer Sanchez (7, 28)",3.4,B
92,93.,"Luis Cruz (5, 36)",3.3,R
93,93.,"Aaron Judge (5, 28)",3.3,R
94,93.,"Isiah Kiner-Falefa (3, 25)",3.3,R
95,93.,"Ryan Zimmerman (15, 35)",3.3,R
96,97.,"Joey Wendle (5, 30)",3.1,L
97,98.,"Tyler Flowers (12, 34)",3.0,R
98,98.,"Todd Frazier (10, 34)",3.0,R
99,98.,"Chris Owings (8, 28)",3.0,R
