,Rank,"Player (yrs, age)",Batting Average,Bats
0,1.,"Miguel Cabrera (18, 37)",.3131,R
1,2.,"Jose Altuve (10, 30)",.3110,R
2,3.,"DJ LeMahieu (10, 31)",.3050,R
3,4.,"Joey Votto (14, 36)",.3041,L
4,5.,"Charlie Blackmon (10, 33)",.3040,L
5,5.,"Mike Trout (10, 28)",.3040,R
6,7.,"Robinson Cano (16, 37)",.3025,L
7,8.,"Buster Posey (11, 33)",.3016,R
8,9.,"Mookie Betts (7, 27)",.3007,R
9,10.,"Dustin Pedroia (14, 36)",.2993,R
10,11.,"Albert Pujols (20, 40)",.2986,R
11,12.,"Michael Brantley (12, 33)",.2969,L
12,13.,"Ryan Braun (14, 36)",.2964,R
13,14.,"Daniel Murphy (12, 35)",.2962,L
14,14.,"Christian Yelich (8, 28)",.2962,L
15,16.,"Freddie Freeman (11, 30)",.2949,L
16,17.,"José Abreu (7, 33)",.2942,R
17,18.,"Nolan Arenado (8, 29)",.2929,R
18,18.,"Paul Goldschmidt (10, 32)",.2929,R
19,20.,"Justin Turner (12, 35)",.2922,R
20,21.,"Anthony Rendon (8, 30)",.2901,R
21,22.,"J.D. Martinez (10, 32)",.2900,R
22,23.,"Xander Bogaerts (8, 27)",.2890,R
23,24.,"Lorenzo Cain (11, 34)",.2883,R
24,25.,"Nick Markakis (15, 36)",.2876,L
25,26.,"Starling Marte (9, 31)",.2867,R
26,27.,"Dee Strange-Gordon (10, 32)",.2859,L
27,28.,"Francisco Lindor (6, 26)",.2854,B
28,29.,"Andrew McCutchen (12, 33)",.2847,R
29,29.,"Jean Segura (9, 30)",.2847,R
30,31.,"Carlos Gonzalez (12, 34)",.2845,L
31,32.,"Matt Kemp (15, 35)",.2841,R
32,33.,"Corey Dickerson (8, 31)",.2838,L
33,34.,"Jon Jay (11, 35)",.2829,L
34,35.,"Adam Eaton (9, 31)",.2823,L
35,36.,"Ender Inciarte (7, 29)",.2821,L
36,37.,"Yadier Molina (17, 37)",.2812,R
37,38.,"Jose Ramirez (8, 27)",.2807,B
38,39.,"Kris Bryant (6, 28)",.2805,R
39,40.,"Starlin Castro (11, 30)",.2800,R
40,41.,"Manny Machado (9, 27)",.2798,R
41,42.,"Pablo Sandoval (13, 33)",.2791,B
42,43.,"AJ Pollock (9, 32)",.2790,R
43,44.,"Ryan Zimmerman (15, 35)",.2788,R
44,45.,"José Iglesias (9, 30)",.2781,R
45,46.,"Eric Hosmer (10, 30)",.2780,L
46,47.,"Nelson Cruz (16, 39)",.2778,R
47,48.,"Cesar Hernandez (8, 30)",.2773,B
48,49.,"Marcell Ozuna (8, 29)",.2763,R
49,50.,"Eduardo Nunez (11, 33)",.2759,R
50,51.,"Bryce Harper (9, 27)",.2757,L
51,52.,"Shin-Soo Choo (16, 37)",.2745,L
52,53.,"Wilson Ramos (11, 32)",.2739,R
53,54.,"Elvis Andrus (12, 31)",.2738,R
54,55.,"Jonathan Lucroy (11, 34)",.2737,R
55,56.,"Nicholas Castellanos (8, 28)",.2736,R
56,57.,"Josh Harrison (10, 32)",.2727,R
57,58.,"Yoenis Céspedes (8, 34)",.2726,R
58,59.,"Josh Donaldson (10, 34)",.2718,R
59,60.,"Erick Aybar (12, 36)",.2709,B
60,61.,"Jorge Cantu (8, 38)",.2708,R
61,61.,"Avisail Garcia (9, 29)",.2708,R
62,63.,"Anthony Rizzo (10, 30)",.2705,L
63,64.,"George Springer (7, 30)",.2695,R
64,65.,"Salvador Perez (9, 30)",.2691,R
65,65.,"Andrelton Simmons (9, 30)",.2691,R
66,67.,"Giancarlo Stanton (11, 30)",.2680,R
67,68.,"Asdrubal Cabrera (14, 34)",.2676,B
68,69.,"Neil Walker (12, 34)",.2671,B
69,70.,"Matt Carpenter (10, 34)",.2664,L
70,70.,"Evan Longoria (13, 34)",.2664,R
71,72.,"Didi Gregorius (9, 30)",.2649,L
72,73.,"Justin Upton (14, 32)",.2645,R
73,74.,"Brandon Belt (10, 32)",.2632,L
74,75.,"Ian Desmond (11, 34)",.2631,R
75,76.,"Josh Reddick (12, 33)",.2626,L
76,77.,"Kevin Pillar (8, 31)",.2624,R
77,78.,"Jason Heyward (11, 30)",.2615,L
78,79.,"Jed Lowrie (12, 36)",.2613,B
79,80.,"Eugenio Suarez (7, 28)",.2610,R
80,81.,"Kolten Wong (8, 29)",.2607,L
81,82.,"Marwin Gonzalez (9, 31)",.2606,B
82,83.,"Jason Kipnis (10, 33)",.2604,L
83,84.,"Edwin Encarnacion (16, 37)",.2602,R
84,85.,"Yonder Alonso (10, 33)",.2594,L
85,86.,"Dexter Fowler (13, 34)",.2592,B
86,87.,"Jonathan Villar (8, 29)",.2589,B
87,88.,"Kurt Suzuki (14, 36)",.2588,R
88,89.,"Brett Gardner (13, 36)",.2587,L
89,90.,"Jonathan Schoop (8, 28)",.2585,R
90,91.,"Alex Gordon (14, 36)",.2571,L
91,92.,"Eduardo Escobar (10, 31)",.2566,B
92,93.,"Jordy Mercer (9, 33)",.2565,R
93,94.,"Cameron Maybin (14, 33)",.2561,R
94,95.,"Kyle Seager (10, 32)",.2555,L
95,96.,"Marcus Semien (8, 29)",.2541,R
96,97.,"Wil Myers (8, 29)",.2537,R
97,98.,"Adeiny Hechavarria (9, 31)",.2533,R
98,99.,"Mitch Moreland (11, 34)",.2520,L
99,100.,"Mike Moustakas (10, 31)",.2511,L
