,Rank,"Player (yrs, age)",On-Base%,Bats
0,1.,"Joey Votto (14, 36)",.4194,L
1,2.,"Mike Trout (10, 28)",.4176,R
2,3.,"Paul Goldschmidt (10, 32)",.3922,R
3,4.,"Miguel Cabrera (18, 37)",.3908,R
4,5.,"Bryce Harper (9, 27)",.3870,L
5,6.,"Freddie Freeman (11, 30)",.3827,L
6,7.,"Christian Yelich (8, 28)",.3812,L
7,8.,"Kris Bryant (6, 28)",.3804,R
8,9.,"Albert Pujols (20, 40)",.3772,R
9,10.,"Shin-Soo Choo (16, 37)",.3765,L
10,11.,"Andrew McCutchen (12, 33)",.3761,R
11,12.,"Mookie Betts (7, 27)",.3733,R
12,13.,"Anthony Rendon (8, 30)",.3718,R
13,14.,"Anthony Rizzo (10, 30)",.3717,L
14,15.,"Matt Carpenter (10, 34)",.3709,L
15,16.,"Buster Posey (11, 33)",.3700,R
16,17.,"Josh Donaldson (10, 34)",.3689,R
17,18.,"Justin Turner (12, 35)",.3685,R
18,19.,"Carlos Santana (11, 34)",.3663,B
19,20.,"Dustin Pedroia (14, 36)",.3654,R
20,21.,"Jose Altuve (10, 30)",.3610,R
21,22.,"George Springer (7, 30)",.3607,R
22,23.,"Charlie Blackmon (10, 33)",.3597,L
23,23.,"Adam Eaton (9, 31)",.3597,L
24,25.,"Giancarlo Stanton (11, 30)",.3588,R
25,26.,"Ryan Braun (14, 36)",.3583,R
26,27.,"Dexter Fowler (13, 34)",.3582,B
27,28.,"Nick Markakis (15, 36)",.3574,L
28,29.,"DJ LeMahieu (10, 31)",.3571,R
29,30.,"Brandon Belt (10, 32)",.3564,L
30,31.,"Michael Brantley (12, 33)",.3542,L
31,32.,"Jose Ramirez (8, 27)",.3540,B
32,33.,"J.D. Martinez (10, 32)",.3538,R
33,34.,"Robinson Cano (16, 37)",.3524,L
34,35.,"Cesar Hernandez (8, 30)",.3521,B
35,36.,"Xander Bogaerts (8, 27)",.3508,R
36,37.,"José Abreu (7, 33)",.3503,R
37,38.,"Edwin Encarnacion (16, 37)",.3500,R
38,39.,"Nolan Arenado (8, 29)",.3493,R
39,40.,"Yasmani Grandal (9, 31)",.3485,B
40,41.,"Lorenzo Cain (11, 34)",.3479,R
41,41.,"Jon Jay (11, 35)",.3479,L
42,43.,"Alex Avila (12, 33)",.3477,L
43,44.,"Nelson Cruz (16, 39)",.3472,R
44,45.,"Francisco Lindor (6, 26)",.3458,B
45,46.,"Justin Upton (14, 32)",.3453,R
46,47.,"Chris Iannetta (14, 37)",.3452,R
47,48.,"Jason Heyward (11, 30)",.3445,L
48,49.,"Matthew Joyce (13, 35)",.3435,L
49,50.,"Carlos Gonzalez (12, 34)",.3431,L
50,50.,"Ryan Zimmerman (15, 35)",.3431,R
51,52.,"Brett Gardner (13, 36)",.3427,L
52,53.,"Eugenio Suarez (7, 28)",.3423,R
53,54.,"Daniel Murphy (12, 35)",.3413,L
54,55.,"Starling Marte (9, 31)",.3409,R
55,56.,"Alex Gordon (14, 36)",.3382,L
56,56.,"Neil Walker (12, 34)",.3382,B
57,58.,"Matt Kemp (15, 35)",.3369,R
58,58.,"Manny Machado (9, 27)",.3369,R
59,60.,"Eric Hosmer (10, 30)",.3361,L
60,61.,"Marcell Ozuna (8, 29)",.3352,R
61,62.,"AJ Pollock (9, 32)",.3351,R
62,63.,"Jonathan Lucroy (11, 34)",.3350,R
63,64.,"Ender Inciarte (7, 29)",.3348,L
64,64.,"Jed Lowrie (12, 36)",.3348,B
65,66.,"Evan Longoria (13, 34)",.3342,R
66,67.,"Jason Kipnis (10, 33)",.3334,L
67,68.,"Kolten Wong (8, 29)",.3330,L
68,69.,"Yadier Molina (17, 37)",.3325,R
69,70.,"Yonder Alonso (10, 33)",.3324,L
70,71.,"Pablo Sandoval (13, 33)",.3307,B
71,72.,"Asdrubal Cabrera (14, 34)",.3301,B
72,73.,"Elvis Andrus (12, 31)",.3300,R
73,74.,"Wil Myers (8, 29)",.3290,R
74,75.,"Jean Segura (9, 30)",.3274,R
75,76.,"Yoenis Céspedes (8, 34)",.3269,R
76,77.,"Corey Dickerson (8, 31)",.3266,L
77,78.,"Jonathan Villar (8, 29)",.3265,B
78,79.,"Logan Forsythe (10, 33)",.3260,R
79,80.,"Kyle Seager (10, 32)",.3256,L
80,81.,"Brian Dozier (9, 33)",.3254,R
81,82.,"Cameron Maybin (14, 33)",.3240,R
82,83.,"Nicholas Castellanos (8, 28)",.3238,R
83,84.,"Avisail Garcia (9, 29)",.3237,R
84,85.,"Logan Morrison (11, 32)",.3235,L
85,86.,"Kole Calhoun (9, 32)",.3232,L
86,87.,"Josh Reddick (12, 33)",.3220,L
87,88.,"Marcus Semien (8, 29)",.3219,R
88,89.,"Justin Smoak (11, 33)",.3217,B
89,90.,"Wilson Ramos (11, 32)",.3213,R
90,91.,"Jackie Bradley Jr. (8, 30)",.3205,L
91,92.,"Mitch Moreland (11, 34)",.3198,L
92,93.,"Todd Frazier (10, 34)",.3193,R
93,93.,"José Iglesias (9, 30)",.3193,R
94,95.,"Dee Strange-Gordon (10, 32)",.3192,L
95,96.,"Starlin Castro (11, 30)",.3185,R
96,97.,"Marwin Gonzalez (9, 31)",.3167,B
97,98.,"Brandon Crawford (10, 33)",.3166,L
98,98.,"Andrelton Simmons (9, 30)",.3166,R
99,100.,"Jorge Cantu (8, 38)",.3162,R
100,100.,"Kurt Suzuki (14, 36)",.3162,R
