,Rank,"Player (yrs, age)",Plate Appearances,Bats
0,1.,"Albert Pujols (20, 40)",12394,R
1,2.,"Miguel Cabrera (18, 37)",10467,R
2,3.,"Robinson Cano (16, 37)",9446,L
3,4.,"Nick Markakis (15, 36)",9321,L
4,5.,"Edwin Encarnacion (16, 37)",8126,R
5,6.,"Yadier Molina (17, 37)",7811,R
6,7.,"Joey Votto (14, 36)",7595,L
7,8.,"Evan Longoria (13, 34)",7380,R
8,9.,"Ryan Braun (14, 36)",7340,R
9,10.,"Alex Gordon (14, 36)",7250,L
10,11.,"Justin Upton (14, 32)",7230,R
11,12.,"Shin-Soo Choo (16, 37)",7157,L
12,13.,"Nelson Cruz (16, 39)",7153,R
13,14.,"Ryan Zimmerman (15, 35)",7129,R
14,15.,"Elvis Andrus (12, 31)",7079,R
15,16.,"Asdrubal Cabrera (14, 34)",7049,B
16,17.,"Andrew McCutchen (12, 33)",7014,R
17,18.,"Matt Kemp (15, 35)",6983,R
18,19.,"Dustin Pedroia (14, 36)",6777,R
19,20.,"Jay Bruce (13, 33)",6603,L
20,21.,"Carlos Santana (11, 34)",6402,B
21,22.,"Starlin Castro (11, 30)",6233,R
22,23.,"Brett Gardner (13, 36)",6153,L
23,24.,"Freddie Freeman (11, 30)",5965,L
24,25.,"Ian Desmond (11, 34)",5944,R
25,26.,"Eric Hosmer (10, 30)",5893,L
26,27.,"Dexter Fowler (13, 34)",5881,B
27,28.,"Jason Heyward (11, 30)",5761,L
28,29.,"Kurt Suzuki (14, 36)",5757,R
29,30.,"Daniel Murphy (12, 35)",5755,L
30,31.,"Jose Altuve (10, 30)",5668,R
31,32.,"Chris Davis (13, 34)",5630,L
32,33.,"Erick Aybar (12, 36)",5628,B
33,34.,"Paul Goldschmidt (10, 32)",5621,R
34,35.,"Carlos Gonzalez (12, 34)",5551,L
35,36.,"Kyle Seager (10, 32)",5534,L
36,37.,"Mike Trout (10, 28)",5514,R
37,38.,"Anthony Rizzo (10, 30)",5416,L
38,39.,"Michael Brantley (12, 33)",5307,L
39,40.,"Buster Posey (11, 33)",5153,R
40,41.,"Neil Walker (12, 34)",5152,B
41,42.,"Giancarlo Stanton (11, 30)",4991,R
42,43.,"Manny Machado (9, 27)",4989,R
43,44.,"Jason Kipnis (10, 33)",4984,L
44,45.,"Matt Carpenter (10, 34)",4976,L
45,46.,"Pablo Sandoval (13, 33)",4966,B
46,47.,"Brandon Crawford (10, 33)",4911,L
47,48.,"Todd Frazier (10, 34)",4909,R
48,49.,"Brian Dozier (9, 33)",4900,R
49,50.,"Bryce Harper (9, 27)",4883,L
50,51.,"Charlie Blackmon (10, 33)",4754,L
51,52.,"Justin Smoak (11, 33)",4750,B
52,53.,"Josh Reddick (12, 33)",4721,L
53,54.,"Mike Moustakas (10, 31)",4700,L
54,55.,"DJ LeMahieu (10, 31)",4670,R
55,56.,"J.D. Martinez (10, 32)",4661,R
56,57.,"Jean Segura (9, 30)",4657,R
57,58.,"Josh Donaldson (10, 34)",4578,R
58,59.,"Jonathan Lucroy (11, 34)",4568,R
59,60.,"Nolan Arenado (8, 29)",4558,R
60,61.,"Jed Lowrie (12, 36)",4500,B
61,62.,"Matt Wieters (12, 34)",4428,B
62,63.,"Brandon Belt (10, 32)",4400,L
63,64.,"Lorenzo Cain (11, 34)",4316,R
64,65.,"Jon Jay (11, 35)",4301,L
65,66.,"Christian Yelich (8, 28)",4290,L
66,67.,"Matthew Joyce (13, 35)",4286,L
67,68.,"Mitch Moreland (11, 34)",4284,L
68,69.,"Andrelton Simmons (9, 30)",4280,R
69,70.,"Chris Iannetta (14, 37)",4253,R
70,71.,"Starling Marte (9, 31)",4236,R
71,72.,"Cameron Maybin (14, 33)",4218,R
72,73.,"Kole Calhoun (9, 32)",4208,L
73,74.,"José Abreu (7, 33)",4168,R
74,75.,"Anthony Rendon (8, 30)",4159,R
75,76.,"Xander Bogaerts (8, 27)",4155,R
76,77.,"Marcell Ozuna (8, 29)",4128,R
77,78.,"Dee Strange-Gordon (10, 32)",4104,L
78,79.,"Justin Turner (12, 35)",4002,R
79,80.,"Salvador Perez (9, 30)",3893,R
80,81.,"Nicholas Castellanos (8, 28)",3888,R
81,82.,"Mookie Betts (7, 27)",3875,R
82,83.,"Freddy Galvis (9, 30)",3844,B
83,84.,"Gordon Beckham (11, 33)",3782,R
84,85.,"Logan Morrison (11, 32)",3779,L
85,86.,"Yonder Alonso (10, 33)",3773,L
86,87.,"Khris Davis (8, 32)",3690,R
87,88.,"Eduardo Escobar (10, 31)",3671,B
88,89.,"Wilson Ramos (11, 32)",3623,R
89,90.,"Adam Eaton (9, 31)",3622,L
90,91.,"Marcus Semien (8, 29)",3620,R
91,92.,"Didi Gregorius (9, 30)",3619,L
92,93.,"George Springer (7, 30)",3567,R
93,94.,"Cesar Hernandez (8, 30)",3543,B
94,95.,"Logan Forsythe (10, 33)",3540,R
95,96.,"Alex Avila (12, 33)",3527,L
96,97.,"Francisco Lindor (6, 26)",3510,B
97,98.,"Yoenis Céspedes (8, 34)",3490,R
98,99.,"Yasmani Grandal (9, 31)",3486,B
99,99.,"Kevin Pillar (8, 31)",3486,R
