,Rank,"Player (yrs, age)",Runs Scored,Bats
0,1.,"Albert Pujols (20, 40)",1843,R
1,2.,"Miguel Cabrera (18, 37)",1457,R
2,3.,"Robinson Cano (16, 37)",1257,L
3,4.,"Nick Markakis (15, 36)",1119,L
4,5.,"Edwin Encarnacion (16, 37)",1099,R
5,6.,"Ryan Braun (14, 36)",1080,R
6,7.,"Joey Votto (14, 36)",1041,L
7,8.,"Justin Upton (14, 32)",1009,R
8,9.,"Andrew McCutchen (12, 33)",974,R
9,10.,"Shin-Soo Choo (16, 37)",961,L
10,11.,"Nelson Cruz (16, 39)",952,R
11,12.,"Matt Kemp (15, 35)",950,R
12,13.,"Mike Trout (10, 28)",944,R
13,14.,"Ryan Zimmerman (15, 35)",936,R
14,15.,"Dustin Pedroia (14, 36)",922,R
15,16.,"Evan Longoria (13, 34)",916,R
16,17.,"Brett Gardner (13, 36)",896,L
17,18.,"Elvis Andrus (12, 31)",893,R
18,19.,"Alex Gordon (14, 36)",867,L
19,20.,"Asdrubal Cabrera (14, 34)",852,B
20,21.,"Freddie Freeman (11, 30)",849,L
21,22.,"Paul Goldschmidt (10, 32)",837,R
22,23.,"Jay Bruce (13, 33)",836,L
23,24.,"Carlos Gonzalez (12, 34)",821,L
24,25.,"Dexter Fowler (13, 34)",814,B
25,26.,"Carlos Santana (11, 34)",799,B
26,27.,"Jose Altuve (10, 30)",766,R
27,28.,"Bryce Harper (9, 27)",749,L
28,29.,"Charlie Blackmon (10, 33)",744,L
29,30.,"Matt Carpenter (10, 34)",734,L
30,31.,"Jason Heyward (11, 30)",731,L
31,32.,"Ian Desmond (11, 34)",724,R
32,33.,"Eric Hosmer (10, 30)",714,L
33,34.,"Yadier Molina (17, 37)",713,R
34,35.,"Daniel Murphy (12, 35)",710,L
35,36.,"Chris Davis (13, 34)",707,L
36,37.,"Giancarlo Stanton (11, 30)",698,R
37,38.,"Anthony Rizzo (10, 30)",689,L
38,39.,"Starlin Castro (11, 30)",673,R
39,40.,"Josh Donaldson (10, 34)",666,R
40,41.,"Brian Dozier (9, 33)",664,R
41,42.,"Mookie Betts (7, 27)",660,R
42,43.,"Michael Brantley (12, 33)",655,L
43,44.,"DJ LeMahieu (10, 31)",651,R
44,45.,"Nolan Arenado (8, 29)",649,R
45,46.,"Manny Machado (9, 27)",647,R
46,47.,"Erick Aybar (12, 36)",643,B
47,48.,"Kyle Seager (10, 32)",632,L
48,49.,"Christian Yelich (8, 28)",626,L
49,50.,"J.D. Martinez (10, 32)",622,R
50,51.,"Neil Walker (12, 34)",611,B
51,52.,"Jason Kipnis (10, 33)",607,L
52,53.,"Todd Frazier (10, 34)",601,R
53,54.,"Anthony Rendon (8, 30)",600,R
54,55.,"Buster Posey (11, 33)",595,R
55,56.,"Starling Marte (9, 31)",591,R
56,56.,"Jean Segura (9, 30)",591,R
57,58.,"Josh Reddick (12, 33)",582,L
58,59.,"Xander Bogaerts (8, 27)",578,R
59,60.,"Lorenzo Cain (11, 34)",569,R
60,61.,"George Springer (7, 30)",567,R
61,61.,"Kurt Suzuki (14, 36)",567,R
62,63.,"Kole Calhoun (9, 32)",565,L
63,64.,"Cameron Maybin (14, 33)",554,R
64,65.,"Brandon Belt (10, 32)",538,L
65,66.,"Pablo Sandoval (13, 33)",537,B
66,67.,"Dee Strange-Gordon (10, 32)",532,L
67,68.,"Matthew Joyce (13, 35)",531,L
68,69.,"Jon Jay (11, 35)",530,L
69,70.,"Adam Eaton (9, 31)",528,L
70,71.,"José Abreu (7, 33)",526,R
71,72.,"Jed Lowrie (12, 36)",521,B
72,73.,"Brandon Crawford (10, 33)",509,L
73,74.,"Francisco Lindor (6, 26)",508,B
74,75.,"Kris Bryant (6, 28)",506,R
75,76.,"Marcell Ozuna (8, 29)",505,R
76,76.,"Justin Smoak (11, 33)",505,B
77,78.,"Justin Turner (12, 35)",504,R
78,79.,"Mike Moustakas (10, 31)",501,L
79,80.,"Mitch Moreland (11, 34)",499,L
80,81.,"Jose Ramirez (8, 27)",496,B
81,82.,"Khris Davis (8, 32)",495,R
82,83.,"Jonathan Lucroy (11, 34)",481,R
83,84.,"Yoenis Céspedes (8, 34)",475,R
84,85.,"Marcus Semien (8, 29)",467,R
85,86.,"Andrelton Simmons (9, 30)",456,R
86,87.,"Didi Gregorius (9, 30)",451,L
87,88.,"Chris Iannetta (14, 37)",449,R
88,89.,"AJ Pollock (9, 32)",446,R
89,90.,"Nicholas Castellanos (8, 28)",445,R
90,91.,"Cesar Hernandez (8, 30)",442,B
91,92.,"Matt Wieters (12, 34)",440,B
92,93.,"Wil Myers (8, 29)",437,R
93,94.,"Jackie Bradley Jr. (8, 30)",435,L
94,94.,"Ender Inciarte (7, 29)",435,L
95,94.,"Eugenio Suarez (7, 28)",435,R
96,97.,"Rougned Odor (7, 26)",429,L
97,98.,"Eduardo Escobar (10, 31)",426,B
98,99.,"Gordon Beckham (11, 33)",420,R
99,100.,"Kevin Pillar (8, 31)",419,R
