,Rank,"Player (yrs, age)",Hits,Bats
0,1.,"Albert Pujols (20, 40)",3236,R
1,2.,"Miguel Cabrera (18, 37)",2866,R
2,3.,"Robinson Cano (16, 37)",2624,L
3,4.,"Nick Markakis (15, 36)",2388,L
4,5.,"Yadier Molina (17, 37)",2001,R
5,6.,"Ryan Braun (14, 36)",1963,R
6,7.,"Joey Votto (14, 36)",1908,L
7,8.,"Edwin Encarnacion (16, 37)",1832,R
8,9.,"Matt Kemp (15, 35)",1808,R
9,10.,"Dustin Pedroia (14, 36)",1805,R
10,11.,"Ryan Zimmerman (15, 35)",1784,R
11,12.,"Nelson Cruz (16, 39)",1777,R
12,13.,"Evan Longoria (13, 34)",1752,R
13,14.,"Elvis Andrus (12, 31)",1743,R
14,15.,"Andrew McCutchen (12, 33)",1719,R
15,16.,"Asdrubal Cabrera (14, 34)",1692,B
16,17.,"Justin Upton (14, 32)",1681,R
17,18.,"Shin-Soo Choo (16, 37)",1671,L
18,19.,"Alex Gordon (14, 36)",1643,L
19,20.,"Starlin Castro (11, 30)",1633,R
20,21.,"Jose Altuve (10, 30)",1610,R
21,22.,"Daniel Murphy (12, 35)",1572,L
22,23.,"Freddie Freeman (11, 30)",1524,L
23,24.,"Eric Hosmer (10, 30)",1492,L
24,25.,"Jay Bruce (13, 33)",1451,L
25,26.,"Ian Desmond (11, 34)",1432,R
26,26.,"Carlos Gonzalez (12, 34)",1432,L
27,28.,"Michael Brantley (12, 33)",1425,L
28,29.,"Erick Aybar (12, 36)",1402,B
29,30.,"Paul Goldschmidt (10, 32)",1395,R
30,31.,"Brett Gardner (13, 36)",1384,L
31,32.,"Buster Posey (11, 33)",1380,R
32,32.,"Mike Trout (10, 28)",1380,R
33,34.,"Kurt Suzuki (14, 36)",1347,R
34,35.,"Jason Heyward (11, 30)",1325,L
35,35.,"Carlos Santana (11, 34)",1325,B
36,37.,"Charlie Blackmon (10, 33)",1311,L
37,38.,"Dexter Fowler (13, 34)",1301,B
38,39.,"DJ LeMahieu (10, 31)",1294,R
39,40.,"Manny Machado (9, 27)",1268,R
40,41.,"Kyle Seager (10, 32)",1267,L
41,42.,"Pablo Sandoval (13, 33)",1266,B
42,43.,"Anthony Rizzo (10, 30)",1249,L
43,44.,"Jean Segura (9, 30)",1232,R
44,45.,"Neil Walker (12, 34)",1224,B
45,46.,"J.D. Martinez (10, 32)",1213,R
46,47.,"Nolan Arenado (8, 29)",1206,R
47,48.,"Chris Davis (13, 34)",1160,L
48,48.,"Giancarlo Stanton (11, 30)",1160,R
49,50.,"Jason Kipnis (10, 33)",1147,L
50,51.,"Lorenzo Cain (11, 34)",1128,R
51,51.,"Jonathan Lucroy (11, 34)",1128,R
52,53.,"Bryce Harper (9, 27)",1122,L
53,54.,"Matt Carpenter (10, 34)",1118,L
54,54.,"Josh Reddick (12, 33)",1118,L
55,56.,"José Abreu (7, 33)",1114,R
56,57.,"Starling Marte (9, 31)",1111,R
57,58.,"Christian Yelich (8, 28)",1108,L
58,59.,"Dee Strange-Gordon (10, 32)",1100,L
59,60.,"Brandon Crawford (10, 33)",1099,L
60,61.,"Xander Bogaerts (8, 27)",1083,R
61,62.,"Jon Jay (11, 35)",1082,L
62,63.,"Mike Moustakas (10, 31)",1073,L
63,64.,"Josh Donaldson (10, 34)",1066,R
64,65.,"Andrelton Simmons (9, 30)",1064,R
65,66.,"Todd Frazier (10, 34)",1056,R
66,67.,"Brian Dozier (9, 33)",1055,R
67,68.,"Anthony Rendon (8, 30)",1048,R
68,69.,"Jed Lowrie (12, 36)",1043,B
69,70.,"Marcell Ozuna (8, 29)",1040,R
70,71.,"Mookie Betts (7, 27)",1029,R
71,71.,"Justin Turner (12, 35)",1029,R
72,73.,"Brandon Belt (10, 32)",1003,L
73,74.,"Matt Wieters (12, 34)",996,B
74,75.,"Salvador Perez (9, 30)",992,R
75,76.,"Nicholas Castellanos (8, 28)",979,R
76,77.,"Cameron Maybin (14, 33)",972,R
77,78.,"Mitch Moreland (11, 34)",968,L
78,79.,"Justin Smoak (11, 33)",951,B
79,80.,"Kole Calhoun (9, 32)",927,L
80,81.,"Wilson Ramos (11, 32)",915,R
81,82.,"Adam Eaton (9, 31)",899,L
82,83.,"Francisco Lindor (6, 26)",896,B
83,84.,"Matthew Joyce (13, 35)",893,L
84,85.,"Freddy Galvis (9, 30)",880,B
85,86.,"Didi Gregorius (9, 30)",877,L
86,87.,"Cesar Hernandez (8, 30)",873,B
87,88.,"Yonder Alonso (10, 33)",872,L
88,89.,"Yoenis Céspedes (8, 34)",870,R
89,90.,"Eduardo Escobar (10, 31)",862,B
90,91.,"Kevin Pillar (8, 31)",858,R
91,92.,"Ender Inciarte (7, 29)",857,L
92,93.,"Jorge Cantu (8, 38)",847,R
93,94.,"Jose Ramirez (8, 27)",840,B
94,95.,"George Springer (7, 30)",832,R
95,96.,"Marcus Semien (8, 29)",830,R
96,97.,"Corey Dickerson (8, 31)",826,L
97,98.,"Chris Iannetta (14, 37)",820,R
98,99.,"Josh Harrison (10, 32)",819,R
99,100.,"Gordon Beckham (11, 33)",807,R
