,Rank,"Player (yrs, age)",Total Bases,Bats
0,1.,"Albert Pujols (20, 40)",5923,R
1,2.,"Miguel Cabrera (18, 37)",4942,R
2,3.,"Robinson Cano (16, 37)",4263,L
3,4.,"Ryan Braun (14, 36)",3525,R
4,5.,"Nick Markakis (15, 36)",3513,L
5,6.,"Edwin Encarnacion (16, 37)",3494,R
6,7.,"Nelson Cruz (16, 39)",3384,R
7,8.,"Joey Votto (14, 36)",3245,L
8,9.,"Evan Longoria (13, 34)",3108,R
9,10.,"Matt Kemp (15, 35)",3081,R
10,11.,"Ryan Zimmerman (15, 35)",3039,R
11,12.,"Justin Upton (14, 32)",3015,R
12,13.,"Andrew McCutchen (12, 33)",2887,R
13,14.,"Yadier Molina (17, 37)",2876,R
14,15.,"Jay Bruce (13, 33)",2780,L
15,16.,"Shin-Soo Choo (16, 37)",2722,L
16,17.,"Asdrubal Cabrera (14, 34)",2692,B
17,18.,"Dustin Pedroia (14, 36)",2649,R
18,19.,"Mike Trout (10, 28)",2642,R
19,20.,"Freddie Freeman (11, 30)",2632,L
20,21.,"Alex Gordon (14, 36)",2622,L
21,22.,"Carlos Gonzalez (12, 34)",2516,L
22,23.,"Paul Goldschmidt (10, 32)",2487,R
23,24.,"Starlin Castro (11, 30)",2417,R
24,25.,"Daniel Murphy (12, 35)",2415,L
25,26.,"Carlos Santana (11, 34)",2378,B
26,27.,"Jose Altuve (10, 30)",2373,R
27,28.,"Elvis Andrus (12, 31)",2370,R
28,29.,"Giancarlo Stanton (11, 30)",2364,R
29,30.,"Eric Hosmer (10, 30)",2332,L
30,31.,"Ian Desmond (11, 34)",2326,R
31,32.,"Chris Davis (13, 34)",2283,L
32,33.,"Anthony Rizzo (10, 30)",2240,L
33,34.,"Nolan Arenado (8, 29)",2227,R
34,35.,"J.D. Martinez (10, 32)",2215,R
35,36.,"Manny Machado (9, 27)",2211,R
36,37.,"Kyle Seager (10, 32)",2194,L
37,38.,"Charlie Blackmon (10, 33)",2180,L
38,39.,"Brett Gardner (13, 36)",2144,L
39,40.,"Michael Brantley (12, 33)",2112,L
40,41.,"Dexter Fowler (13, 34)",2099,B
41,42.,"Jason Heyward (11, 30)",2096,L
42,43.,"Bryce Harper (9, 27)",2088,L
43,43.,"Buster Posey (11, 33)",2088,R
44,45.,"Kurt Suzuki (14, 36)",2041,R
45,46.,"Pablo Sandoval (13, 33)",2017,B
46,47.,"Josh Donaldson (10, 34)",1993,R
47,48.,"José Abreu (7, 33)",1969,R
48,49.,"Neil Walker (12, 34)",1953,B
49,50.,"Todd Frazier (10, 34)",1951,R
50,51.,"Erick Aybar (12, 36)",1924,B
51,52.,"Matt Carpenter (10, 34)",1918,L
52,53.,"Brian Dozier (9, 33)",1904,R
53,54.,"Mike Moustakas (10, 31)",1890,L
54,55.,"Jason Kipnis (10, 33)",1833,L
55,56.,"Christian Yelich (8, 28)",1827,L
56,57.,"DJ LeMahieu (10, 31)",1825,R
57,58.,"Josh Reddick (12, 33)",1824,L
58,59.,"Mookie Betts (7, 27)",1786,R
59,60.,"Anthony Rendon (8, 30)",1771,R
60,61.,"Jean Segura (9, 30)",1761,R
61,62.,"Marcell Ozuna (8, 29)",1754,R
62,63.,"Starling Marte (9, 31)",1745,R
63,64.,"Justin Smoak (11, 33)",1739,B
64,65.,"Brandon Belt (10, 32)",1727,L
65,65.,"Brandon Crawford (10, 33)",1727,L
66,67.,"Mitch Moreland (11, 34)",1720,L
67,68.,"Jonathan Lucroy (11, 34)",1716,R
68,69.,"Xander Bogaerts (8, 27)",1701,R
69,70.,"Nicholas Castellanos (8, 28)",1689,R
70,71.,"Salvador Perez (9, 30)",1657,R
71,72.,"Justin Turner (12, 35)",1653,R
72,73.,"Jed Lowrie (12, 36)",1648,B
73,74.,"Matt Wieters (12, 34)",1634,B
74,75.,"Khris Davis (8, 32)",1628,R
75,76.,"Lorenzo Cain (11, 34)",1617,R
76,77.,"Kole Calhoun (9, 32)",1605,L
77,78.,"Yoenis Céspedes (8, 34)",1586,R
78,79.,"Matthew Joyce (13, 35)",1569,L
79,80.,"Francisco Lindor (6, 26)",1531,B
80,81.,"George Springer (7, 30)",1517,R
81,82.,"Andrelton Simmons (9, 30)",1499,R
82,83.,"Jose Ramirez (8, 27)",1480,B
83,84.,"Wilson Ramos (11, 32)",1449,R
84,85.,"Corey Dickerson (8, 31)",1447,L
85,86.,"Chris Iannetta (14, 37)",1446,R
86,87.,"Eduardo Escobar (10, 31)",1445,B
87,88.,"Didi Gregorius (9, 30)",1434,L
88,89.,"Cameron Maybin (14, 33)",1429,R
89,90.,"Jon Jay (11, 35)",1428,L
90,91.,"Eugenio Suarez (7, 28)",1425,R
91,92.,"Logan Morrison (11, 32)",1417,L
92,93.,"Kris Bryant (6, 28)",1410,R
93,94.,"Marcus Semien (8, 29)",1389,R
94,95.,"Dee Strange-Gordon (10, 32)",1386,L
95,95.,"Jonathan Schoop (8, 28)",1386,R
96,97.,"Rougned Odor (7, 26)",1385,L
97,98.,"Freddy Galvis (9, 30)",1373,B
98,99.,"Jorge Cantu (8, 38)",1372,R
99,100.,"Yonder Alonso (10, 33)",1357,L
