,Rank,"Player (yrs, age)",Home Runs,Bats,HR Log
0,1.,"Albert Pujols (20, 40)",662,R,HR Log
1,2.,"Miguel Cabrera (18, 37)",487,R,HR Log
2,3.,"Edwin Encarnacion (16, 37)",424,R,HR Log
3,4.,"Nelson Cruz (16, 39)",417,R,HR Log
4,5.,"Ryan Braun (14, 36)",352,R,HR Log
5,6.,"Robinson Cano (16, 37)",334,L,HR Log
6,7.,"Jay Bruce (13, 33)",318,L,HR Log
7,8.,"Giancarlo Stanton (11, 30)",312,R,HR Log
8,9.,"Justin Upton (14, 32)",307,R,HR Log
9,10.,"Evan Longoria (13, 34)",304,R,HR Log
10,11.,"Mike Trout (10, 28)",302,R,HR Log
11,12.,"Chris Davis (13, 34)",295,L,HR Log
12,12.,"Joey Votto (14, 36)",295,L,HR Log
13,14.,"Matt Kemp (15, 35)",287,R,HR Log
14,15.,"Ryan Zimmerman (15, 35)",270,R,HR Log
15,16.,"Paul Goldschmidt (10, 32)",249,R,HR Log
16,17.,"Andrew McCutchen (12, 33)",243,R,HR Log
17,18.,"Freddie Freeman (11, 30)",240,L,HR Log
18,18.,"Carlos Santana (11, 34)",240,B,HR Log
19,20.,"J.D. Martinez (10, 32)",238,R,HR Log
20,21.,"Nolan Arenado (8, 29)",235,R,HR Log
21,22.,"Carlos Gonzalez (12, 34)",234,L,HR Log
22,23.,"Bryce Harper (9, 27)",232,L,HR Log
23,24.,"Anthony Rizzo (10, 30)",229,L,HR Log
24,25.,"Josh Donaldson (10, 34)",225,R,HR Log
25,26.,"Manny Machado (9, 27)",223,R,HR Log
26,27.,"Shin-Soo Choo (16, 37)",218,L,HR Log
27,27.,"Khris Davis (8, 32)",218,R,HR Log
28,27.,"Todd Frazier (10, 34)",218,R,HR Log
29,30.,"Kyle Seager (10, 32)",207,L,HR Log
30,31.,"José Abreu (7, 33)",198,R,HR Log
31,32.,"Justin Smoak (11, 33)",196,B,HR Log
32,33.,"Brian Dozier (9, 33)",192,R,HR Log
33,34.,"Alex Gordon (14, 36)",190,L,HR Log
34,34.,"Mike Moustakas (10, 31)",190,L,HR Log
35,36.,"Nick Markakis (15, 36)",189,L,HR Log
36,37.,"Asdrubal Cabrera (14, 34)",188,B,HR Log
37,38.,"Ian Desmond (11, 34)",181,R,HR Log
38,39.,"Charlie Blackmon (10, 33)",178,L,HR Log
39,40.,"Eric Hosmer (10, 30)",176,L,HR Log
40,40.,"Mitch Moreland (11, 34)",176,L,HR Log
41,42.,"George Springer (7, 30)",174,R,HR Log
42,43.,"Marcell Ozuna (8, 29)",166,R,HR Log
43,44.,"Yoenis Céspedes (8, 34)",165,R,HR Log
44,45.,"Eugenio Suarez (7, 28)",162,R,HR Log
45,46.,"Yadier Molina (17, 37)",160,R,HR Log
46,47.,"Chris Carter (8, 33)",158,R,HR Log
47,48.,"Kole Calhoun (9, 32)",156,L,HR Log
48,49.,"Mookie Betts (7, 27)",155,R,HR Log
49,50.,"Matt Carpenter (10, 34)",152,L,HR Log
50,50.,"Salvador Perez (9, 30)",152,R,HR Log
51,52.,"Christian Yelich (8, 28)",151,L,HR Log
52,53.,"Jason Heyward (11, 30)",150,L,HR Log
53,54.,"Yasmani Grandal (9, 31)",149,B,HR Log
54,54.,"Pablo Sandoval (13, 33)",149,B,HR Log
55,54.,"Neil Walker (12, 34)",149,B,HR Log
56,57.,"Matthew Joyce (13, 35)",147,L,HR Log
57,58.,"Rougned Odor (7, 26)",146,L,HR Log
58,58.,"Matt Wieters (12, 34)",146,B,HR Log
59,60.,"Anthony Rendon (8, 30)",145,R,HR Log
60,61.,"Josh Reddick (12, 33)",144,L,HR Log
61,62.,"Kris Bryant (6, 28)",142,R,HR Log
62,63.,"Chris Iannetta (14, 37)",141,R,HR Log
63,63.,"Jonathan Schoop (8, 28)",141,R,HR Log
64,65.,"Logan Morrison (11, 32)",140,L,HR Log
65,65.,"Dustin Pedroia (14, 36)",140,R,HR Log
66,65.,"Buster Posey (11, 33)",140,R,HR Log
67,68.,"Brandon Belt (10, 32)",138,L,HR Log
68,68.,"Francisco Lindor (6, 26)",138,B,HR Log
69,68.,"Daniel Murphy (12, 35)",138,L,HR Log
70,71.,"Starlin Castro (11, 30)",135,R,HR Log
71,72.,"Nicholas Castellanos (8, 28)",134,R,HR Log
72,72.,"Randal Grichuk (7, 28)",134,R,HR Log
73,72.,"Trevor Story (5, 27)",134,R,HR Log
74,75.,"Jose Altuve (10, 30)",133,R,HR Log
75,75.,"Kurt Suzuki (14, 36)",133,R,HR Log
76,77.,"Miguel Sano (6, 27)",131,R,HR Log
77,78.,"Joc Pederson (7, 28)",130,L,HR Log
78,79.,"Brett Gardner (13, 36)",129,L,HR Log
79,79.,"Wil Myers (8, 29)",129,R,HR Log
80,81.,"Wilson Ramos (11, 32)",128,R,HR Log
81,82.,"Dexter Fowler (13, 34)",127,B,HR Log
82,82.,"Jose Ramirez (8, 27)",127,B,HR Log
83,84.,"Jason Kipnis (10, 33)",126,L,HR Log
84,85.,"Justin Turner (12, 35)",124,R,HR Log
85,86.,"Cody Bellinger (4, 24)",123,L,HR Log
86,87.,"Corey Dickerson (8, 31)",122,L,HR Log
87,88.,"Jedd Gyorko (8, 31)",121,R,HR Log
88,88.,"Kyle Schwarber (6, 27)",121,L,HR Log
89,90.,"Joey Gallo (6, 26)",120,L,HR Log
90,90.,"Didi Gregorius (9, 30)",120,L,HR Log
91,92.,"Aaron Judge (5, 28)",119,R,HR Log
92,92.,"Eddie Rosario (6, 28)",119,L,HR Log
93,94.,"Matt Adams (9, 31)",118,L,HR Log
94,94.,"Javier Baez (7, 27)",118,R,HR Log
95,94.,"Xander Bogaerts (8, 27)",118,R,HR Log
96,94.,"Michael Conforto (6, 27)",118,L,HR Log
97,94.,"C.J. Cron (7, 30)",118,R,HR Log
98,99.,"Gary Sanchez (6, 27)",115,R,HR Log
99,99.,"Marcus Semien (8, 29)",115,R,HR Log
