,Rank,"Player (yrs, age)",Bases on Balls,Bats
0,1.,"Albert Pujols (20, 40)",1331,R
1,2.,"Joey Votto (14, 36)",1217,L
2,3.,"Miguel Cabrera (18, 37)",1159,R
3,4.,"Carlos Santana (11, 34)",991,B
4,5.,"Edwin Encarnacion (16, 37)",903,R
5,6.,"Nick Markakis (15, 36)",891,L
6,7.,"Shin-Soo Choo (16, 37)",868,L
7,8.,"Andrew McCutchen (12, 33)",845,R
8,9.,"Mike Trout (10, 28)",838,R
9,10.,"Paul Goldschmidt (10, 32)",770,R
10,11.,"Justin Upton (14, 32)",740,R
11,12.,"Dexter Fowler (13, 34)",739,B
12,13.,"Bryce Harper (9, 27)",733,L
13,14.,"Freddie Freeman (11, 30)",691,L
14,15.,"Alex Gordon (14, 36)",684,L
15,16.,"Matt Carpenter (10, 34)",664,L
16,17.,"Evan Longoria (13, 34)",645,R
17,18.,"Brett Gardner (13, 36)",639,L
18,19.,"Nelson Cruz (16, 39)",632,R
19,20.,"Ryan Zimmerman (15, 35)",630,R
20,21.,"Dustin Pedroia (14, 36)",624,R
21,22.,"Robinson Cano (16, 37)",616,L
22,23.,"Anthony Rizzo (10, 30)",609,L
23,24.,"Jason Heyward (11, 30)",606,L
24,25.,"Jay Bruce (13, 33)",595,L
25,26.,"Ryan Braun (14, 36)",586,R
26,27.,"Giancarlo Stanton (11, 30)",584,R
27,28.,"Chris Iannetta (14, 37)",576,R
28,29.,"Josh Donaldson (10, 34)",575,R
29,30.,"Chris Davis (13, 34)",555,L
30,31.,"Asdrubal Cabrera (14, 34)",553,B
31,32.,"Justin Smoak (11, 33)",552,B
32,33.,"Matthew Joyce (13, 35)",547,L
33,34.,"Brandon Belt (10, 32)",532,L
34,35.,"Matt Kemp (15, 35)",518,R
35,36.,"Elvis Andrus (12, 31)",516,R
36,37.,"Yadier Molina (17, 37)",513,R
37,38.,"Alex Avila (12, 33)",509,L
38,39.,"Christian Yelich (8, 28)",494,L
39,40.,"Brian Dozier (9, 33)",488,R
40,41.,"Yasmani Grandal (9, 31)",487,B
41,42.,"Buster Posey (11, 33)",484,R
42,43.,"Kyle Seager (10, 32)",474,L
43,44.,"Eric Hosmer (10, 30)",471,L
44,45.,"Jason Kipnis (10, 33)",467,L
45,46.,"Neil Walker (12, 34)",460,B
46,47.,"Carlos Gonzalez (12, 34)",448,L
47,48.,"Anthony Rendon (8, 30)",447,R
48,49.,"Jed Lowrie (12, 36)",439,B
49,50.,"Todd Frazier (10, 34)",435,R
50,51.,"Michael Brantley (12, 33)",419,L
51,52.,"Brandon Crawford (10, 33)",413,L
52,53.,"J.D. Martinez (10, 32)",411,R
53,54.,"George Springer (7, 30)",396,R
54,55.,"Mookie Betts (7, 27)",395,R
55,55.,"Kole Calhoun (9, 32)",395,L
56,57.,"Logan Morrison (11, 32)",393,L
57,58.,"Ian Desmond (11, 34)",387,R
58,58.,"Manny Machado (9, 27)",387,R
59,58.,"Josh Reddick (12, 33)",387,L
60,61.,"Kris Bryant (6, 28)",381,R
61,62.,"Jose Altuve (10, 30)",377,R
62,63.,"Matt Wieters (12, 34)",368,B
63,64.,"Mitch Moreland (11, 34)",367,L
64,65.,"Yonder Alonso (10, 33)",366,L
65,65.,"Jonathan Lucroy (11, 34)",366,R
66,67.,"Cameron Maybin (14, 33)",365,R
67,68.,"Daniel Murphy (12, 35)",364,L
68,69.,"Nolan Arenado (8, 29)",362,R
69,70.,"Kurt Suzuki (14, 36)",360,R
70,71.,"Justin Turner (12, 35)",351,R
71,72.,"Cesar Hernandez (8, 30)",349,B
72,73.,"Pablo Sandoval (13, 33)",346,B
73,74.,"Robbie Grossman (8, 30)",345,B
74,75.,"Logan Forsythe (10, 33)",343,R
75,76.,"Xander Bogaerts (8, 27)",342,R
76,76.,"DJ LeMahieu (10, 31)",342,R
77,78.,"Eugenio Suarez (7, 28)",338,R
78,79.,"Aaron Hicks (8, 30)",337,B
79,80.,"Mike Moustakas (10, 31)",334,L
80,81.,"Jose Ramirez (8, 27)",332,B
81,82.,"Wil Myers (8, 29)",331,R
82,83.,"Marcell Ozuna (8, 29)",329,R
83,84.,"Lorenzo Cain (11, 34)",328,R
84,85.,"Chris Carter (8, 33)",327,R
85,86.,"Marcus Semien (8, 29)",326,R
86,87.,"Adam Eaton (9, 31)",324,L
87,88.,"Khris Davis (8, 32)",318,R
88,89.,"Charlie Blackmon (10, 33)",317,L
89,90.,"Jason Castro (10, 33)",314,L
90,91.,"Starlin Castro (11, 30)",312,R
91,92.,"Alex Bregman (5, 26)",309,R
92,93.,"Jackie Bradley Jr. (8, 30)",304,L
93,93.,"Joc Pederson (7, 28)",304,L
94,95.,"Daniel Descalso (10, 33)",303,L
95,96.,"Michael Conforto (6, 27)",302,L
96,97.,"Aaron Judge (5, 28)",286,R
97,98.,"Erick Aybar (12, 36)",285,B
98,98.,"Jon Jay (11, 35)",285,L
99,100.,"Francisco Lindor (6, 26)",284,B
