,Rank,"Player (yrs, age)",Stolen Bases,Bats
0,1.,"Dee Strange-Gordon (10, 32)",333,L
1,2.,"Elvis Andrus (12, 31)",305,R
2,2.,"Billy Hamilton (8, 29)",305,B
3,4.,"Brett Gardner (13, 36)",270,L
4,5.,"Jose Altuve (10, 30)",256,R
5,5.,"Jarrod Dyson (11, 35)",256,L
6,7.,"Starling Marte (9, 31)",249,R
7,8.,"Jonathan Villar (8, 29)",218,B
8,9.,"Ryan Braun (14, 36)",216,R
9,10.,"Mike Trout (10, 28)",201,R
10,11.,"Andrew McCutchen (12, 33)",191,R
11,12.,"Cameron Maybin (14, 33)",186,R
12,13.,"Matt Kemp (15, 35)",184,R
13,14.,"Jean Segura (9, 30)",183,R
14,15.,"Ian Desmond (11, 34)",181,R
15,16.,"Lorenzo Cain (11, 34)",175,R
16,17.,"Trea Turner (6, 27)",171,R
17,18.,"Emilio Bonifacio (12, 35)",166,B
18,19.,"Shin-Soo Choo (16, 37)",157,L
19,20.,"Erick Aybar (12, 36)",155,B
20,21.,"Dexter Fowler (13, 34)",148,B
21,22.,"Justin Upton (14, 32)",147,R
22,23.,"Eduardo Nunez (11, 33)",142,R
23,24.,"Dustin Pedroia (14, 36)",138,R
24,25.,"Mookie Betts (7, 27)",136,R
25,25.,"Jason Kipnis (10, 33)",136,L
26,27.,"Charlie Blackmon (10, 33)",131,L
27,28.,"Paul Goldschmidt (10, 32)",128,R
28,28.,"Christian Yelich (8, 28)",128,L
29,30.,"Jose Ramirez (8, 27)",127,B
30,31.,"Michael Brantley (12, 33)",123,L
31,32.,"Carlos Gonzalez (12, 34)",122,L
32,33.,"Mallex Smith (5, 27)",120,L
33,34.,"Whit Merrifield (5, 31)",119,R
34,35.,"Ender Inciarte (7, 29)",117,L
35,36.,"Albert Pujols (20, 40)",114,R
36,37.,"Alex Gordon (14, 36)",113,L
37,37.,"Adalberto Mondesi (6, 24)",113,B
38,39.,"Jason Heyward (11, 30)",112,L
39,40.,"AJ Pollock (9, 32)",110,R
40,41.,"Delino DeShields (6, 27)",109,R
41,42.,"Brian Dozier (9, 33)",105,R
42,43.,"Francisco Lindor (6, 26)",99,B
43,44.,"Bryce Harper (9, 27)",98,L
44,45.,"Kevin Kiermaier (8, 30)",97,L
45,46.,"Wil Myers (8, 29)",95,R
46,47.,"Asdrubal Cabrera (14, 34)",90,B
47,48.,"Starlin Castro (11, 30)",89,R
48,49.,"Kevin Pillar (8, 31)",88,R
49,49.,"Kolten Wong (8, 29)",88,L
50,51.,"Adam Eaton (9, 31)",84,L
51,51.,"Gregory Polanco (7, 28)",84,L
52,53.,"DJ LeMahieu (10, 31)",83,R
53,54.,"Josh Harrison (10, 32)",80,R
54,54.,"Cesar Hernandez (8, 30)",80,B
55,54.,"Trevor Story (5, 27)",80,R
56,57.,"Joey Votto (14, 36)",79,L
57,58.,"Jose Peraza (6, 26)",78,R
58,59.,"Michael A. Taylor (7, 29)",77,R
59,60.,"Nelson Cruz (16, 39)",76,R
60,60.,"Chris Owings (8, 28)",76,R
61,62.,"Tommy Pham (7, 32)",75,R
62,63.,"Tim Anderson (5, 27)",73,R
63,63.,"Todd Frazier (10, 34)",73,R
64,63.,"Jake Marisnick (8, 29)",73,R
65,66.,"Eric Hosmer (10, 30)",71,L
66,66.,"Danny Santana (7, 29)",71,B
67,68.,"Hernan Perez (9, 29)",69,R
68,69.,"Daniel Murphy (12, 35)",68,L
69,70.,"Andrelton Simmons (9, 30)",67,R
70,71.,"Tony Campana (4, 34)",66,L
71,71.,"Nick Markakis (15, 36)",66,L
72,71.,"Yadier Molina (17, 37)",66,R
73,71.,"Marcus Semien (8, 29)",66,R
74,75.,"Jay Bruce (13, 33)",65,L
75,76.,"Travis Jankowski (6, 29)",64,L
76,76.,"Manny Machado (9, 27)",64,R
77,78.,"Javier Baez (7, 27)",63,R
78,79.,"Byron Buxton (6, 26)",62,R
79,79.,"Manuel Margot (5, 25)",62,R
80,79.,"Rougned Odor (7, 26)",62,L
81,82.,"Ronald Acuna Jr. (3, 22)",61,R
82,82.,"Xander Bogaerts (8, 27)",61,R
83,82.,"Edwin Encarnacion (16, 37)",61,R
84,82.,"Josh Reddick (12, 33)",61,L
85,86.,"Jackie Bradley Jr. (8, 30)",60,L
86,86.,"Keon Broxton (5, 30)",60,R
87,86.,"Anthony Rizzo (10, 30)",60,L
88,89.,"Anthony Gose (5, 29)",57,L
89,89.,"Evan Longoria (13, 34)",57,R
90,91.,"Freddy Galvis (9, 30)",56,B
91,91.,"Leury Garcia (8, 29)",56,B
92,91.,"Odubel Herrera (5, 28)",56,L
93,94.,"Aaron Hicks (8, 30)",55,B
94,94.,"Jon Jay (11, 35)",55,L
95,96.,"Andrew Benintendi (5, 25)",53,L
96,97.,"José Iglesias (9, 30)",52,R
97,97.,"Kyle Seager (10, 32)",52,L
98,99.,"Robinson Cano (16, 37)",51,L
99,100.,"Amed Rosario (4, 24)",50,R
