,Rank,"Player (yrs, age)",Runs Created,Bats
0,1.,"Albert Pujols (20, 40)",2213,R
1,2.,"Miguel Cabrera (18, 37)",1899,R
2,3.,"Joey Votto (14, 36)",1431,L
3,4.,"Robinson Cano (16, 37)",1429,L
4,5.,"Nick Markakis (15, 36)",1265,L
5,6.,"Ryan Braun (14, 36)",1252,R
6,7.,"Edwin Encarnacion (16, 37)",1243,R
7,8.,"Mike Trout (10, 28)",1199,R
8,9.,"Nelson Cruz (16, 39)",1173,R
9,10.,"Andrew McCutchen (12, 33)",1143,R
10,11.,"Shin-Soo Choo (16, 37)",1097,L
11,12.,"Justin Upton (14, 32)",1062,R
12,13.,"Freddie Freeman (11, 30)",1031,L
13,13.,"Evan Longoria (13, 34)",1031,R
14,15.,"Ryan Zimmerman (15, 35)",1023,R
15,16.,"Matt Kemp (15, 35)",1016,R
16,17.,"Paul Goldschmidt (10, 32)",1010,R
17,18.,"Dustin Pedroia (14, 36)",986,R
18,19.,"Alex Gordon (14, 36)",926,L
19,20.,"Yadier Molina (17, 37)",917,R
20,20.,"Carlos Santana (11, 34)",917,B
21,22.,"Asdrubal Cabrera (14, 34)",884,B
22,23.,"Jay Bruce (13, 33)",877,L
23,23.,"Carlos Gonzalez (12, 34)",877,L
24,25.,"Anthony Rizzo (10, 30)",863,L
25,26.,"Giancarlo Stanton (11, 30)",858,R
26,27.,"Bryce Harper (9, 27)",855,L
27,28.,"Jose Altuve (10, 30)",853,R
28,29.,"Daniel Murphy (12, 35)",817,L
29,30.,"Dexter Fowler (13, 34)",813,B
30,31.,"Charlie Blackmon (10, 33)",805,L
31,32.,"Brett Gardner (13, 36)",804,L
32,33.,"Elvis Andrus (12, 31)",792,R
33,34.,"Eric Hosmer (10, 30)",775,L
34,35.,"J.D. Martinez (10, 32)",772,R
35,36.,"Matt Carpenter (10, 34)",770,L
36,37.,"Buster Posey (11, 33)",767,R
37,38.,"Chris Davis (13, 34)",763,L
38,39.,"Josh Donaldson (10, 34)",761,R
39,40.,"Michael Brantley (12, 33)",760,L
40,41.,"Jason Heyward (11, 30)",757,L
41,42.,"Nolan Arenado (8, 29)",755,R
42,43.,"Christian Yelich (8, 28)",730,L
43,44.,"Starlin Castro (11, 30)",727,R
44,45.,"Ian Desmond (11, 34)",723,R
45,46.,"Kyle Seager (10, 32)",719,L
46,47.,"Manny Machado (9, 27)",717,R
47,48.,"Mookie Betts (7, 27)",706,R
48,49.,"Anthony Rendon (8, 30)",690,R
49,50.,"Neil Walker (12, 34)",669,B
50,51.,"José Abreu (7, 33)",664,R
51,52.,"Brandon Belt (10, 32)",654,L
52,53.,"Jason Kipnis (10, 33)",646,L
53,54.,"Pablo Sandoval (13, 33)",645,B
54,55.,"Kurt Suzuki (14, 36)",644,R
55,56.,"DJ LeMahieu (10, 31)",643,R
56,57.,"Brian Dozier (9, 33)",638,R
57,58.,"Todd Frazier (10, 34)",625,R
58,58.,"Justin Turner (12, 35)",625,R
59,60.,"Xander Bogaerts (8, 27)",609,R
60,61.,"Erick Aybar (12, 36)",602,B
61,61.,"Josh Reddick (12, 33)",602,L
62,63.,"Starling Marte (9, 31)",600,R
63,64.,"Marcell Ozuna (8, 29)",584,R
64,65.,"Mike Moustakas (10, 31)",580,L
65,66.,"Lorenzo Cain (11, 34)",574,R
66,66.,"Jean Segura (9, 30)",574,R
67,68.,"Jed Lowrie (12, 36)",572,B
68,69.,"Justin Smoak (11, 33)",571,B
69,70.,"Jonathan Lucroy (11, 34)",569,R
70,71.,"Kris Bryant (6, 28)",567,R
71,72.,"Matthew Joyce (13, 35)",565,L
72,73.,"George Springer (7, 30)",562,R
73,74.,"Jose Ramirez (8, 27)",554,B
74,75.,"Mitch Moreland (11, 34)",551,L
75,76.,"Brandon Crawford (10, 33)",545,L
76,77.,"Nicholas Castellanos (8, 28)",541,R
77,78.,"Francisco Lindor (6, 26)",534,B
78,79.,"Kole Calhoun (9, 32)",532,L
79,79.,"Chris Iannetta (14, 37)",532,R
80,81.,"Yoenis Céspedes (8, 34)",514,R
81,82.,"Matt Wieters (12, 34)",508,B
82,83.,"Khris Davis (8, 32)",506,R
83,84.,"Adam Eaton (9, 31)",505,L
84,84.,"Jon Jay (11, 35)",505,L
85,86.,"Eugenio Suarez (7, 28)",493,R
86,87.,"Cameron Maybin (14, 33)",479,R
87,88.,"Yasmani Grandal (9, 31)",472,B
88,89.,"Logan Morrison (11, 32)",471,L
89,90.,"Dee Strange-Gordon (10, 32)",466,L
90,91.,"Corey Dickerson (8, 31)",460,L
91,91.,"Salvador Perez (9, 30)",460,R
92,93.,"Didi Gregorius (9, 30)",459,L
93,94.,"Marcus Semien (8, 29)",457,R
94,95.,"Yonder Alonso (10, 33)",455,L
95,96.,"Andrelton Simmons (9, 30)",452,R
96,97.,"Eduardo Escobar (10, 31)",450,B
97,98.,"Wil Myers (8, 29)",449,R
98,99.,"AJ Pollock (9, 32)",448,R
99,100.,"Cesar Hernandez (8, 30)",444,B
