,Rank,"Player (yrs, age)",Extra Base Hits,Bats
0,1.,"Albert Pujols (20, 40)",1347,R
1,2.,"Miguel Cabrera (18, 37)",1085,R
2,3.,"Robinson Cano (16, 37)",938,L
3,4.,"Ryan Braun (14, 36)",809,R
4,5.,"Edwin Encarnacion (16, 37)",804,R
5,6.,"Nelson Cruz (16, 39)",760,R
6,7.,"Joey Votto (14, 36)",727,L
7,8.,"Nick Markakis (15, 36)",725,L
8,9.,"Evan Longoria (13, 34)",722,R
9,10.,"Ryan Zimmerman (15, 35)",693,R
10,11.,"Justin Upton (14, 32)",682,R
11,12.,"Matt Kemp (15, 35)",662,R
12,13.,"Jay Bruce (13, 33)",661,L
13,14.,"Andrew McCutchen (12, 33)",634,R
14,15.,"Mike Trout (10, 28)",610,R
15,16.,"Freddie Freeman (11, 30)",605,L
16,17.,"Asdrubal Cabrera (14, 34)",596,B
17,18.,"Shin-Soo Choo (16, 37)",586,L
18,19.,"Carlos Gonzalez (12, 34)",576,L
19,20.,"Paul Goldschmidt (10, 32)",574,R
20,21.,"Alex Gordon (14, 36)",573,L
21,22.,"Giancarlo Stanton (11, 30)",569,R
22,23.,"Carlos Santana (11, 34)",557,B
23,24.,"Dustin Pedroia (14, 36)",549,R
24,25.,"Yadier Molina (17, 37)",548,R
25,26.,"Daniel Murphy (12, 35)",538,L
26,27.,"Chris Davis (13, 34)",528,L
27,28.,"Nolan Arenado (8, 29)",524,R
28,29.,"Anthony Rizzo (10, 30)",515,L
29,30.,"J.D. Martinez (10, 32)",509,R
30,31.,"Kyle Seager (10, 32)",500,L
31,32.,"Ian Desmond (11, 34)",495,R
32,33.,"Manny Machado (9, 27)",482,R
33,34.,"Bryce Harper (9, 27)",481,L
34,35.,"Starlin Castro (11, 30)",474,R
35,36.,"Jose Altuve (10, 30)",469,R
36,36.,"Matt Carpenter (10, 34)",469,L
37,38.,"Eric Hosmer (10, 30)",468,L
38,39.,"Charlie Blackmon (10, 33)",465,L
39,39.,"Josh Donaldson (10, 34)",465,R
40,41.,"Dexter Fowler (13, 34)",462,B
41,42.,"José Abreu (7, 33)",445,R
42,43.,"Brian Dozier (9, 33)",444,R
43,43.,"Todd Frazier (10, 34)",444,R
44,45.,"Michael Brantley (12, 33)",438,L
45,46.,"Jason Heyward (11, 30)",435,L
46,47.,"Brett Gardner (13, 36)",433,L
47,48.,"Pablo Sandoval (13, 33)",432,B
48,49.,"Mike Moustakas (10, 31)",431,L
49,50.,"Elvis Andrus (12, 31)",427,R
50,51.,"Kurt Suzuki (14, 36)",422,R
51,52.,"Mookie Betts (7, 27)",420,R
52,53.,"Buster Posey (11, 33)",419,R
53,54.,"Anthony Rendon (8, 30)",417,R
54,55.,"Brandon Belt (10, 32)",415,L
55,56.,"Jason Kipnis (10, 33)",410,L
56,57.,"Neil Walker (12, 34)",409,B
57,58.,"Nicholas Castellanos (8, 28)",408,R
58,59.,"Justin Smoak (11, 33)",394,B
59,60.,"Mitch Moreland (11, 34)",392,L
60,60.,"Christian Yelich (8, 28)",392,L
61,62.,"Khris Davis (8, 32)",385,R
62,62.,"Josh Reddick (12, 33)",385,L
63,64.,"Jed Lowrie (12, 36)",380,B
64,65.,"Brandon Crawford (10, 33)",378,L
65,66.,"Xander Bogaerts (8, 27)",368,R
66,67.,"Matthew Joyce (13, 35)",367,L
67,67.,"Justin Turner (12, 35)",367,R
68,69.,"Starling Marte (9, 31)",363,R
69,69.,"Jose Ramirez (8, 27)",363,B
70,71.,"Yoenis Céspedes (8, 34)",362,R
71,71.,"Marcell Ozuna (8, 29)",362,R
72,73.,"Erick Aybar (12, 36)",360,B
73,74.,"Salvador Perez (9, 30)",351,R
74,75.,"Kole Calhoun (9, 32)",349,L
75,76.,"Jonathan Lucroy (11, 34)",348,R
76,77.,"Corey Dickerson (8, 31)",347,L
77,78.,"Francisco Lindor (6, 26)",344,B
78,79.,"Matt Wieters (12, 34)",341,B
79,80.,"Chris Iannetta (14, 37)",333,R
80,81.,"Kris Bryant (6, 28)",331,R
81,81.,"Eduardo Escobar (10, 31)",331,B
82,83.,"DJ LeMahieu (10, 31)",326,R
83,84.,"Logan Morrison (11, 32)",324,L
84,84.,"George Springer (7, 30)",324,R
85,86.,"Jean Segura (9, 30)",321,R
86,87.,"Rougned Odor (7, 26)",318,L
87,88.,"Jorge Cantu (8, 38)",312,R
88,89.,"Wil Myers (8, 29)",310,R
89,90.,"Lorenzo Cain (11, 34)",309,R
90,91.,"Randal Grichuk (7, 28)",307,R
91,91.,"Marcus Semien (8, 29)",307,R
92,93.,"AJ Pollock (9, 32)",303,R
93,93.,"Jonathan Schoop (8, 28)",303,R
94,93.,"Eugenio Suarez (7, 28)",303,R
95,96.,"Trevor Story (5, 27)",302,R
96,97.,"Kevin Pillar (8, 31)",300,R
97,98.,"Yasmani Grandal (9, 31)",299,B
98,99.,"Didi Gregorius (9, 30)",296,L
99,100.,"Yonder Alonso (10, 33)",283,L
100,100.,"Jackie Bradley Jr. (8, 30)",283,L
