,Rank,"Player (yrs, age)",Hit By Pitch,Bats
0,1.,"Anthony Rizzo (10, 30)",155,L
1,2.,"Shin-Soo Choo (16, 37)",152,L
2,3.,"Derek Dietrich (8, 30)",123,L
3,4.,"Alex Gordon (14, 36)",121,L
4,5.,"Starling Marte (9, 31)",120,R
5,6.,"Jon Jay (11, 35)",110,L
6,7.,"Albert Pujols (20, 40)",108,R
7,8.,"Kurt Suzuki (14, 36)",106,R
8,9.,"Edwin Encarnacion (16, 37)",105,R
9,10.,"Justin Turner (12, 35)",93,R
10,11.,"Robinson Cano (16, 37)",85,L
11,12.,"Mike Trout (10, 28)",84,R
12,13.,"José Abreu (7, 33)",83,R
13,14.,"Kris Bryant (6, 28)",78,R
14,15.,"Ryan Braun (14, 36)",77,R
15,16.,"Tyler Flowers (12, 34)",75,R
16,16.,"Todd Frazier (10, 34)",75,R
17,18.,"Charlie Blackmon (10, 33)",74,L
18,18.,"Justin Upton (14, 32)",74,R
19,20.,"Nelson Cruz (16, 39)",73,R
20,20.,"Andrew McCutchen (12, 33)",73,R
21,22.,"Kolten Wong (8, 29)",71,L
22,23.,"Chris Iannetta (14, 37)",69,R
23,23.,"Evan Longoria (13, 34)",69,R
24,23.,"Yadier Molina (17, 37)",69,R
25,26.,"Adam Eaton (9, 31)",68,L
26,26.,"Freddie Freeman (11, 30)",68,L
27,28.,"Asdrubal Cabrera (14, 34)",65,B
28,29.,"Miguel Cabrera (18, 37)",64,R
29,29.,"Brett Gardner (13, 36)",64,L
30,31.,"Sean Rodriguez (13, 35)",62,R
31,32.,"Robinson Chirinos (9, 36)",60,R
32,32.,"Josh Harrison (10, 32)",60,R
33,32.,"Joey Votto (14, 36)",60,L
34,35.,"Matt Carpenter (10, 34)",59,L
35,35.,"Kyle Seager (10, 32)",59,L
36,37.,"Chris Davis (13, 34)",58,L
37,38.,"George Springer (7, 30)",55,R
38,38.,"Neil Walker (12, 34)",55,B
39,40.,"Gordon Beckham (11, 33)",54,R
40,40.,"Jackie Bradley Jr. (8, 30)",54,L
41,42.,"Mark Canha (6, 31)",53,R
42,43.,"Erick Aybar (12, 36)",52,B
43,44.,"Dexter Fowler (13, 34)",51,B
44,44.,"Martin Maldonado (10, 33)",51,R
45,44.,"Nick Markakis (15, 36)",51,L
46,44.,"Mike Zunino (8, 29)",51,R
47,48.,"Jose Altuve (10, 30)",50,R
48,48.,"Anthony Rendon (8, 30)",50,R
49,50.,"Jason Heyward (11, 30)",49,L
50,50.,"Mike Moustakas (10, 31)",49,L
51,50.,"Jonathan Schoop (8, 28)",49,R
52,53.,"C.J. Cron (7, 30)",48,R
53,53.,"Khris Davis (8, 32)",48,R
54,53.,"Rougned Odor (7, 26)",48,L
55,56.,"Brian Dozier (9, 33)",47,R
56,56.,"Logan Forsythe (10, 33)",47,R
57,56.,"Jean Segura (9, 30)",47,R
58,56.,"Eugenio Suarez (7, 28)",47,R
59,60.,"Josh Donaldson (10, 34)",46,R
60,60.,"Giancarlo Stanton (11, 30)",46,R
61,62.,"Lorenzo Cain (11, 34)",45,R
62,63.,"Elvis Andrus (12, 31)",44,R
63,63.,"Yan Gomes (9, 32)",44,R
64,63.,"José Iglesias (9, 30)",44,R
65,63.,"Joc Pederson (7, 28)",44,L
66,67.,"Willson Contreras (5, 28)",43,R
67,67.,"Ian Desmond (11, 34)",43,R
68,69.,"Avisail Garcia (9, 29)",42,R
69,69.,"Buster Posey (11, 33)",42,R
70,71.,"Brandon Crawford (10, 33)",41,L
71,71.,"Didi Gregorius (9, 30)",41,L
72,73.,"Salvador Perez (9, 30)",40,R
73,74.,"Jason Kipnis (10, 33)",39,L
74,75.,"Starlin Castro (11, 30)",38,R
75,75.,"Michael Conforto (6, 27)",38,L
76,75.,"Dustin Pedroia (14, 36)",38,R
77,75.,"Victor Robles (4, 23)",38,R
78,79.,"Jorge Cantu (8, 38)",37,R
79,79.,"Logan Morrison (11, 32)",37,L
80,79.,"Kevin Pillar (8, 31)",37,R
81,82.,"Brian Anderson (4, 27)",36,R
82,82.,"Kole Calhoun (9, 32)",36,L
83,82.,"Brandon Nimmo (5, 27)",36,L
84,82.,"J.T. Realmuto (7, 29)",36,R
85,86.,"Welington Castillo (10, 33)",35,R
86,86.,"Paul Goldschmidt (10, 32)",35,R
87,88.,"Jonathan Lucroy (11, 34)",34,R
88,88.,"Stephen Piscotty (6, 29)",34,R
89,90.,"Brandon Belt (10, 32)",33,L
90,90.,"Mitch Moreland (11, 34)",33,L
91,90.,"Jurickson Profar (7, 27)",33,B
92,93.,"Dee Strange-Gordon (10, 32)",32,L
93,93.,"Jose Peraza (6, 26)",32,R
94,93.,"Christian Yelich (8, 28)",32,L
95,96.,"Jorge Alfaro (5, 27)",31,R
96,96.,"Xander Bogaerts (8, 27)",31,R
97,96.,"Michael Brantley (12, 33)",31,L
98,96.,"Yoenis Céspedes (8, 34)",31,R
99,96.,"Bryce Harper (9, 27)",31,L
100,96.,"Matthew Joyce (13, 35)",31,L
101,96.,"Ryan Zimmerman (15, 35)",31,R
