,Rank,"Player (yrs, age)",Intentional Bases on Balls,Bats
0,1.,"Albert Pujols (20, 40)",312,R
1,2.,"Miguel Cabrera (18, 37)",235,R
2,3.,"Joey Votto (14, 36)",141,L
3,4.,"Robinson Cano (16, 37)",112,L
4,5.,"Paul Goldschmidt (10, 32)",105,R
5,6.,"Mike Trout (10, 28)",104,R
6,7.,"Bryce Harper (9, 27)",89,L
7,8.,"Freddie Freeman (11, 30)",87,L
8,9.,"Evan Longoria (13, 34)",81,R
9,10.,"Giancarlo Stanton (11, 30)",80,R
10,11.,"Nick Markakis (15, 36)",79,L
11,12.,"Jay Bruce (13, 33)",71,L
12,13.,"Matt Kemp (15, 35)",69,R
13,14.,"Nelson Cruz (16, 39)",66,R
14,14.,"Anthony Rizzo (10, 30)",66,L
15,16.,"Brandon Crawford (10, 33)",65,L
16,17.,"Andrew McCutchen (12, 33)",64,R
17,18.,"Buster Posey (11, 33)",62,R
18,19.,"Nolan Arenado (8, 29)",58,R
19,20.,"Carlos Santana (11, 34)",57,B
20,21.,"Ryan Braun (14, 36)",56,R
21,21.,"Jordy Mercer (9, 33)",56,R
22,21.,"Daniel Murphy (12, 35)",56,L
23,24.,"Carlos Gonzalez (12, 34)",55,L
24,24.,"Pablo Sandoval (13, 33)",55,B
25,26.,"Edwin Encarnacion (16, 37)",54,R
26,27.,"José Abreu (7, 33)",51,R
27,28.,"Chris Davis (13, 34)",50,L
28,29.,"Yadier Molina (17, 37)",49,R
29,29.,"Justin Upton (14, 32)",49,R
30,31.,"Alex Gordon (14, 36)",48,L
31,32.,"Eric Hosmer (10, 30)",46,L
32,32.,"J.D. Martinez (10, 32)",46,R
33,34.,"Cody Bellinger (4, 24)",45,L
34,35.,"Shin-Soo Choo (16, 37)",43,L
35,35.,"Ryan Zimmerman (15, 35)",43,R
36,37.,"Manny Machado (9, 27)",41,R
37,38.,"Maikel Franco (7, 27)",39,R
38,39.,"Jose Altuve (10, 30)",38,R
39,39.,"Matt Carpenter (10, 34)",38,L
40,41.,"Tucker Barnhart (7, 29)",34,L
41,41.,"Michael Brantley (12, 33)",34,L
42,41.,"Mitch Moreland (11, 34)",34,L
43,41.,"Christian Yelich (8, 28)",34,L
44,45.,"Yoenis Céspedes (8, 34)",33,R
45,45.,"Kyle Seager (10, 32)",33,L
46,47.,"Dansby Swanson (5, 26)",32,R
47,48.,"Starlin Castro (11, 30)",31,R
48,49.,"Javier Baez (7, 27)",30,R
49,49.,"Brandon Belt (10, 32)",30,L
50,51.,"Yonder Alonso (10, 33)",29,L
51,51.,"Chris Iannetta (14, 37)",29,R
52,51.,"Matt Wieters (12, 34)",29,B
53,54.,"Charlie Blackmon (10, 33)",28,L
54,54.,"Daniel Descalso (10, 33)",28,L
55,54.,"Anthony Rendon (8, 30)",28,R
56,54.,"Kyle Schwarber (6, 27)",28,L
57,58.,"Corey Dickerson (8, 31)",27,L
58,58.,"Francisco Lindor (6, 26)",27,B
59,58.,"Neil Walker (12, 34)",27,B
60,58.,"Kolten Wong (8, 29)",27,L
61,62.,"Mookie Betts (7, 27)",26,R
62,62.,"Matthew Joyce (13, 35)",26,L
63,62.,"Wilson Ramos (11, 32)",26,R
64,65.,"Asdrubal Cabrera (14, 34)",25,B
65,65.,"Logan Morrison (11, 32)",25,L
66,65.,"Mike Moustakas (10, 31)",25,L
67,65.,"Dustin Pedroia (14, 36)",25,R
68,65.,"Juan Soto (3, 21)",25,L
69,70.,"Jose Ramirez (8, 27)",24,B
70,71.,"Alex Avila (12, 33)",23,L
71,71.,"Josh Bell (5, 27)",23,B
72,71.,"Jason Heyward (11, 30)",23,L
73,71.,"Gregory Polanco (7, 28)",23,L
74,75.,"Jon Jay (11, 35)",22,L
75,75.,"Jake Lamb (7, 29)",22,L
76,75.,"Kurt Suzuki (14, 36)",22,R
77,78.,"Eduardo Escobar (10, 31)",21,B
78,78.,"Josh Reddick (12, 33)",21,L
79,80.,"Michael Conforto (6, 27)",20,L
80,80.,"Adeiny Hechavarria (9, 31)",20,R
81,80.,"DJ LeMahieu (10, 31)",20,R
82,80.,"Jonathan Lucroy (11, 34)",20,R
83,80.,"Jean Segura (9, 30)",20,R
84,80.,"Travis Shaw (6, 30)",20,L
85,80.,"Justin Smoak (11, 33)",20,B
86,87.,"Josh Donaldson (10, 34)",19,R
87,88.,"Erick Aybar (12, 36)",18,B
88,88.,"Brian Dozier (9, 33)",18,R
89,88.,"Didi Gregorius (9, 30)",18,L
90,88.,"Aaron Judge (5, 28)",18,R
91,88.,"Jed Lowrie (12, 36)",18,B
92,88.,"Tony Wolters (5, 28)",18,L
93,94.,"Jackie Bradley Jr. (8, 30)",17,L
94,94.,"Kris Bryant (6, 28)",17,R
95,94.,"Carlos Correa (6, 25)",17,R
96,94.,"Jeff Mathis (16, 37)",17,R
97,94.,"Salvador Perez (9, 30)",17,R
98,99.,"Matt Adams (9, 31)",16,L
99,99.,"Xander Bogaerts (8, 27)",16,R
100,99.,"Rafael Devers (4, 23)",16,L
101,99.,"Dexter Fowler (13, 34)",16,B
102,99.,"Avisail Garcia (9, 29)",16,R
103,99.,"Jason Kipnis (10, 33)",16,L
104,99.,"Martin Maldonado (10, 33)",16,R
105,99.,"Joc Pederson (7, 28)",16,L
