,Rank,"Player (yrs, age)",Caught Stealing,Bats
0,1.,"Elvis Andrus (12, 31)",105,R
1,2.,"Dee Strange-Gordon (10, 32)",100,L
2,3.,"Starling Marte (9, 31)",79,R
3,4.,"Jose Altuve (10, 30)",77,R
4,4.,"Andrew McCutchen (12, 33)",77,R
5,6.,"Billy Hamilton (8, 29)",71,B
6,7.,"Dexter Fowler (13, 34)",68,B
7,8.,"Brett Gardner (13, 36)",64,L
8,9.,"Matt Kemp (15, 35)",63,R
9,10.,"Erick Aybar (12, 36)",62,B
10,10.,"Jean Segura (9, 30)",62,R
11,12.,"Ryan Braun (14, 36)",60,R
12,13.,"Jonathan Villar (8, 29)",59,B
13,14.,"Justin Upton (14, 32)",58,R
14,15.,"Ian Desmond (11, 34)",56,R
15,16.,"Charlie Blackmon (10, 33)",55,L
16,16.,"Shin-Soo Choo (16, 37)",55,L
17,16.,"Cameron Maybin (14, 33)",55,R
18,19.,"Starlin Castro (11, 30)",51,R
19,20.,"Emilio Bonifacio (12, 35)",49,B
20,20.,"Rougned Odor (7, 26)",49,L
21,22.,"Dustin Pedroia (14, 36)",46,R
22,23.,"Alex Gordon (14, 36)",45,L
23,23.,"Ender Inciarte (7, 29)",45,L
24,25.,"Jarrod Dyson (11, 35)",44,L
25,26.,"DJ LeMahieu (10, 31)",41,R
26,26.,"Albert Pujols (20, 40)",41,R
27,28.,"Jay Bruce (13, 33)",40,L
28,28.,"Lorenzo Cain (11, 34)",40,R
29,30.,"Jason Heyward (11, 30)",39,L
30,31.,"Robinson Cano (16, 37)",38,L
31,31.,"Todd Frazier (10, 34)",38,R
32,31.,"Eduardo Nunez (11, 33)",38,R
33,34.,"Yadier Molina (17, 37)",37,R
34,34.,"Mike Trout (10, 28)",37,R
35,36.,"Brian Dozier (9, 33)",36,R
36,36.,"Bryce Harper (9, 27)",36,L
37,38.,"Cesar Hernandez (8, 30)",35,B
38,39.,"Whit Merrifield (5, 31)",34,R
39,39.,"Anthony Rizzo (10, 30)",34,L
40,39.,"Mallex Smith (5, 27)",34,L
41,39.,"Trea Turner (6, 27)",34,R
42,43.,"Paul Goldschmidt (10, 32)",33,R
43,43.,"Carlos Gonzalez (12, 34)",33,L
44,43.,"Jon Jay (11, 35)",33,L
45,43.,"Jason Kipnis (10, 33)",33,L
46,47.,"Michael Brantley (12, 33)",32,L
47,47.,"Asdrubal Cabrera (14, 34)",32,B
48,47.,"Nelson Cruz (16, 39)",32,R
49,47.,"Adam Eaton (9, 31)",32,L
50,47.,"Nick Markakis (15, 36)",32,L
51,52.,"Delino DeShields (6, 27)",31,R
52,52.,"Josh Harrison (10, 32)",31,R
53,52.,"Jose Peraza (6, 26)",31,R
54,52.,"Jose Ramirez (8, 27)",31,B
55,52.,"George Springer (7, 30)",31,R
56,57.,"Brandon Crawford (10, 33)",30,L
57,57.,"José Iglesias (9, 30)",30,R
58,57.,"Kevin Kiermaier (8, 30)",30,L
59,57.,"Manny Machado (9, 27)",30,R
60,61.,"Kevin Pillar (8, 31)",29,R
61,61.,"Joey Votto (14, 36)",29,L
62,63.,"Avisail Garcia (9, 29)",28,R
63,64.,"Mookie Betts (7, 27)",27,R
64,64.,"Francisco Lindor (6, 26)",27,B
65,64.,"Jake Marisnick (8, 29)",27,R
66,67.,"Marwin Gonzalez (9, 31)",26,B
67,67.,"Eric Hosmer (10, 30)",26,L
68,67.,"Wil Myers (8, 29)",26,R
69,67.,"Gregory Polanco (7, 28)",26,L
70,67.,"AJ Pollock (9, 32)",26,R
71,67.,"Kyle Seager (10, 32)",26,L
72,67.,"Christian Yelich (8, 28)",26,L
73,74.,"Javier Baez (7, 27)",25,R
74,74.,"Manuel Margot (5, 25)",25,R
75,74.,"Adalberto Mondesi (6, 24)",25,B
76,74.,"Daniel Murphy (12, 35)",25,L
77,74.,"Amed Rosario (4, 24)",25,R
78,74.,"Kolten Wong (8, 29)",25,L
79,80.,"Odubel Herrera (5, 28)",24,L
80,80.,"Danny Santana (7, 29)",24,B
81,80.,"Marcus Semien (8, 29)",24,R
82,80.,"Andrelton Simmons (9, 30)",24,R
83,80.,"Trevor Story (5, 27)",24,R
84,85.,"Anthony Gose (5, 29)",23,L
85,85.,"Aaron Hicks (8, 30)",23,B
86,85.,"Travis Jankowski (6, 29)",23,L
87,85.,"Matthew Joyce (13, 35)",23,L
88,85.,"Yolmer Sanchez (7, 28)",23,B
89,90.,"Neil Walker (12, 34)",22,B
90,91.,"Miguel Cabrera (18, 37)",21,R
91,91.,"Freddie Freeman (11, 30)",21,L
92,91.,"Freddy Galvis (9, 30)",21,B
93,91.,"Michael A. Taylor (7, 29)",21,R
94,95.,"Gordon Beckham (11, 33)",20,R
95,95.,"Yoenis Céspedes (8, 34)",20,R
96,95.,"Robbie Grossman (8, 30)",20,B
97,95.,"Tommy Pham (7, 32)",20,R
98,95.,"Jorge Polanco (7, 26)",20,B
99,95.,"Eddie Rosario (6, 28)",20,L
