,Rank,"Player (yrs, age)",SB %,Bats
0,1.,"Jarrod Dyson (11, 35)",85.333,L
1,2.,"Mike Trout (10, 28)",84.454,R
2,3.,"Chris Owings (8, 28)",83.516,R
3,4.,"Mookie Betts (7, 27)",83.436,R
4,5.,"Trea Turner (6, 27)",83.415,R
5,6.,"Christian Yelich (8, 28)",83.117,L
6,7.,"Adalberto Mondesi (6, 24)",81.884,B
7,8.,"Lorenzo Cain (11, 34)",81.395,R
8,9.,"Hernan Perez (9, 29)",81.176,R
9,10.,"Billy Hamilton (8, 29)",81.117,B
10,11.,"AJ Pollock (9, 32)",80.882,R
11,12.,"Brett Gardner (13, 36)",80.838,L
12,13.,"Jason Kipnis (10, 33)",80.473,L
13,14.,"Jose Ramirez (8, 27)",80.380,B
14,15.,"Tim Anderson (5, 27)",80.220,R
15,16.,"Paul Goldschmidt (10, 32)",79.503,R
16,17.,"Michael Brantley (12, 33)",79.355,L
17,18.,"Tommy Pham (7, 32)",78.947,R
18,19.,"Eduardo Nunez (11, 33)",78.889,R
19,20.,"Carlos Gonzalez (12, 34)",78.710,L
20,21.,"Jonathan Villar (8, 29)",78.700,B
21,22.,"Francisco Lindor (6, 26)",78.571,B
22,22.,"Michael A. Taylor (7, 29)",78.571,R
23,24.,"Wil Myers (8, 29)",78.512,R
24,25.,"Ryan Braun (14, 36)",78.261,R
25,26.,"Mallex Smith (5, 27)",77.922,L
26,27.,"Kolten Wong (8, 29)",77.876,L
27,28.,"Delino DeShields (6, 27)",77.857,R
28,29.,"Whit Merrifield (5, 31)",77.778,R
29,30.,"Emilio Bonifacio (12, 35)",77.209,B
30,31.,"Cameron Maybin (14, 33)",77.178,R
31,32.,"Trevor Story (5, 27)",76.923,R
32,33.,"Dee Strange-Gordon (10, 32)",76.905,L
33,34.,"Jose Altuve (10, 30)",76.877,R
34,35.,"Kevin Kiermaier (8, 30)",76.378,L
35,36.,"Ian Desmond (11, 34)",76.371,R
36,37.,"Gregory Polanco (7, 28)",76.364,L
37,38.,"Starling Marte (9, 31)",75.915,R
38,39.,"Kevin Pillar (8, 31)",75.214,R
39,40.,"Dustin Pedroia (14, 36)",75.000,R
40,41.,"Danny Santana (7, 29)",74.737,B
41,42.,"Jean Segura (9, 30)",74.694,R
42,43.,"Matt Kemp (15, 35)",74.494,R
43,44.,"Brian Dozier (9, 33)",74.468,R
44,45.,"Elvis Andrus (12, 31)",74.390,R
45,46.,"Jason Heyward (11, 30)",74.172,L
46,47.,"Shin-Soo Choo (16, 37)",74.057,L
47,48.,"Asdrubal Cabrera (14, 34)",73.770,B
48,49.,"Andrelton Simmons (9, 30)",73.626,R
49,50.,"Travis Jankowski (6, 29)",73.563,L
50,51.,"Albert Pujols (20, 40)",73.548,R
51,52.,"Marcus Semien (8, 29)",73.333,R
52,53.,"Eric Hosmer (10, 30)",73.196,L
53,54.,"Joey Votto (14, 36)",73.148,L
54,55.,"Bryce Harper (9, 27)",73.134,L
55,56.,"Daniel Murphy (12, 35)",73.118,L
56,57.,"Jake Marisnick (8, 29)",73.000,R
57,58.,"Adam Eaton (9, 31)",72.414,L
58,59.,"Ender Inciarte (7, 29)",72.222,L
59,60.,"Josh Harrison (10, 32)",72.072,R
60,61.,"Justin Upton (14, 32)",71.707,R
61,62.,"Javier Baez (7, 27)",71.591,R
62,63.,"Jose Peraza (6, 26)",71.560,R
63,64.,"Alex Gordon (14, 36)",71.519,L
64,65.,"Erick Aybar (12, 36)",71.429,B
65,66.,"Andrew McCutchen (12, 33)",71.269,R
66,67.,"Manuel Margot (5, 25)",71.264,R
67,68.,"Anthony Gose (5, 29)",71.250,L
68,69.,"Charlie Blackmon (10, 33)",70.430,L
69,70.,"Nelson Cruz (16, 39)",70.370,R
70,71.,"Odubel Herrera (5, 28)",70.000,L
71,72.,"Cesar Hernandez (8, 30)",69.565,B
72,73.,"Dexter Fowler (13, 34)",68.519,B
73,74.,"Manny Machado (9, 27)",68.085,R
74,75.,"Nick Markakis (15, 36)",67.347,L
75,76.,"DJ LeMahieu (10, 31)",66.935,R
76,77.,"Todd Frazier (10, 34)",65.766,R
77,78.,"Yadier Molina (17, 37)",64.078,R
78,79.,"Anthony Rizzo (10, 30)",63.830,L
79,80.,"Starlin Castro (11, 30)",63.571,R
80,81.,"José Iglesias (9, 30)",63.415,R
81,82.,"Jon Jay (11, 35)",62.500,L
82,83.,"Jay Bruce (13, 33)",61.905,L
83,84.,"Robinson Cano (16, 37)",57.303,L
84,85.,"Rougned Odor (7, 26)",55.856,L
