,Rank,"Player (yrs, age)",AB per SO,Bats
0,1.,"Andrelton Simmons (9, 30)",10.24,R
1,2.,"Dustin Pedroia (14, 36)",9.22,R
2,3.,"Yadier Molina (17, 37)",8.86,R
3,4.,"Michael Brantley (12, 33)",8.38,L
4,5.,"Albert Pujols (20, 40)",8.31,R
5,6.,"Jose Altuve (10, 30)",7.82,R
6,7.,"Erick Aybar (12, 36)",7.72,B
7,8.,"José Iglesias (9, 30)",7.68,R
8,8.,"Kurt Suzuki (14, 36)",7.68,R
9,10.,"Daniel Murphy (12, 35)",7.49,L
10,11.,"Jose Ramirez (8, 27)",7.41,B
11,12.,"Robinson Cano (16, 37)",7.29,L
12,13.,"Buster Posey (11, 33)",7.22,R
13,14.,"Ender Inciarte (7, 29)",7.15,L
14,15.,"Eduardo Nunez (11, 33)",7.03,R
15,16.,"Mookie Betts (7, 27)",6.82,R
16,17.,"Nick Markakis (15, 36)",6.75,L
17,17.,"Jean Segura (9, 30)",6.75,R
18,19.,"Elvis Andrus (12, 31)",6.62,R
19,20.,"Didi Gregorius (9, 30)",6.50,L
20,21.,"Francisco Lindor (6, 26)",6.33,B
21,22.,"Dee Strange-Gordon (10, 32)",6.31,L
22,23.,"Jonathan Lucroy (11, 34)",6.26,R
23,24.,"Pablo Sandoval (13, 33)",6.20,B
24,25.,"DJ LeMahieu (10, 31)",6.17,R
25,26.,"Josh Harrison (10, 32)",6.05,R
26,27.,"Justin Turner (12, 35)",6.04,R
27,28.,"Nolan Arenado (8, 29)",6.02,R
28,29.,"Kevin Pillar (8, 31)",5.89,R
29,30.,"Kolten Wong (8, 29)",5.83,L
30,31.,"Salvador Perez (9, 30)",5.81,R
31,32.,"Mike Moustakas (10, 31)",5.68,L
32,33.,"Anthony Rendon (8, 30)",5.64,R
33,34.,"Zack Cozart (9, 34)",5.62,R
34,35.,"Jorge Cantu (8, 38)",5.60,R
35,35.,"Josh Reddick (12, 33)",5.60,L
36,37.,"Starlin Castro (11, 30)",5.58,R
37,37.,"Adeiny Hechavarria (9, 31)",5.58,R
38,39.,"Wilson Ramos (11, 32)",5.55,R
39,40.,"Manny Machado (9, 27)",5.43,R
40,41.,"Charlie Blackmon (10, 33)",5.38,L
41,41.,"Jordy Mercer (9, 33)",5.38,R
42,41.,"Anthony Rizzo (10, 30)",5.38,L
43,44.,"Jon Jay (11, 35)",5.36,L
44,45.,"Jed Lowrie (12, 36)",5.34,B
45,46.,"AJ Pollock (9, 32)",5.29,R
46,47.,"Adam Eaton (9, 31)",5.24,L
47,48.,"Yonder Alonso (10, 33)",5.19,L
48,49.,"Kyle Seager (10, 32)",5.17,L
49,50.,"Eric Hosmer (10, 30)",5.13,L
50,51.,"Gordon Beckham (11, 33)",5.08,R
51,51.,"Lorenzo Cain (11, 34)",5.08,R
52,53.,"Asdrubal Cabrera (14, 34)",5.06,B
53,53.,"Jason Heyward (11, 30)",5.06,L
54,55.,"Miguel Cabrera (18, 37)",5.05,R
55,55.,"Carlos Santana (11, 34)",5.05,B
56,57.,"Xander Bogaerts (8, 27)",4.96,R
57,58.,"Edwin Encarnacion (16, 37)",4.94,R
58,59.,"Neil Walker (12, 34)",4.92,B
59,60.,"Ryan Zimmerman (15, 35)",4.90,R
60,61.,"Ryan Braun (14, 36)",4.86,R
61,62.,"Eduardo Escobar (10, 31)",4.72,B
62,62.,"Matt Wieters (12, 34)",4.72,B
63,64.,"Andrew McCutchen (12, 33)",4.70,R
64,65.,"Brett Gardner (13, 36)",4.67,L
65,66.,"Cesar Hernandez (8, 30)",4.65,B
66,67.,"Jason Kipnis (10, 33)",4.63,L
67,67.,"Joey Votto (14, 36)",4.63,L
68,69.,"Freddy Galvis (9, 30)",4.59,B
69,70.,"José Abreu (7, 33)",4.54,R
70,70.,"Starling Marte (9, 31)",4.54,R
71,72.,"Marwin Gonzalez (9, 31)",4.51,B
72,73.,"Logan Morrison (11, 32)",4.50,L
73,74.,"Brandon Crawford (10, 33)",4.47,L
74,74.,"Evan Longoria (13, 34)",4.47,R
75,74.,"Marcus Semien (8, 29)",4.47,R
76,77.,"Corey Dickerson (8, 31)",4.44,L
77,77.,"Brian Dozier (9, 33)",4.44,R
78,79.,"Billy Hamilton (8, 29)",4.38,B
79,80.,"Josh Donaldson (10, 34)",4.31,R
80,80.,"Marcell Ozuna (8, 29)",4.31,R
81,82.,"Yoenis Céspedes (8, 34)",4.30,R
82,83.,"Freddie Freeman (11, 30)",4.29,L
83,84.,"Matt Carpenter (10, 34)",4.22,L
84,85.,"Mitch Moreland (11, 34)",4.19,L
85,86.,"Cameron Maybin (14, 33)",4.18,R
86,87.,"Alex Gordon (14, 36)",4.16,L
87,88.,"Logan Forsythe (10, 33)",4.12,R
88,88.,"Christian Yelich (8, 28)",4.12,L
89,90.,"Kole Calhoun (9, 32)",4.10,L
90,91.,"Jonathan Schoop (8, 28)",4.09,R
91,92.,"Carlos Gonzalez (12, 34)",4.06,L
92,93.,"Todd Frazier (10, 34)",4.04,R
93,94.,"Matthew Joyce (13, 35)",3.99,L
94,95.,"Rougned Odor (7, 26)",3.95,L
95,96.,"Nicholas Castellanos (8, 28)",3.94,R
96,96.,"Nelson Cruz (16, 39)",3.94,R
97,98.,"Avisail Garcia (9, 29)",3.93,R
98,98.,"George Springer (7, 30)",3.93,R
99,100.,"Ian Desmond (11, 34)",3.88,R
100,100.,"Matt Kemp (15, 35)",3.88,R
