,Rank,"Player (yrs, age)",AB per HR,Bats
0,1.,"Giancarlo Stanton (11, 30)",13.88,R
1,2.,"Mike Trout (10, 28)",15.03,R
2,3.,"Khris Davis (8, 32)",15.10,R
3,4.,"Nelson Cruz (16, 39)",15.34,R
4,5.,"Albert Pujols (20, 40)",16.37,R
5,6.,"Edwin Encarnacion (16, 37)",16.60,R
6,7.,"Chris Davis (13, 34)",16.87,L
7,8.,"Josh Donaldson (10, 34)",17.43,R
8,9.,"Nolan Arenado (8, 29)",17.52,R
9,10.,"Bryce Harper (9, 27)",17.54,L
10,11.,"J.D. Martinez (10, 32)",17.58,R
11,12.,"George Springer (7, 30)",17.74,R
12,13.,"Eugenio Suarez (7, 28)",18.61,R
13,14.,"Jay Bruce (13, 33)",18.65,L
14,15.,"Miguel Cabrera (18, 37)",18.79,R
15,16.,"Ryan Braun (14, 36)",18.81,R
16,17.,"José Abreu (7, 33)",19.13,R
17,17.,"Paul Goldschmidt (10, 32)",19.13,R
18,19.,"Yoenis Céspedes (8, 34)",19.34,R
19,20.,"Kris Bryant (6, 28)",19.54,R
20,21.,"Yasmani Grandal (9, 31)",19.83,B
21,22.,"Todd Frazier (10, 34)",19.99,R
22,23.,"Anthony Rizzo (10, 30)",20.16,L
23,24.,"Manny Machado (9, 27)",20.32,R
24,25.,"Justin Upton (14, 32)",20.70,R
25,26.,"Justin Smoak (11, 33)",21.19,B
26,27.,"Joey Votto (14, 36)",21.27,L
27,28.,"Carlos Gonzalez (12, 34)",21.51,L
28,29.,"Freddie Freeman (11, 30)",21.53,L
29,30.,"Evan Longoria (13, 34)",21.63,R
30,30.,"Rougned Odor (7, 26)",21.63,L
31,32.,"Mitch Moreland (11, 34)",21.83,L
32,33.,"Jonathan Schoop (8, 28)",21.84,R
33,34.,"Mookie Betts (7, 27)",22.08,R
34,35.,"Matt Kemp (15, 35)",22.18,R
35,36.,"Carlos Santana (11, 34)",22.22,B
36,37.,"Brian Dozier (9, 33)",22.48,R
37,38.,"Mike Moustakas (10, 31)",22.49,L
38,39.,"Marcell Ozuna (8, 29)",22.67,R
39,40.,"Francisco Lindor (6, 26)",22.75,B
40,41.,"Wil Myers (8, 29)",23.22,R
41,42.,"Jose Ramirez (8, 27)",23.57,B
42,43.,"Ryan Zimmerman (15, 35)",23.70,R
43,44.,"Logan Morrison (11, 32)",23.79,L
44,45.,"Corey Dickerson (8, 31)",23.85,L
45,46.,"Kyle Seager (10, 32)",23.95,L
46,47.,"Kole Calhoun (9, 32)",23.96,L
47,48.,"Charlie Blackmon (10, 33)",24.23,L
48,49.,"Salvador Perez (9, 30)",24.26,R
49,50.,"Christian Yelich (8, 28)",24.77,L
50,51.,"Andrew McCutchen (12, 33)",24.85,R
51,52.,"Matthew Joyce (13, 35)",24.92,L
52,52.,"Anthony Rendon (8, 30)",24.92,R
53,54.,"Chris Iannetta (14, 37)",25.27,R
54,55.,"Robinson Cano (16, 37)",25.97,L
55,56.,"Wilson Ramos (11, 32)",26.10,R
56,57.,"AJ Pollock (9, 32)",26.49,R
57,58.,"Nicholas Castellanos (8, 28)",26.70,R
58,59.,"Matt Wieters (12, 34)",27.36,B
59,60.,"Didi Gregorius (9, 30)",27.59,L
60,61.,"Matt Carpenter (10, 34)",27.61,L
61,62.,"Brandon Belt (10, 32)",27.62,L
62,63.,"Shin-Soo Choo (16, 37)",27.92,L
63,64.,"Marcus Semien (8, 29)",28.40,R
64,64.,"Justin Turner (12, 35)",28.40,R
65,66.,"Alex Avila (12, 33)",28.57,L
66,67.,"Josh Reddick (12, 33)",29.56,L
67,68.,"Jackie Bradley Jr. (8, 30)",29.58,L
68,69.,"Ian Desmond (11, 34)",30.07,R
69,70.,"Jorge Cantu (8, 38)",30.08,R
70,71.,"Avisail Garcia (9, 29)",30.34,R
71,72.,"Pablo Sandoval (13, 33)",30.44,B
72,73.,"Eric Hosmer (10, 30)",30.49,L
73,74.,"Eduardo Escobar (10, 31)",30.54,B
74,75.,"Neil Walker (12, 34)",30.76,B
75,76.,"Jason Castro (10, 33)",31.30,L
76,77.,"Xander Bogaerts (8, 27)",31.76,R
77,78.,"Marwin Gonzalez (9, 31)",31.94,B
78,79.,"Buster Posey (11, 33)",32.68,R
79,80.,"Yonder Alonso (10, 33)",33.62,L
80,81.,"Asdrubal Cabrera (14, 34)",33.63,B
81,82.,"Alex Gordon (14, 36)",33.64,L
82,83.,"Jason Heyward (11, 30)",33.78,L
83,84.,"Starling Marte (9, 31)",33.99,R
84,85.,"Jason Kipnis (10, 33)",34.95,L
85,86.,"Zack Cozart (9, 34)",35.49,R
86,87.,"Jonathan Villar (8, 29)",35.93,B
87,88.,"Freddy Galvis (9, 30)",37.53,B
88,89.,"Jonathan Lucroy (11, 34)",38.16,R
89,90.,"Jed Lowrie (12, 36)",38.38,B
90,91.,"Daniel Murphy (12, 35)",38.46,L
91,92.,"Jose Altuve (10, 30)",38.92,R
92,93.,"Kurt Suzuki (14, 36)",39.14,R
93,94.,"Dexter Fowler (13, 34)",39.53,B
94,95.,"Kevin Pillar (8, 31)",39.88,R
95,96.,"Brett Gardner (13, 36)",41.47,L
96,97.,"Brandon Crawford (10, 33)",41.53,L
97,98.,"Michael Brantley (12, 33)",42.11,L
98,99.,"Gordon Beckham (11, 33)",42.54,R
99,100.,"Dustin Pedroia (14, 36)",43.08,R
