,Rank,"Player (yrs, age)",Base-Out Wins Added (REW),Bats
0,1.,"Albert Pujols (20, 40)",69.99,R
1,2.,"Miguel Cabrera (18, 37)",61.66,R
2,3.,"Joey Votto (14, 36)",52.35,L
3,4.,"Mike Trout (10, 28)",50.64,R
4,5.,"Ryan Braun (14, 36)",37.77,R
5,6.,"Paul Goldschmidt (10, 32)",36.48,R
6,7.,"Freddie Freeman (11, 30)",35.68,L
7,8.,"Andrew McCutchen (12, 33)",31.96,R
8,9.,"Nelson Cruz (16, 39)",29.50,R
9,10.,"Shin-Soo Choo (16, 37)",28.40,L
10,11.,"Edwin Encarnacion (16, 37)",27.64,R
11,12.,"Bryce Harper (9, 27)",26.94,L
12,13.,"Giancarlo Stanton (11, 30)",26.23,R
13,14.,"Robinson Cano (16, 37)",25.82,L
14,15.,"Anthony Rizzo (10, 30)",25.69,L
15,16.,"Josh Donaldson (10, 34)",23.27,R
16,17.,"Christian Yelich (8, 28)",22.13,L
17,18.,"Mookie Betts (7, 27)",22.10,R
18,19.,"Matt Carpenter (10, 34)",21.74,L
19,20.,"Buster Posey (11, 33)",20.03,R
20,21.,"Matt Kemp (15, 35)",19.71,R
21,22.,"Anthony Rendon (8, 30)",19.37,R
22,23.,"Justin Upton (14, 32)",19.31,R
23,24.,"J.D. Martinez (10, 32)",18.76,R
24,25.,"Ryan Zimmerman (15, 35)",18.73,R
25,26.,"José Abreu (7, 33)",18.54,R
26,27.,"Nolan Arenado (8, 29)",18.52,R
27,28.,"Daniel Murphy (12, 35)",18.26,L
28,29.,"Justin Turner (12, 35)",17.68,R
29,30.,"Carlos Santana (11, 34)",16.60,B
30,31.,"Kris Bryant (6, 28)",16.45,R
31,32.,"Evan Longoria (13, 34)",16.19,R
32,33.,"Michael Brantley (12, 33)",15.66,L
33,34.,"Charlie Blackmon (10, 33)",15.34,L
34,35.,"George Springer (7, 30)",14.64,R
35,36.,"Nick Markakis (15, 36)",14.52,L
36,37.,"Yoenis Céspedes (8, 34)",14.47,R
37,38.,"Brandon Belt (10, 32)",13.57,L
38,39.,"Dustin Pedroia (14, 36)",13.37,R
39,40.,"Carlos Gonzalez (12, 34)",13.22,L
40,41.,"Jason Heyward (11, 30)",12.50,L
41,42.,"Dexter Fowler (13, 34)",12.25,B
42,43.,"Alex Bregman (5, 26)",12.08,R
43,44.,"Eric Hosmer (10, 30)",11.97,L
44,45.,"Jose Ramirez (8, 27)",11.96,B
45,46.,"Starling Marte (9, 31)",11.90,R
46,47.,"Manny Machado (9, 27)",11.67,R
47,48.,"Marcell Ozuna (8, 29)",11.58,R
48,49.,"Neil Walker (12, 34)",11.51,B
49,50.,"Jose Altuve (10, 30)",11.36,R
50,50.,"Cody Bellinger (4, 24)",11.36,L
51,52.,"Aaron Judge (5, 28)",10.60,R
52,53.,"Michael Conforto (6, 27)",10.57,L
53,54.,"Corey Seager (6, 26)",10.28,L
54,55.,"Eugenio Suarez (7, 28)",9.35,R
55,56.,"Juan Soto (3, 21)",9.17,L
56,57.,"Carlos Correa (6, 25)",8.88,R
57,58.,"Chris Davis (13, 34)",8.71,L
58,59.,"Kyle Seager (10, 32)",8.56,L
59,60.,"Brett Gardner (13, 36)",8.48,L
60,61.,"Xander Bogaerts (8, 27)",8.40,R
61,62.,"Jay Bruce (13, 33)",8.37,L
62,63.,"Jason Kipnis (10, 33)",8.19,L
63,64.,"Pablo Sandoval (13, 33)",8.11,B
64,65.,"Adam Eaton (9, 31)",8.08,L
65,66.,"Trea Turner (6, 27)",8.04,R
66,67.,"David Peralta (7, 32)",7.83,L
67,68.,"Khris Davis (8, 32)",7.81,R
68,69.,"DJ LeMahieu (10, 31)",7.80,R
69,70.,"Wil Myers (8, 29)",7.67,R
70,71.,"Trevor Story (5, 27)",7.41,R
71,72.,"Ronald Acuna Jr. (3, 22)",7.39,R
72,73.,"Yasmani Grandal (9, 31)",7.00,B
73,74.,"Rhys Hoskins (4, 27)",6.81,R
74,75.,"Asdrubal Cabrera (14, 34)",6.80,B
75,76.,"Max Muncy (5, 29)",6.68,L
76,77.,"Nicholas Castellanos (8, 28)",6.44,R
77,78.,"AJ Pollock (9, 32)",6.35,R
78,79.,"Josh Bell (5, 27)",6.31,B
79,80.,"Luke Voit (4, 29)",6.16,R
80,81.,"Tommy Pham (7, 32)",6.15,R
81,82.,"Matthew Joyce (13, 35)",6.06,L
82,82.,"Brandon Nimmo (5, 27)",6.06,L
83,84.,"Kole Calhoun (9, 32)",6.00,L
84,85.,"Corey Dickerson (8, 31)",5.92,L
85,86.,"Chris Taylor (7, 29)",5.44,R
86,87.,"Jose Martinez (5, 31)",5.28,R
87,88.,"Matt Olson (5, 26)",5.22,L
88,89.,"Stephen Piscotty (6, 29)",5.20,R
89,90.,"Andrew Benintendi (5, 25)",4.98,L
90,91.,"Jed Lowrie (12, 36)",4.96,B
91,92.,"Francisco Lindor (6, 26)",4.90,B
92,93.,"Brian Anderson (4, 27)",4.87,R
93,94.,"Jeff McNeil (3, 28)",4.83,L
94,95.,"Chris Iannetta (14, 37)",4.78,R
95,96.,"Josh Reddick (12, 33)",4.74,L
96,97.,"Matt Chapman (4, 27)",4.72,R
97,98.,"Jake Lamb (7, 29)",4.71,L
98,99.,"Matt Adams (9, 31)",4.57,L
99,100.,"Mark Canha (6, 31)",4.55,R
