,Rank,"Player (yrs, age)",Earned Run Average,Throws
0,1.,"Clayton Kershaw (13, 32)",2.434,L
1,2.,"Jacob deGrom (7, 32)",2.608,R
2,3.,"Chris Sale (10, 31)",3.026,L
3,4.,"Kyle Hendricks (7, 30)",3.119,R
4,5.,"Corey Kluber (10, 34)",3.157,R
5,6.,"Stephen Strasburg (11, 31)",3.192,R
6,7.,"Gerrit Cole (8, 29)",3.194,R
7,8.,"Madison Bumgarner (12, 30)",3.204,L
8,9.,"Max Scherzer (13, 35)",3.211,R
9,10.,"David Price (12, 34)",3.308,L
10,11.,"Justin Verlander (16, 37)",3.328,R
11,12.,"Zack Greinke (17, 36)",3.368,R
12,13.,"Adam Wainwright (15, 38)",3.381,R
13,14.,"Johnny Cueto (13, 34)",3.413,R
14,15.,"Felix Hernandez (15, 34)",3.419,R
15,16.,"Cole Hamels (15, 36)",3.426,L
16,17.,"Yu Darvish (8, 33)",3.466,R
17,18.,"Sonny Gray (8, 30)",3.538,R
18,19.,"Lance Lynn (9, 33)",3.571,R
19,20.,"Dallas Keuchel (9, 32)",3.593,L
20,21.,"Jon Lester (15, 36)",3.602,L
21,22.,"Gio Gonzalez (13, 34)",3.702,L
22,23.,"Jose Quintana (9, 31)",3.726,L
23,24.,"Masahiro Tanaka (7, 31)",3.739,R
24,25.,"Jake Arrieta (11, 34)",3.758,R
25,26.,"Carlos Carrasco (11, 33)",3.767,R
26,27.,"Julio Teheran (10, 29)",3.810,R
27,28.,"Tanner Roark (8, 33)",3.834,R
28,29.,"Patrick Corbin (8, 30)",3.842,L
29,30.,"Chris Archer (8, 31)",3.862,R
30,31.,"Trevor Bauer (9, 29)",3.903,R
31,32.,"Jake Odorizzi (9, 30)",3.920,R
32,33.,"J.A. Happ (14, 37)",3.980,L
33,34.,"Mike Minor (9, 32)",3.983,L
34,35.,"Danny Duffy (10, 31)",4.025,L
35,36.,"Mike Fiers (10, 35)",4.044,R
36,37.,"Jhoulys Chacin (12, 32)",4.045,R
37,38.,"Anibal Sanchez (15, 36)",4.051,R
38,39.,"Mike Leake (10, 32)",4.055,R
39,40.,"Jordan Zimmermann (12, 34)",4.057,R
40,41.,"Brett Anderson (12, 32)",4.059,L
41,42.,"Charlie Morton (13, 36)",4.083,R
42,43.,"Bartolo Colon (21, 47)",4.118,R
43,44.,"Ian Kennedy (14, 35)",4.133,R
44,45.,"Jeff Samardzija (13, 35)",4.152,R
45,46.,"Francisco Liriano (14, 36)",4.153,L
46,47.,"Wei-Yin Chen (8, 34)",4.184,L
47,48.,"Trevor Cahill (12, 32)",4.198,R
48,49.,"Wade Miley (10, 33)",4.240,L
49,50.,"Oliver Perez (18, 38)",4.352,L
50,51.,"Ivan Nova (11, 33)",4.381,R
51,52.,"Rick Porcello (12, 31)",4.401,R
52,53.,"Edinson Volquez (15, 36)",4.452,R
53,54.,"Homer Bailey (14, 34)",4.559,R
54,55.,"Kyle Gibson (8, 32)",4.569,R
55,56.,"Derek Holland (12, 33)",4.607,L
56,57.,"Josh Tomlin (11, 35)",4.687,R
57,58.,"Edwin Jackson (17, 36)",4.776,R
