,Rank,"Player (yrs, age)",Wins,Throws
0,1.,"Bartolo Colon (21, 47)",247,R
1,2.,"Justin Verlander (16, 37)",226,R
2,3.,"Zack Greinke (17, 36)",208,R
3,4.,"Jon Lester (15, 36)",193,L
4,5.,"Clayton Kershaw (13, 32)",175,L
5,5.,"Max Scherzer (13, 35)",175,R
6,7.,"Felix Hernandez (15, 34)",169,R
7,8.,"Adam Wainwright (15, 38)",167,R
8,9.,"Cole Hamels (15, 36)",163,L
9,10.,"Rick Porcello (12, 31)",150,R
10,10.,"David Price (12, 34)",150,L
11,12.,"Gio Gonzalez (13, 34)",131,L
12,13.,"Johnny Cueto (13, 34)",128,R
13,14.,"J.A. Happ (14, 37)",123,L
14,15.,"Madison Bumgarner (12, 30)",120,L
15,16.,"Francisco Liriano (14, 36)",112,L
16,16.,"Anibal Sanchez (15, 36)",112,R
17,16.,"Stephen Strasburg (11, 31)",112,R
18,19.,"Jake Arrieta (11, 34)",110,R
19,20.,"Chris Sale (10, 31)",109,L
20,21.,"Edwin Jackson (17, 36)",107,R
21,22.,"Mike Leake (10, 32)",105,R
22,23.,"Lance Lynn (9, 33)",104,R
23,24.,"Gerrit Cole (8, 29)",101,R
24,25.,"Corey Kluber (10, 34)",98,R
25,26.,"Ian Kennedy (14, 35)",97,R
26,27.,"Edinson Volquez (15, 36)",95,R
27,27.,"Jordan Zimmermann (12, 34)",95,R
28,29.,"Charlie Morton (13, 36)",93,R
29,30.,"Dallas Keuchel (9, 32)",90,L
30,30.,"Ivan Nova (11, 33)",90,R
31,32.,"Carlos Carrasco (11, 33)",88,R
32,33.,"Trevor Cahill (12, 32)",85,R
33,33.,"Wade Miley (10, 33)",85,L
34,35.,"Jose Quintana (9, 31)",83,L
35,36.,"Homer Bailey (14, 34)",81,R
36,37.,"Jeff Samardzija (13, 35)",80,R
37,38.,"Derek Holland (12, 33)",79,L
38,39.,"Jhoulys Chacin (12, 32)",78,R
39,39.,"Masahiro Tanaka (7, 31)",78,R
40,41.,"Julio Teheran (10, 29)",77,R
41,42.,"Tanner Roark (8, 33)",76,R
42,43.,"Trevor Bauer (9, 29)",75,R
43,43.,"Mike Fiers (10, 35)",75,R
44,43.,"Sonny Gray (8, 30)",75,R
45,46.,"Oliver Perez (18, 38)",73,L
46,47.,"Patrick Corbin (8, 30)",72,L
47,48.,"Yu Darvish (8, 33)",71,R
48,48.,"Mike Minor (9, 32)",71,L
49,50.,"Jacob deGrom (7, 32)",70,R
50,51.,"Kyle Gibson (8, 32)",69,R
51,51.,"Kyle Hendricks (7, 30)",69,R
52,53.,"Rich Hill (16, 40)",67,L
53,54.,"Josh Tomlin (11, 35)",65,R
54,55.,"Danny Duffy (10, 31)",64,L
55,56.,"Brett Anderson (12, 32)",63,L
56,56.,"Wade Davis (12, 34)",63,R
57,58.,"Jake Odorizzi (9, 30)",62,R
58,59.,"Chris Archer (8, 31)",60,R
59,59.,"Michael Wacha (8, 28)",60,R
60,61.,"Wei-Yin Chen (8, 34)",59,L
61,61.,"Hyun Jin Ryu (7, 33)",59,L
62,63.,"Carlos Martinez (8, 28)",58,R
63,63.,"Collin McHugh (8, 33)",58,R
64,63.,"Aaron Nola (6, 27)",58,R
65,66.,"James Paxton (8, 31)",57,L
66,67.,"Tommy Hunter (13, 33)",56,R
67,67.,"Martin Perez (9, 29)",56,L
68,69.,"Tyler Clippard (14, 35)",55,R
69,69.,"Alex Cobb (9, 32)",55,R
70,69.,"Andrew Miller (15, 35)",55,L
71,72.,"Chase Anderson (7, 32)",54,R
72,73.,"Jair Jurrjens (8, 34)",53,R
73,73.,"Kenta Maeda (5, 32)",53,R
74,73.,"Michael Pineda (7, 31)",53,R
75,73.,"David Robertson (12, 35)",53,R
76,73.,"Alex Wood (8, 29)",53,L
77,78.,"Daniel Hudson (11, 33)",52,R
78,79.,"Tyler Chatwood (9, 30)",51,R
79,79.,"Tommy Milone (10, 33)",51,L
80,79.,"Brandon Morrow (12, 35)",51,R
81,79.,"Eduardo Rodriguez (5, 27)",51,L
82,79.,"Marcus Stroman (6, 29)",51,R
83,84.,"Zach Davies (6, 27)",50,R
84,84.,"Nathan Eovaldi (9, 30)",50,R
85,84.,"Kevin Gausman (8, 29)",50,R
86,84.,"Joe Smith (13, 36)",50,R
87,88.,"Robbie Ray (7, 28)",49,L
88,89.,"Jose Berrios (5, 26)",48,R
89,89.,"Joe Kelly (9, 32)",48,R
90,89.,"Craig Stammen (11, 36)",48,R
91,89.,"Zack Wheeler (6, 30)",48,R
92,93.,"Drew Pomeranz (10, 31)",47,L
93,93.,"Garrett Richards (10, 32)",47,R
94,93.,"Hector Santiago (9, 32)",47,L
95,93.,"Noah Syndergaard (5, 27)",47,R
96,97.,"Wade LeBlanc (12, 35)",46,L
97,98.,"Jon Gray (6, 28)",45,R
98,99.,"Dylan Bundy (6, 27)",44,R
99,99.,"Brett Cecil (10, 33)",44,L
100,99.,"Mike Clevinger (5, 29)",44,R
101,99.,"Mike Foltynewicz (7, 28)",44,R
102,99.,"Matt Harvey (8, 31)",44,R
103,99.,"Jordan Lyles (10, 29)",44,R
104,99.,"Tyson Ross (10, 33)",44,R
