,Rank,"Player (yrs, age)",Win-Loss %,Throws
0,1.,"Clayton Kershaw (13, 32)",.6972,L
1,2.,"Stephen Strasburg (11, 31)",.6550,R
2,3.,"Max Scherzer (13, 35)",.6530,R
3,4.,"David Price (12, 34)",.6522,L
4,5.,"Gerrit Cole (8, 29)",.6474,R
5,6.,"Justin Verlander (16, 37)",.6366,R
6,7.,"Jon Lester (15, 36)",.6349,L
7,8.,"Adam Wainwright (15, 38)",.6302,R
8,9.,"Masahiro Tanaka (7, 31)",.6290,R
9,10.,"Corey Kluber (10, 34)",.6282,R
10,11.,"Zack Greinke (17, 36)",.6228,R
11,12.,"Rich Hill (16, 40)",.6036,L
12,13.,"Chris Sale (10, 31)",.5989,L
13,14.,"Lance Lynn (9, 33)",.5943,R
14,15.,"Kyle Hendricks (7, 30)",.5897,R
15,16.,"Johnny Cueto (13, 34)",.5872,R
16,17.,"Michael Wacha (8, 28)",.5825,R
17,18.,"Jake Arrieta (11, 34)",.5820,R
18,19.,"Jacob deGrom (7, 32)",.5785,R
19,20.,"Carlos Martinez (8, 28)",.5743,R
20,20.,"Collin McHugh (8, 33)",.5743,R
21,22.,"J.A. Happ (14, 37)",.5721,L
22,23.,"Cole Hamels (15, 36)",.5719,L
23,24.,"Bartolo Colon (21, 47)",.5678,R
24,25.,"Gio Gonzalez (13, 34)",.5647,L
25,26.,"Yu Darvish (8, 33)",.5591,R
26,27.,"Madison Bumgarner (12, 30)",.5556,L
27,28.,"Tommy Hunter (13, 33)",.5545,R
28,29.,"Felix Hernandez (15, 34)",.5541,R
29,30.,"Dallas Keuchel (9, 32)",.5521,L
30,31.,"Wade Davis (12, 34)",.5478,R
31,32.,"Mike Fiers (10, 35)",.5474,R
32,33.,"Carlos Carrasco (11, 33)",.5466,R
33,34.,"Rick Porcello (12, 31)",.5455,R
34,35.,"Sonny Gray (8, 30)",.5435,R
35,36.,"Trevor Bauer (9, 29)",.5396,R
36,37.,"Tyler Clippard (14, 35)",.5392,R
37,38.,"Ivan Nova (11, 33)",.5389,R
38,39.,"Josh Tomlin (11, 35)",.5372,R
39,40.,"Wei-Yin Chen (8, 34)",.5364,L
40,41.,"Tanner Roark (8, 33)",.5315,R
41,42.,"Jake Odorizzi (9, 30)",.5254,R
42,43.,"Jose Quintana (9, 31)",.5188,L
43,44.,"Mike Minor (9, 32)",.5182,L
44,45.,"Mike Leake (10, 32)",.5172,R
45,46.,"Edinson Volquez (15, 36)",.5163,R
46,47.,"Patrick Corbin (8, 30)",.5143,L
47,48.,"Charlie Morton (13, 36)",.5110,R
48,49.,"Jordan Zimmermann (12, 34)",.5108,R
49,50.,"Wade Miley (10, 33)",.5000,L
50,50.,"Andrew Miller (15, 35)",.5000,L
51,50.,"Tommy Milone (10, 33)",.5000,L
52,50.,"Julio Teheran (10, 29)",.5000,R
53,54.,"Anibal Sanchez (15, 36)",.4978,R
54,55.,"Danny Duffy (10, 31)",.4961,L
55,56.,"Francisco Liriano (14, 36)",.4956,L
56,57.,"Derek Holland (12, 33)",.4938,L
57,58.,"Brett Anderson (12, 32)",.4922,L
58,59.,"Alex Cobb (9, 32)",.4911,R
59,60.,"Robbie Ray (7, 28)",.4900,L
60,61.,"Homer Bailey (14, 34)",.4850,R
61,62.,"Kyle Gibson (8, 32)",.4825,R
62,63.,"Ian Kennedy (14, 35)",.4802,R
63,64.,"Martin Perez (9, 29)",.4786,L
64,65.,"Trevor Cahill (12, 32)",.4749,R
65,66.,"Jhoulys Chacin (12, 32)",.4727,R
66,67.,"Tyler Chatwood (9, 30)",.4722,R
67,68.,"Nathan Eovaldi (9, 30)",.4717,R
68,69.,"Drew Pomeranz (10, 31)",.4476,L
69,70.,"Edwin Jackson (17, 36)",.4458,R
70,71.,"Oliver Perez (18, 38)",.4424,L
71,72.,"Kevin Gausman (8, 29)",.4310,R
72,73.,"Jeff Samardzija (13, 35)",.4301,R
73,74.,"Chris Archer (8, 31)",.4286,R
74,75.,"Jordan Lyles (10, 29)",.4000,R
75,76.,"Tyson Ross (10, 33)",.3860,R
