,Rank,"Player (yrs, age)",Hits per 9 IP,Throws
0,1.,"Clayton Kershaw (13, 32)",6.7741,L
1,2.,"Jacob deGrom (7, 32)",7.2405,R
2,3.,"Chris Sale (10, 31)",7.2457,L
3,4.,"Yu Darvish (8, 33)",7.2591,R
4,5.,"Stephen Strasburg (11, 31)",7.4373,R
5,6.,"Max Scherzer (13, 35)",7.4563,R
6,7.,"Justin Verlander (16, 37)",7.6446,R
7,8.,"Gerrit Cole (8, 29)",7.7153,R
8,9.,"Sonny Gray (8, 30)",7.7756,R
9,10.,"Corey Kluber (10, 34)",7.8091,R
10,11.,"Jake Arrieta (11, 34)",7.8425,R
11,12.,"Julio Teheran (10, 29)",7.9435,R
12,13.,"Trevor Bauer (9, 29)",7.9487,R
13,14.,"Madison Bumgarner (12, 30)",7.9574,L
14,15.,"Kyle Hendricks (7, 30)",8.0003,R
15,16.,"David Price (12, 34)",8.0393,L
16,17.,"Jake Odorizzi (9, 30)",8.0646,R
17,18.,"Cole Hamels (15, 36)",8.0860,L
18,19.,"Gio Gonzalez (13, 34)",8.1200,L
19,20.,"Johnny Cueto (13, 34)",8.1624,R
20,21.,"Oliver Perez (18, 38)",8.1667,L
21,22.,"Francisco Liriano (14, 36)",8.1829,L
22,23.,"Felix Hernandez (15, 34)",8.1999,R
23,24.,"Chris Archer (8, 31)",8.2130,R
24,25.,"Lance Lynn (9, 33)",8.2766,R
25,26.,"Jhoulys Chacin (12, 32)",8.3406,R
26,27.,"Zack Greinke (17, 36)",8.3539,R
27,28.,"Mike Minor (9, 32)",8.3882,L
28,29.,"Masahiro Tanaka (7, 31)",8.3911,R
29,30.,"Carlos Carrasco (11, 33)",8.4398,R
30,31.,"Jon Lester (15, 36)",8.4886,L
31,32.,"J.A. Happ (14, 37)",8.5021,L
32,33.,"Jeff Samardzija (13, 35)",8.5059,R
33,34.,"Ian Kennedy (14, 35)",8.5284,R
34,35.,"Adam Wainwright (15, 38)",8.5713,R
35,36.,"Danny Duffy (10, 31)",8.5762,L
36,37.,"Trevor Cahill (12, 32)",8.5981,R
37,38.,"Dallas Keuchel (9, 32)",8.6418,L
38,39.,"Tanner Roark (8, 33)",8.6786,R
39,40.,"Mike Fiers (10, 35)",8.7031,R
40,41.,"Charlie Morton (13, 36)",8.7666,R
41,42.,"Edinson Volquez (15, 36)",8.7711,R
42,43.,"Anibal Sanchez (15, 36)",8.7998,R
43,44.,"Jose Quintana (9, 31)",8.8495,L
44,45.,"Patrick Corbin (8, 30)",8.8863,L
45,46.,"Derek Holland (12, 33)",9.0932,L
46,47.,"Wei-Yin Chen (8, 34)",9.2142,L
47,48.,"Wade Miley (10, 33)",9.3047,L
48,49.,"Jordan Zimmermann (12, 34)",9.3171,R
49,50.,"Bartolo Colon (21, 47)",9.3415,R
50,51.,"Homer Bailey (14, 34)",9.3424,R
51,52.,"Kyle Gibson (8, 32)",9.4730,R
52,53.,"Mike Leake (10, 32)",9.5462,R
53,54.,"Brett Anderson (12, 32)",9.6090,L
54,55.,"Edwin Jackson (17, 36)",9.6153,R
55,56.,"Josh Tomlin (11, 35)",9.6485,R
56,57.,"Rick Porcello (12, 31)",9.7456,R
57,58.,"Ivan Nova (11, 33)",9.7702,R
