,Rank,"Player (yrs, age)",Bases On Balls per 9 IP,Throws
0,1.,"Josh Tomlin (11, 35)",1.3089,R
1,2.,"Masahiro Tanaka (7, 31)",1.7755,R
2,3.,"Jordan Zimmermann (12, 34)",1.9250,R
3,4.,"Kyle Hendricks (7, 30)",1.9421,R
4,5.,"Corey Kluber (10, 34)",1.9640,R
5,6.,"Mike Leake (10, 32)",1.9831,R
6,7.,"Chris Sale (10, 31)",2.0655,L
7,8.,"Zack Greinke (17, 36)",2.0701,R
8,9.,"Rick Porcello (12, 31)",2.0994,R
9,10.,"Madison Bumgarner (12, 30)",2.1026,L
10,11.,"Jacob deGrom (7, 32)",2.1852,R
11,12.,"Clayton Kershaw (13, 32)",2.2568,L
12,13.,"Wei-Yin Chen (8, 34)",2.2824,L
13,14.,"Carlos Carrasco (11, 33)",2.3255,R
14,15.,"David Price (12, 34)",2.3368,L
15,16.,"Gerrit Cole (8, 29)",2.3565,R
16,16.,"Stephen Strasburg (11, 31)",2.3565,R
17,18.,"Brett Anderson (12, 32)",2.3786,L
18,19.,"Max Scherzer (13, 35)",2.4473,R
19,20.,"Adam Wainwright (15, 38)",2.4519,R
20,21.,"Ivan Nova (11, 33)",2.4576,R
21,22.,"Bartolo Colon (21, 47)",2.4647,R
22,23.,"Jose Quintana (9, 31)",2.5405,L
23,24.,"Cole Hamels (15, 36)",2.5586,L
24,25.,"Justin Verlander (16, 37)",2.5633,R
25,26.,"Johnny Cueto (13, 34)",2.6067,R
26,27.,"Mike Minor (9, 32)",2.6164,L
27,28.,"Dallas Keuchel (9, 32)",2.6301,L
28,29.,"Tanner Roark (8, 33)",2.6420,R
29,30.,"Mike Fiers (10, 35)",2.6488,R
30,31.,"Felix Hernandez (15, 34)",2.6542,R
31,32.,"Patrick Corbin (8, 30)",2.6629,L
32,33.,"Jeff Samardzija (13, 35)",2.6858,R
33,34.,"Jon Lester (15, 36)",2.8988,L
34,35.,"Homer Bailey (14, 34)",2.9729,R
35,36.,"Anibal Sanchez (15, 36)",3.0164,R
36,37.,"Ian Kennedy (14, 35)",3.0365,R
37,38.,"Chris Archer (8, 31)",3.0607,R
38,39.,"Julio Teheran (10, 29)",3.0661,R
39,40.,"Jake Odorizzi (9, 30)",3.0911,R
40,41.,"Jake Arrieta (11, 34)",3.1335,R
41,42.,"Wade Miley (10, 33)",3.1671,L
42,43.,"Yu Darvish (8, 33)",3.1783,R
43,44.,"Sonny Gray (8, 30)",3.2041,R
44,45.,"J.A. Happ (14, 37)",3.2044,L
45,46.,"Charlie Morton (13, 36)",3.2390,R
46,47.,"Derek Holland (12, 33)",3.2598,L
47,48.,"Kyle Gibson (8, 32)",3.2902,R
48,49.,"Danny Duffy (10, 31)",3.3203,L
49,50.,"Lance Lynn (9, 33)",3.3371,R
50,51.,"Trevor Bauer (9, 29)",3.4336,R
51,52.,"Edwin Jackson (17, 36)",3.5770,R
52,53.,"Jhoulys Chacin (12, 32)",3.6503,R
53,54.,"Trevor Cahill (12, 32)",3.6779,R
54,55.,"Gio Gonzalez (13, 34)",3.7946,L
55,56.,"Francisco Liriano (14, 36)",4.0493,L
56,57.,"Edinson Volquez (15, 36)",4.2779,R
57,58.,"Oliver Perez (18, 38)",4.6914,L
