,Rank,"Player (yrs, age)",Strikeouts per 9 IP,Throws
0,1.,"Yu Darvish (8, 33)",11.1162,R
1,2.,"Chris Sale (10, 31)",11.0839,L
2,3.,"Max Scherzer (13, 35)",10.6290,R
3,4.,"Stephen Strasburg (11, 31)",10.5793,R
4,5.,"Jacob deGrom (7, 32)",10.4568,R
5,6.,"Gerrit Cole (8, 29)",10.1498,R
6,7.,"Chris Archer (8, 31)",9.8308,R
7,8.,"Corey Kluber (10, 34)",9.7999,R
8,9.,"Clayton Kershaw (13, 32)",9.7445,L
9,10.,"Trevor Bauer (9, 29)",9.6731,R
10,11.,"Oliver Perez (18, 38)",9.5123,L
11,12.,"Carlos Carrasco (11, 33)",9.4540,R
12,13.,"Justin Verlander (16, 37)",9.0753,R
13,14.,"Francisco Liriano (14, 36)",9.0066,L
14,15.,"Lance Lynn (9, 33)",8.9264,R
15,16.,"Patrick Corbin (8, 30)",8.8640,L
16,17.,"David Price (12, 34)",8.7842,L
17,18.,"Madison Bumgarner (12, 30)",8.6965,L
18,19.,"Gio Gonzalez (13, 34)",8.6601,L
19,20.,"Jake Odorizzi (9, 30)",8.5913,R
20,21.,"Cole Hamels (15, 36)",8.5397,L
21,22.,"Sonny Gray (8, 30)",8.4753,R
22,23.,"Masahiro Tanaka (7, 31)",8.4594,R
23,24.,"Ian Kennedy (14, 35)",8.3263,R
24,25.,"Felix Hernandez (15, 34)",8.3219,R
25,26.,"Jon Lester (15, 36)",8.3016,L
26,27.,"Zack Greinke (17, 36)",8.2344,R
27,28.,"Mike Minor (9, 32)",8.1851,L
28,29.,"Jake Arrieta (11, 34)",8.0269,R
29,30.,"Charlie Morton (13, 36)",7.9787,R
30,31.,"Anibal Sanchez (15, 36)",7.9730,R
31,32.,"Danny Duffy (10, 31)",7.9607,L
32,33.,"J.A. Happ (14, 37)",7.9542,L
33,34.,"Jeff Samardzija (13, 35)",7.9261,R
34,35.,"Jose Quintana (9, 31)",7.8863,L
35,36.,"Mike Fiers (10, 35)",7.8044,R
36,37.,"Julio Teheran (10, 29)",7.7882,R
37,38.,"Edinson Volquez (15, 36)",7.7002,R
38,39.,"Adam Wainwright (15, 38)",7.5922,R
39,40.,"Kyle Hendricks (7, 30)",7.5792,R
40,41.,"Derek Holland (12, 33)",7.5618,L
41,42.,"Johnny Cueto (13, 34)",7.5576,R
42,43.,"Homer Bailey (14, 34)",7.4290,R
43,44.,"Tanner Roark (8, 33)",7.2988,R
44,45.,"Jhoulys Chacin (12, 32)",7.2530,R
45,46.,"Wade Miley (10, 33)",7.1530,L
46,47.,"Wei-Yin Chen (8, 34)",7.1515,L
47,48.,"Jordan Zimmermann (12, 34)",7.1123,R
48,49.,"Dallas Keuchel (9, 32)",7.1060,L
49,50.,"Kyle Gibson (8, 32)",7.0404,R
50,51.,"Edwin Jackson (17, 36)",6.9245,R
51,52.,"Trevor Cahill (12, 32)",6.8479,R
52,53.,"Rick Porcello (12, 31)",6.7017,R
53,54.,"Bartolo Colon (21, 47)",6.5908,R
54,55.,"Ivan Nova (11, 33)",6.4311,R
55,56.,"Josh Tomlin (11, 35)",6.1818,R
56,57.,"Brett Anderson (12, 32)",6.1532,L
57,58.,"Mike Leake (10, 32)",6.0574,R
