,Rank,"Player (yrs, age)",Strikeouts,Throws
0,1.,"Justin Verlander (16, 37)",3013,R
1,2.,"Max Scherzer (13, 35)",2784,R
2,3.,"Zack Greinke (17, 36)",2689,R
3,4.,"Cole Hamels (15, 36)",2560,L
4,5.,"Bartolo Colon (21, 47)",2535,R
5,6.,"Clayton Kershaw (13, 32)",2526,L
6,7.,"Felix Hernandez (15, 34)",2524,R
7,8.,"Jon Lester (15, 36)",2397,L
8,9.,"Chris Sale (10, 31)",2007,L
9,10.,"David Price (12, 34)",1981,L
10,11.,"Gio Gonzalez (13, 34)",1860,L
11,12.,"Adam Wainwright (15, 38)",1830,R
12,13.,"Madison Bumgarner (12, 30)",1824,L
13,14.,"Francisco Liriano (14, 36)",1815,L
14,15.,"Anibal Sanchez (15, 36)",1726,R
15,16.,"Stephen Strasburg (11, 31)",1697,R
16,17.,"Ian Kennedy (14, 35)",1648,R
17,18.,"Johnny Cueto (13, 34)",1612,R
18,19.,"Rick Porcello (12, 31)",1561,R
19,20.,"Oliver Perez (18, 38)",1541,L
20,21.,"J.A. Happ (14, 37)",1539,L
21,22.,"Edwin Jackson (17, 36)",1508,R
22,23.,"Corey Kluber (10, 34)",1462,R
23,24.,"Jeff Samardzija (13, 35)",1449,R
24,25.,"Gerrit Cole (8, 29)",1430,R
25,26.,"Lance Lynn (9, 33)",1415,R
26,27.,"Yu Darvish (8, 33)",1392,R
27,28.,"Jacob deGrom (7, 32)",1359,R
28,29.,"Jake Arrieta (11, 34)",1350,R
29,30.,"Chris Archer (8, 31)",1349,R
30,31.,"Edinson Volquez (15, 36)",1323,R
31,32.,"Jose Quintana (9, 31)",1310,L
32,33.,"Carlos Carrasco (11, 33)",1305,R
33,34.,"Trevor Bauer (9, 29)",1279,R
34,35.,"Charlie Morton (13, 36)",1276,R
35,36.,"Jordan Zimmermann (12, 34)",1271,R
36,37.,"Mike Leake (10, 32)",1231,R
37,38.,"Julio Teheran (10, 29)",1204,R
38,39.,"Patrick Corbin (8, 30)",1195,L
39,40.,"Derek Holland (12, 33)",1190,L
40,41.,"Homer Bailey (14, 34)",1157,R
41,42.,"Wade Miley (10, 33)",1127,L
42,43.,"Trevor Cahill (12, 32)",1119,R
43,44.,"Dallas Keuchel (9, 32)",1078,L
44,45.,"Jhoulys Chacin (12, 32)",1067,R
45,46.,"Sonny Gray (8, 30)",1066,R
46,47.,"Mike Minor (9, 32)",1048,L
47,48.,"Robbie Ray (7, 28)",1042,L
48,49.,"Rich Hill (16, 40)",1035,L
49,50.,"Jake Odorizzi (9, 30)",995,R
50,51.,"Masahiro Tanaka (7, 31)",991,R
51,52.,"Mike Fiers (10, 35)",990,R
52,53.,"Danny Duffy (10, 31)",983,L
53,54.,"Ivan Nova (11, 33)",963,R
54,55.,"Andrew Miller (15, 35)",939,L
55,56.,"Kenley Jansen (11, 32)",936,R
56,57.,"Kevin Gausman (8, 29)",934,R
57,58.,"Tyler Clippard (14, 35)",931,R
58,58.,"Tanner Roark (8, 33)",931,R
59,60.,"Craig Kimbrel (11, 32)",926,R
60,61.,"Aaron Nola (6, 27)",922,R
61,62.,"Aroldis Chapman (11, 32)",905,L
62,63.,"Kyle Gibson (8, 32)",903,R
63,64.,"Wade Davis (12, 34)",891,R
64,65.,"Kyle Hendricks (7, 30)",882,R
65,66.,"David Robertson (12, 35)",880,R
66,67.,"Brandon Morrow (12, 35)",877,R
67,68.,"Carlos Martinez (8, 28)",870,R
68,69.,"Drew Pomeranz (10, 31)",853,L
69,70.,"Michael Pineda (7, 31)",852,R
70,71.,"Wei-Yin Chen (8, 34)",846,L
71,72.,"Jesse Chavez (13, 36)",832,R
72,73.,"James Paxton (8, 31)",829,L
73,74.,"Hector Santiago (9, 32)",826,L
74,75.,"Tyson Ross (10, 33)",816,R
75,76.,"Jonathan Sanchez (8, 37)",796,L
76,76.,"Michael Wacha (8, 28)",796,R
77,78.,"Joakim Soria (13, 36)",791,R
78,79.,"Alex Wood (8, 29)",783,L
79,80.,"Zack Wheeler (6, 30)",779,R
80,81.,"Noah Syndergaard (5, 27)",775,R
81,82.,"Matt Harvey (8, 31)",772,R
82,83.,"Collin McHugh (8, 33)",771,R
83,84.,"Nathan Eovaldi (9, 30)",762,R
84,85.,"Chase Anderson (7, 32)",759,R
85,86.,"Hyun Jin Ryu (7, 33)",737,L
86,87.,"Jordan Lyles (10, 29)",732,R
87,88.,"Yusmeiro Petit (13, 35)",730,R
88,89.,"Kenta Maeda (5, 32)",721,R
89,90.,"Alex Cobb (9, 32)",718,R
90,91.,"Sergio Romo (13, 37)",715,R
91,92.,"Brett Anderson (12, 32)",714,L
92,92.,"Drew Smyly (7, 31)",714,L
93,94.,"Eduardo Rodriguez (5, 27)",707,L
94,95.,"Garrett Richards (10, 32)",702,R
95,96.,"Josh Tomlin (11, 35)",699,R
96,97.,"Marcus Stroman (6, 29)",695,R
97,98.,"Matthew Boyd (6, 29)",692,L
98,98.,"Jon Gray (6, 28)",692,R
99,100.,"Tommy Milone (10, 33)",688,L
