,Rank,"Player (yrs, age)",Earned Runs,Throws
0,1.,"Bartolo Colon (21, 47)",1584,R
1,2.,"Justin Verlander (16, 37)",1105,R
2,3.,"Zack Greinke (17, 36)",1100,R
3,4.,"Edwin Jackson (17, 36)",1040,R
4,4.,"Jon Lester (15, 36)",1040,L
5,6.,"Felix Hernandez (15, 34)",1037,R
6,7.,"Cole Hamels (15, 36)",1027,L
7,8.,"Rick Porcello (12, 31)",1025,R
8,9.,"Anibal Sanchez (15, 36)",877,R
9,10.,"Max Scherzer (13, 35)",841,R
10,11.,"Francisco Liriano (14, 36)",837,L
11,12.,"Mike Leake (10, 32)",824,R
12,13.,"Ian Kennedy (14, 35)",818,R
13,14.,"Adam Wainwright (15, 38)",815,R
14,15.,"Gio Gonzalez (13, 34)",795,L
15,16.,"J.A. Happ (14, 37)",770,L
16,17.,"Edinson Volquez (15, 36)",765,R
17,18.,"Jeff Samardzija (13, 35)",759,R
18,19.,"David Price (12, 34)",746,L
19,20.,"Johnny Cueto (13, 34)",728,R
20,21.,"Derek Holland (12, 33)",725,L
21,21.,"Jordan Zimmermann (12, 34)",725,R
22,23.,"Homer Bailey (14, 34)",710,R
23,24.,"Oliver Perez (18, 38)",705,L
24,25.,"Trevor Cahill (12, 32)",686,R
25,26.,"Madison Bumgarner (12, 30)",672,L
26,27.,"Wade Miley (10, 33)",668,L
27,28.,"Ivan Nova (11, 33)",656,R
28,29.,"Charlie Morton (13, 36)",653,R
29,30.,"Jake Arrieta (11, 34)",632,R
30,31.,"Clayton Kershaw (13, 32)",631,L
31,32.,"Jose Quintana (9, 31)",619,L
32,33.,"Jhoulys Chacin (12, 32)",595,R
33,34.,"Julio Teheran (10, 29)",589,R
34,35.,"Kyle Gibson (8, 32)",586,R
35,36.,"Lance Lynn (9, 33)",566,R
36,37.,"Jordan Lyles (10, 29)",561,R
37,38.,"Chris Sale (10, 31)",548,L
38,39.,"Dallas Keuchel (9, 32)",545,L
39,40.,"Chris Archer (8, 31)",530,R
40,40.,"Josh Tomlin (11, 35)",530,R
41,42.,"Carlos Carrasco (11, 33)",520,R
42,43.,"Patrick Corbin (8, 30)",518,L
43,44.,"Martin Perez (9, 29)",517,L
44,45.,"Trevor Bauer (9, 29)",516,R
45,46.,"Mike Fiers (10, 35)",513,R
46,47.,"Stephen Strasburg (11, 31)",512,R
47,48.,"Mike Minor (9, 32)",510,L
48,49.,"Danny Duffy (10, 31)",497,L
49,50.,"Wei-Yin Chen (8, 34)",495,L
50,51.,"Tanner Roark (8, 33)",489,R
51,52.,"Brett Anderson (12, 32)",471,L
52,52.,"Corey Kluber (10, 34)",471,R
53,54.,"Jesse Chavez (13, 36)",469,R
54,55.,"Kevin Gausman (8, 29)",466,R
55,56.,"Tommy Milone (10, 33)",463,L
56,57.,"Nathan Eovaldi (9, 30)",458,R
57,58.,"Jake Odorizzi (9, 30)",454,R
58,59.,"Gerrit Cole (8, 29)",450,R
59,60.,"Wade LeBlanc (12, 35)",446,L
60,61.,"Sonny Gray (8, 30)",445,R
61,62.,"Masahiro Tanaka (7, 31)",438,R
62,63.,"Yu Darvish (8, 33)",434,R
63,64.,"Hector Santiago (9, 32)",424,L
64,65.,"Tyler Chatwood (9, 30)",414,R
65,66.,"Rich Hill (16, 40)",411,L
66,66.,"Jonathan Sanchez (8, 37)",411,L
67,68.,"Tyson Ross (10, 33)",406,R
68,69.,"Chase Anderson (7, 32)",402,R
69,69.,"Michael Wacha (8, 28)",402,R
70,71.,"Wade Davis (12, 34)",401,R
71,72.,"Robbie Ray (7, 28)",399,L
72,73.,"Matthew Boyd (6, 29)",398,L
73,74.,"Alex Cobb (9, 32)",395,R
74,75.,"Tommy Hunter (13, 33)",391,R
75,76.,"Matt Harvey (8, 31)",386,R
76,77.,"Michael Pineda (7, 31)",381,R
77,78.,"Brandon Morrow (12, 35)",378,R
78,79.,"Juan Nicasio (10, 33)",377,R
79,80.,"Drew Pomeranz (10, 31)",368,L
80,81.,"Kyle Hendricks (7, 30)",363,R
81,82.,"Yusmeiro Petit (13, 35)",361,R
82,83.,"Brett Cecil (10, 33)",360,L
83,84.,"Horacio Ramirez (8, 40)",356,L
84,85.,"Marcus Stroman (6, 29)",355,R
85,86.,"Andrew Miller (15, 35)",352,L
86,87.,"Collin McHugh (8, 33)",351,R
87,88.,"Jon Gray (6, 28)",347,R
88,89.,"Shelby Miller (8, 29)",346,R
89,90.,"Carlos Martinez (8, 28)",345,R
90,91.,"Dylan Bundy (6, 27)",343,R
91,92.,"Manny Parra (8, 37)",342,L
92,93.,"Ross Detwiler (12, 34)",341,L
93,94.,"Jacob deGrom (7, 32)",339,R
94,95.,"Zack Wheeler (6, 30)",337,R
95,96.,"Mike Foltynewicz (7, 28)",330,R
96,97.,"Drew Smyly (7, 31)",326,L
97,97.,"Alex Wood (8, 29)",326,L
98,99.,"Aaron Nola (6, 27)",325,R
99,100.,"Garrett Richards (10, 32)",324,R
