,Rank,"Player (yrs, age)",Hit By Pitch,Throws
0,1.,"Charlie Morton (13, 36)",121,R
1,2.,"Johnny Cueto (13, 34)",107,R
2,3.,"Felix Hernandez (15, 34)",105,R
3,4.,"Cole Hamels (15, 36)",100,L
4,5.,"Chris Sale (10, 31)",98,L
5,5.,"Justin Verlander (16, 37)",98,R
6,7.,"Jon Lester (15, 36)",87,L
7,7.,"Oliver Perez (18, 38)",87,L
8,9.,"Max Scherzer (13, 35)",86,R
9,10.,"Rick Porcello (12, 31)",84,R
10,11.,"Ian Kennedy (14, 35)",79,R
11,12.,"Edinson Volquez (15, 36)",76,R
12,13.,"Zack Greinke (17, 36)",70,R
13,14.,"Ivan Nova (11, 33)",69,R
14,15.,"Madison Bumgarner (12, 30)",68,L
15,15.,"Mike Leake (10, 32)",68,R
16,17.,"Julio Teheran (10, 29)",67,R
17,18.,"Bartolo Colon (21, 47)",64,R
18,18.,"Lance Lynn (9, 33)",64,R
19,18.,"Adam Wainwright (15, 38)",64,R
20,21.,"Trevor Bauer (9, 29)",63,R
21,22.,"Trevor Cahill (12, 32)",62,R
22,22.,"Francisco Liriano (14, 36)",62,L
23,24.,"Jeff Samardzija (13, 35)",60,R
24,25.,"David Price (12, 34)",59,L
25,25.,"Jordan Zimmermann (12, 34)",59,R
26,27.,"Jake Arrieta (11, 34)",58,R
27,28.,"Homer Bailey (14, 34)",56,R
28,28.,"Andrew Miller (15, 35)",56,L
29,28.,"Anibal Sanchez (15, 36)",56,R
30,31.,"Tanner Roark (8, 33)",55,R
31,32.,"Jhoulys Chacin (12, 32)",54,R
32,33.,"Rich Hill (16, 40)",53,L
33,34.,"Stephen Strasburg (11, 31)",51,R
34,35.,"Gio Gonzalez (13, 34)",50,L
35,35.,"Hector Santiago (9, 32)",50,L
36,37.,"Mike Fiers (10, 35)",49,R
37,37.,"Jimmy Nelson (6, 31)",49,R
38,39.,"Carlos Martinez (8, 28)",48,R
39,39.,"Darren O'Day (13, 37)",48,R
40,41.,"Yu Darvish (8, 33)",46,R
41,41.,"Derek Holland (12, 33)",46,L
42,41.,"Corey Kluber (10, 34)",46,R
43,41.,"Jordan Lyles (10, 29)",46,R
44,45.,"Danny Duffy (10, 31)",45,L
45,45.,"Tyson Ross (10, 33)",45,R
46,47.,"Gerrit Cole (8, 29)",44,R
47,47.,"Jonathan Sanchez (8, 37)",44,L
48,49.,"Jose Berrios (5, 26)",43,R
49,50.,"Kyle Gibson (8, 32)",41,R
50,50.,"Kyle Hendricks (7, 30)",41,R
51,52.,"Steve Cishek (11, 34)",40,R
52,52.,"Jared Hughes (10, 34)",40,R
53,54.,"Edwin Jackson (17, 36)",39,R
54,54.,"Jose Urena (6, 28)",39,R
55,56.,"Chris Archer (8, 31)",38,R
56,56.,"J.A. Happ (14, 37)",38,L
57,58.,"Carlos Carrasco (11, 33)",37,R
58,58.,"Jakob Junis (4, 27)",37,R
59,58.,"Jose Quintana (9, 31)",37,L
60,58.,"Pedro Strop (12, 35)",37,R
61,62.,"Chase Anderson (7, 32)",36,R
62,62.,"Aaron Loup (9, 32)",36,L
63,62.,"Wade Miley (10, 33)",36,L
64,62.,"Joe Smith (13, 36)",36,R
65,62.,"Zack Wheeler (6, 30)",36,R
66,67.,"Alex Cobb (9, 32)",35,R
67,67.,"Collin McHugh (8, 33)",35,R
68,69.,"Clayton Kershaw (13, 32)",34,L
69,70.,"Tyler Chatwood (9, 30)",33,R
70,70.,"Daniel Hudson (11, 33)",33,R
71,70.,"Mike Montgomery (6, 30)",33,L
72,70.,"Taijuan Walker (8, 27)",33,R
73,70.,"Tony Watson (10, 35)",33,L
74,75.,"Matthew Boyd (6, 29)",32,L
75,75.,"Ross Detwiler (12, 34)",32,L
76,75.,"Zack Godley (6, 30)",32,R
77,75.,"Joe Kelly (9, 32)",32,R
78,75.,"Alex Wood (8, 29)",32,L
79,80.,"Chris Bassitt (6, 31)",31,R
80,80.,"Patrick Corbin (8, 30)",31,L
81,80.,"Sonny Gray (8, 30)",31,R
82,80.,"Mike Minor (9, 32)",31,L
83,80.,"Erasmo Ramirez (9, 30)",31,R
84,80.,"Carlos Rodon (6, 27)",31,L
85,86.,"Brett Anderson (12, 32)",30,L
86,86.,"Wade Davis (12, 34)",30,R
87,86.,"Jake Diekman (9, 33)",30,L
88,86.,"Dallas Keuchel (9, 32)",30,L
89,86.,"Sergio Mitre (8, 39)",30,R
90,86.,"Aaron Nola (6, 27)",30,R
91,86.,"Robbie Ray (7, 28)",30,L
92,93.,"Dylan Bundy (6, 27)",29,R
93,93.,"Brad Hand (10, 30)",29,L
94,93.,"Jake Odorizzi (9, 30)",29,R
95,96.,"Mike Foltynewicz (7, 28)",28,R
96,96.,"Jon Gray (6, 28)",28,R
97,96.,"Shane Greene (7, 31)",28,R
98,96.,"Matt Harvey (8, 31)",28,R
99,96.,"Lance McCullers Jr. (5, 26)",28,R
