,Rank,"Player (yrs, age)",Adjusted ERA+,Throws
0,1.,"Clayton Kershaw (13, 32)",158,L
1,2.,"Jacob deGrom (7, 32)",150,R
2,3.,"Chris Sale (10, 31)",140,L
3,4.,"Corey Kluber (10, 34)",135,R
4,5.,"Kyle Hendricks (7, 30)",133,R
5,6.,"Max Scherzer (13, 35)",132,R
6,7.,"Stephen Strasburg (11, 31)",129,R
7,7.,"Justin Verlander (16, 37)",129,R
8,9.,"Gerrit Cole (8, 29)",128,R
9,10.,"Yu Darvish (8, 33)",125,R
10,10.,"Zack Greinke (17, 36)",125,R
11,12.,"Cole Hamels (15, 36)",123,L
12,12.,"David Price (12, 34)",123,L
13,14.,"Johnny Cueto (13, 34)",119,R
14,14.,"Jon Lester (15, 36)",119,L
15,14.,"Adam Wainwright (15, 38)",119,R
16,17.,"Madison Bumgarner (12, 30)",118,L
17,18.,"Sonny Gray (8, 30)",117,R
18,18.,"Felix Hernandez (15, 34)",117,R
19,20.,"Lance Lynn (9, 33)",116,R
20,21.,"Carlos Carrasco (11, 33)",114,R
21,21.,"Masahiro Tanaka (7, 31)",114,R
22,23.,"Trevor Bauer (9, 29)",113,R
23,23.,"Dallas Keuchel (9, 32)",113,L
24,25.,"Patrick Corbin (8, 30)",112,L
25,26.,"Gio Gonzalez (13, 34)",111,L
26,27.,"Jake Arrieta (11, 34)",110,R
27,27.,"Jose Quintana (9, 31)",110,L
28,27.,"Tanner Roark (8, 33)",110,R
29,30.,"Jhoulys Chacin (12, 32)",108,R
30,31.,"Danny Duffy (10, 31)",107,L
31,31.,"Mike Minor (9, 32)",107,L
32,33.,"Bartolo Colon (21, 47)",106,R
33,33.,"Julio Teheran (10, 29)",106,R
34,35.,"Jake Odorizzi (9, 30)",105,R
35,36.,"J.A. Happ (14, 37)",104,L
36,37.,"Chris Archer (8, 31)",103,R
37,37.,"Anibal Sanchez (15, 36)",103,R
38,39.,"Brett Anderson (12, 32)",102,L
39,40.,"Mike Fiers (10, 35)",101,R
40,40.,"Jordan Zimmermann (12, 34)",101,R
41,42.,"Mike Leake (10, 32)",99,R
42,42.,"Francisco Liriano (14, 36)",99,L
43,44.,"Trevor Cahill (12, 32)",98,R
44,44.,"Ian Kennedy (14, 35)",98,R
45,44.,"Wade Miley (10, 33)",98,L
46,44.,"Charlie Morton (13, 36)",98,R
47,44.,"Rick Porcello (12, 31)",98,R
48,49.,"Wei-Yin Chen (8, 34)",97,L
49,49.,"Jeff Samardzija (13, 35)",97,R
50,51.,"Ivan Nova (11, 33)",96,R
51,51.,"Oliver Perez (18, 38)",96,L
52,53.,"Kyle Gibson (8, 32)",93,R
53,53.,"Derek Holland (12, 33)",93,L
54,55.,"Josh Tomlin (11, 35)",91,R
55,56.,"Homer Bailey (14, 34)",90,R
56,56.,"Edinson Volquez (15, 36)",90,R
57,58.,"Edwin Jackson (17, 36)",88,R
