,Rank,"Player (yrs, age)",Adj. Pitching Runs,Throws
0,1.,"Clayton Kershaw (13, 32)",381,L
1,2.,"Justin Verlander (16, 37)",322,R
2,3.,"Zack Greinke (17, 36)",280,R
3,4.,"Max Scherzer (13, 35)",263,R
4,5.,"Cole Hamels (15, 36)",235,L
5,6.,"Chris Sale (10, 31)",214,L
6,7.,"Jon Lester (15, 36)",188,L
7,8.,"Jacob deGrom (7, 32)",177,R
8,9.,"Felix Hernandez (15, 34)",172,R
9,9.,"David Price (12, 34)",172,L
10,11.,"Adam Wainwright (15, 38)",161,R
11,12.,"Corey Kluber (10, 34)",151,R
12,13.,"Stephen Strasburg (11, 31)",141,R
13,14.,"Johnny Cueto (13, 34)",137,R
14,15.,"Gerrit Cole (8, 29)",128,R
15,16.,"Madison Bumgarner (12, 30)",127,L
16,17.,"Kyle Hendricks (7, 30)",120,R
17,17.,"Craig Kimbrel (11, 32)",120,R
18,19.,"Aroldis Chapman (11, 32)",112,L
19,19.,"Darren O'Day (13, 37)",112,R
20,21.,"Kenley Jansen (11, 32)",111,R
21,22.,"Yu Darvish (8, 33)",109,R
22,23.,"Joakim Soria (13, 36)",103,R
23,24.,"Tyler Clippard (14, 35)",97,R
24,25.,"Bartolo Colon (21, 47)",96,R
25,25.,"David Robertson (12, 35)",96,R
26,27.,"Gio Gonzalez (13, 34)",88,L
27,27.,"Lance Lynn (9, 33)",88,R
28,29.,"Hyun Jin Ryu (7, 33)",86,L
29,29.,"Joe Smith (13, 36)",86,R
30,31.,"Mike Clevinger (5, 29)",82,R
31,32.,"Steve Cishek (11, 34)",79,R
32,33.,"Zack Britton (10, 32)",76,L
33,33.,"Carlos Carrasco (11, 33)",76,R
34,33.,"Aaron Nola (6, 27)",76,R
35,33.,"Tony Watson (10, 35)",76,L
36,37.,"Dallas Keuchel (9, 32)",75,L
37,37.,"Mark Melancon (12, 35)",75,R
38,37.,"Sergio Romo (13, 37)",75,R
39,40.,"Dellin Betances (9, 32)",70,R
40,40.,"Greg Holland (10, 34)",70,R
41,42.,"Trevor Bauer (9, 29)",68,R
42,42.,"Sonny Gray (8, 30)",68,R
43,44.,"Jose Quintana (9, 31)",66,L
44,45.,"Will Harris (9, 35)",61,R
45,46.,"Patrick Corbin (8, 30)",60,L
46,46.,"Rich Hill (16, 40)",60,L
47,48.,"Jake Arrieta (11, 34)",59,R
48,48.,"Kelvin Herrera (10, 30)",59,R
49,48.,"Blake Snell (5, 27)",59,L
50,48.,"Masahiro Tanaka (7, 31)",59,R
51,52.,"Jared Hughes (10, 34)",58,R
52,53.,"Shane Bieber (3, 25)",57,R
53,53.,"Roberto Osuna (6, 25)",57,R
54,55.,"Felipe Vazquez (5, 28)",56,L
55,56.,"Jeremy Jeffress (11, 32)",54,R
56,57.,"Cody Allen (8, 31)",53,R
57,57.,"Raisel Iglesias (6, 30)",53,R
58,59.,"Alex Colome (8, 31)",52,R
59,59.,"Pedro Strop (12, 35)",52,R
60,61.,"Adam Ottavino (10, 34)",51,R
61,61.,"Blake Treinen (7, 32)",51,R
62,63.,"Ken Giles (7, 29)",50,R
63,63.,"Carlos Martinez (8, 28)",50,R
64,63.,"Luis Severino (5, 26)",50,R
65,66.,"Sean Doolittle (9, 33)",49,L
66,66.,"Tanner Roark (8, 33)",49,R
67,66.,"Noah Syndergaard (5, 27)",49,R
68,69.,"Luis Castillo (4, 27)",47,R
69,70.,"German Marquez (5, 25)",46,R
70,71.,"Josh Hader (4, 26)",45,L
71,71.,"Eduardo Rodriguez (5, 27)",45,L
72,73.,"Brad Keller (3, 24)",44,R
73,74.,"Kyle Freeland (4, 27)",43,L
74,74.,"Brandon Kintzler (11, 35)",43,R
75,74.,"Marcus Stroman (6, 29)",43,R
76,77.,"Jake McGee (11, 33)",42,L
77,77.,"James Paxton (8, 31)",42,L
78,79.,"Ryan Pressly (8, 31)",41,R
79,80.,"Alex Wood (8, 29)",40,L
80,81.,"Danny Duffy (10, 31)",39,L
81,81.,"Jack Flaherty (4, 24)",39,R
82,81.,"Taylor Rogers (5, 29)",39,L
83,81.,"Justin Wilson (9, 32)",39,L
84,85.,"Jhoulys Chacin (12, 32)",38,R
85,85.,"Alex Claudio (7, 28)",38,L
86,85.,"Wade Davis (12, 34)",38,R
87,85.,"Mychal Givens (6, 30)",38,R
88,85.,"Mike Minor (9, 32)",38,L
89,90.,"Zach Davies (6, 27)",37,R
90,90.,"Neftali Feliz (9, 32)",37,R
91,90.,"Chad Green (5, 29)",37,R
92,90.,"J.A. Happ (14, 37)",37,L
93,90.,"Mike Soroka (3, 22)",37,R
94,90.,"Julio Teheran (10, 29)",37,R
95,96.,"Pedro Baez (7, 32)",36,R
96,96.,"Brad Brach (10, 34)",36,R
97,98.,"Walker Buehler (4, 25)",35,R
98,98.,"Jeurys Familia (9, 30)",35,R
99,98.,"AJ Ramos (8, 33)",35,R
