,Rank,"Player (yrs, age)",Adj. Pitching Wins,Throws
0,1.,"Clayton Kershaw (13, 32)",41.95,L
1,2.,"Justin Verlander (16, 37)",33.97,R
2,3.,"Zack Greinke (17, 36)",30.09,R
3,4.,"Max Scherzer (13, 35)",27.95,R
4,5.,"Cole Hamels (15, 36)",24.86,L
5,6.,"Chris Sale (10, 31)",22.75,L
6,7.,"Jon Lester (15, 36)",19.99,L
7,8.,"Jacob deGrom (7, 32)",19.05,R
8,9.,"Felix Hernandez (15, 34)",18.92,R
9,10.,"David Price (12, 34)",18.17,L
10,11.,"Adam Wainwright (15, 38)",17.44,R
11,12.,"Corey Kluber (10, 34)",16.47,R
12,13.,"Johnny Cueto (13, 34)",15.38,R
13,14.,"Stephen Strasburg (11, 31)",14.94,R
14,15.,"Madison Bumgarner (12, 30)",13.50,L
15,16.,"Gerrit Cole (8, 29)",13.41,R
16,17.,"Kyle Hendricks (7, 30)",12.67,R
17,18.,"Craig Kimbrel (11, 32)",12.50,R
18,19.,"Aroldis Chapman (11, 32)",11.48,L
19,20.,"Yu Darvish (8, 33)",11.46,R
20,21.,"Darren O'Day (13, 37)",11.41,R
21,22.,"Kenley Jansen (11, 32)",11.38,R
22,23.,"Bartolo Colon (21, 47)",10.45,R
23,24.,"Joakim Soria (13, 36)",10.33,R
24,25.,"Tyler Clippard (14, 35)",9.95,R
25,26.,"David Robertson (12, 35)",9.73,R
26,27.,"Gio Gonzalez (13, 34)",9.68,L
27,28.,"Lance Lynn (9, 33)",9.17,R
28,29.,"Hyun Jin Ryu (7, 33)",9.13,L
29,30.,"Joe Smith (13, 36)",8.70,R
30,31.,"Mike Clevinger (5, 29)",8.39,R
31,32.,"Dallas Keuchel (9, 32)",8.26,L
32,33.,"Carlos Carrasco (11, 33)",8.25,R
33,34.,"Steve Cishek (11, 34)",8.04,R
34,35.,"Aaron Nola (6, 27)",8.03,R
35,36.,"Tony Watson (10, 35)",7.92,L
36,37.,"Mark Melancon (12, 35)",7.84,R
37,38.,"Zack Britton (10, 32)",7.79,L
38,39.,"Sergio Romo (13, 37)",7.67,R
39,40.,"Sonny Gray (8, 30)",7.37,R
40,41.,"Dellin Betances (9, 32)",7.23,R
41,42.,"Trevor Bauer (9, 29)",7.22,R
42,42.,"Greg Holland (10, 34)",7.22,R
43,44.,"Jake Arrieta (11, 34)",7.18,R
44,45.,"Jose Quintana (9, 31)",6.89,L
45,46.,"Rich Hill (16, 40)",6.60,L
46,47.,"Patrick Corbin (8, 30)",6.36,L
47,48.,"Blake Snell (5, 27)",6.21,L
48,49.,"Masahiro Tanaka (7, 31)",6.20,R
49,50.,"Kelvin Herrera (10, 30)",6.17,R
50,51.,"Will Harris (9, 35)",6.09,R
51,52.,"Jared Hughes (10, 34)",5.98,R
52,53.,"Shane Bieber (3, 25)",5.88,R
53,54.,"Roberto Osuna (6, 25)",5.73,R
54,55.,"Tanner Roark (8, 33)",5.64,R
55,56.,"Jeremy Jeffress (11, 32)",5.63,R
56,57.,"Felipe Vazquez (5, 28)",5.59,L
57,58.,"Cody Allen (8, 31)",5.47,R
58,59.,"Pedro Strop (12, 35)",5.41,R
59,60.,"Carlos Martinez (8, 28)",5.39,R
60,60.,"Adam Ottavino (10, 34)",5.39,R
61,62.,"Raisel Iglesias (6, 30)",5.37,R
62,63.,"Luis Severino (5, 26)",5.25,R
63,64.,"Alex Colome (8, 31)",5.21,R
64,64.,"Noah Syndergaard (5, 27)",5.21,R
65,66.,"Blake Treinen (7, 32)",5.20,R
66,67.,"Ken Giles (7, 29)",5.14,R
67,68.,"Sean Doolittle (9, 33)",4.97,L
68,69.,"Kyle Freeland (4, 27)",4.77,L
69,70.,"Luis Castillo (4, 27)",4.75,R
70,71.,"German Marquez (5, 25)",4.73,R
71,72.,"Josh Hader (4, 26)",4.54,L
72,73.,"Marcus Stroman (6, 29)",4.53,R
73,74.,"Eduardo Rodriguez (5, 27)",4.49,L
74,75.,"Brad Keller (3, 24)",4.48,R
75,76.,"Alex Wood (8, 29)",4.37,L
76,77.,"Brandon Kintzler (11, 35)",4.35,R
77,78.,"Jhoulys Chacin (12, 32)",4.32,R
78,78.,"James Paxton (8, 31)",4.32,L
79,80.,"Jake McGee (11, 33)",4.29,L
80,81.,"J.A. Happ (14, 37)",4.25,L
81,82.,"Danny Duffy (10, 31)",4.22,L
82,82.,"Julio Teheran (10, 29)",4.22,R
83,84.,"Wade Davis (12, 34)",4.21,R
84,85.,"Ryan Pressly (8, 31)",4.10,R
85,86.,"Jack Flaherty (4, 24)",4.08,R
86,87.,"Justin Wilson (9, 32)",4.00,L
87,88.,"Mike Minor (9, 32)",3.96,L
88,89.,"Mike Soroka (3, 22)",3.90,R
89,90.,"Mychal Givens (6, 30)",3.85,R
90,91.,"Alex Claudio (7, 28)",3.80,L
91,92.,"Taylor Rogers (5, 29)",3.78,L
92,93.,"Brad Brach (10, 34)",3.77,R
93,93.,"Neftali Feliz (9, 32)",3.77,R
94,95.,"Chad Green (5, 29)",3.72,R
95,96.,"Jeurys Familia (9, 30)",3.71,R
96,97.,"Zach Davies (6, 27)",3.70,R
97,98.,"AJ Ramos (8, 33)",3.69,R
98,99.,"Walker Buehler (4, 25)",3.66,R
99,100.,"Pedro Baez (7, 32)",3.63,R
100,100.,"Anibal Sanchez (15, 36)",3.63,R
