,Rank,"Player (yrs, age)",Win Probability Added (WPA),Throws
0,1.,"Clayton Kershaw (13, 32)",44.88,L
1,2.,"Justin Verlander (16, 37)",35.91,R
2,3.,"Zack Greinke (17, 36)",34.67,R
3,4.,"Max Scherzer (13, 35)",29.13,R
4,5.,"Chris Sale (10, 31)",26.33,L
5,6.,"Felix Hernandez (15, 34)",25.64,R
6,7.,"Cole Hamels (15, 36)",24.35,L
7,8.,"Craig Kimbrel (11, 32)",22.50,R
8,9.,"Kenley Jansen (11, 32)",21.62,R
9,10.,"Jon Lester (15, 36)",21.36,L
10,11.,"Joakim Soria (13, 36)",21.08,R
11,12.,"Jacob deGrom (7, 32)",20.75,R
12,13.,"Adam Wainwright (15, 38)",19.09,R
13,14.,"Aroldis Chapman (11, 32)",18.97,L
14,15.,"David Price (12, 34)",18.64,L
15,16.,"Mark Melancon (12, 35)",18.07,R
16,17.,"David Robertson (12, 35)",17.93,R
17,18.,"Tony Watson (10, 35)",17.55,L
18,19.,"Johnny Cueto (13, 34)",16.27,R
19,20.,"Corey Kluber (10, 34)",15.64,R
20,21.,"Stephen Strasburg (11, 31)",15.13,R
21,22.,"Zack Britton (10, 32)",15.03,L
22,23.,"Madison Bumgarner (12, 30)",14.52,L
23,24.,"Sergio Romo (13, 37)",14.40,R
24,25.,"Greg Holland (10, 34)",14.38,R
25,26.,"Darren O'Day (13, 37)",14.16,R
26,27.,"Kyle Hendricks (7, 30)",14.04,R
27,28.,"Gerrit Cole (8, 29)",13.29,R
28,29.,"Wade Davis (12, 34)",12.59,R
29,30.,"Bartolo Colon (21, 47)",11.99,R
30,31.,"Felipe Vazquez (5, 28)",11.20,L
31,32.,"Hyun Jin Ryu (7, 33)",11.07,L
32,33.,"Sean Doolittle (9, 33)",11.01,L
33,34.,"Cody Allen (8, 31)",10.64,R
34,35.,"Joe Smith (13, 36)",10.51,R
35,36.,"Gio Gonzalez (13, 34)",10.41,L
36,37.,"Dellin Betances (9, 32)",10.34,R
37,38.,"Ken Giles (7, 29)",10.32,R
38,39.,"Yu Darvish (8, 33)",10.21,R
39,40.,"Lance Lynn (9, 33)",9.88,R
40,41.,"Carlos Carrasco (11, 33)",9.73,R
41,42.,"Alex Colome (8, 31)",9.60,R
42,43.,"Andrew Miller (15, 35)",9.56,L
43,44.,"Aaron Nola (6, 27)",8.73,R
44,45.,"Masahiro Tanaka (7, 31)",8.67,R
45,46.,"Steve Cishek (11, 34)",8.56,R
46,47.,"Dallas Keuchel (9, 32)",8.48,L
47,48.,"Josh Hader (4, 26)",8.41,L
48,49.,"Mike Clevinger (5, 29)",8.23,R
49,49.,"Jeremy Jeffress (11, 32)",8.23,R
50,51.,"Carlos Martinez (8, 28)",8.12,R
51,52.,"Roberto Osuna (6, 25)",7.96,R
52,53.,"Tyler Clippard (14, 35)",7.81,R
53,54.,"Brad Hand (10, 30)",7.59,L
54,55.,"Trevor Rosenthal (8, 30)",7.46,R
55,56.,"Kelvin Herrera (10, 30)",7.42,R
56,57.,"Rich Hill (16, 40)",7.30,L
57,58.,"Jake Arrieta (11, 34)",7.00,R
58,59.,"Will Harris (9, 35)",6.99,R
59,60.,"Blake Treinen (7, 32)",6.94,R
60,61.,"Blake Snell (5, 27)",6.90,L
61,62.,"Julio Teheran (10, 29)",6.85,R
62,63.,"AJ Ramos (8, 33)",6.75,R
63,64.,"Shane Bieber (3, 25)",6.58,R
64,65.,"Edwin Diaz (5, 26)",6.42,R
65,66.,"Hector Rondon (8, 32)",6.34,R
66,67.,"Sonny Gray (8, 30)",6.33,R
67,68.,"Taylor Rogers (5, 29)",6.29,L
68,69.,"Trevor Bauer (9, 29)",6.24,R
69,70.,"Noah Syndergaard (5, 27)",6.17,R
70,71.,"Blake Parker (8, 35)",6.08,R
71,72.,"Jeurys Familia (9, 30)",6.05,R
72,73.,"Raisel Iglesias (6, 30)",6.02,R
73,74.,"Jose Quintana (9, 31)",5.60,L
74,75.,"Justin Wilson (9, 32)",5.47,L
75,76.,"Will Smith (8, 30)",5.42,L
76,77.,"Jack Flaherty (4, 24)",5.32,R
77,78.,"Kirby Yates (7, 33)",5.26,R
78,79.,"Shane Greene (7, 31)",5.22,R
79,80.,"Kenta Maeda (5, 32)",5.21,R
80,81.,"Corey Knebel (6, 28)",5.11,R
81,82.,"Luis Severino (5, 26)",5.10,R
82,83.,"J.A. Happ (14, 37)",5.06,L
83,84.,"Pedro Strop (12, 35)",5.02,R
84,85.,"Walker Buehler (4, 25)",4.92,R
85,86.,"Marcus Stroman (6, 29)",4.85,R
86,87.,"Nick Wittgren (5, 29)",4.83,R
87,88.,"Pedro Baez (7, 32)",4.79,R
88,89.,"Patrick Corbin (8, 30)",4.77,L
89,90.,"Jared Hughes (10, 34)",4.73,R
90,91.,"Jerry Blevins (13, 36)",4.52,L
91,92.,"Alex Wood (8, 29)",4.42,L
92,93.,"Daniel Hudson (11, 33)",4.41,R
93,94.,"Tommy Hunter (13, 33)",4.40,R
94,95.,"Brad Brach (10, 34)",4.39,R
95,96.,"Alex Claudio (7, 28)",4.38,L
96,96.,"Neftali Feliz (9, 32)",4.38,R
97,98.,"Jake McGee (11, 33)",4.37,L
98,99.,"Chad Green (5, 29)",4.30,R
99,100.,"Jake Odorizzi (9, 30)",4.29,R
