,Rank,"Player (yrs, age)",Putouts,Throws
0,1.,"Albert Pujols (20, 40)",17066,R
1,2.,"Yadier Molina (17, 37)",13850,R
2,3.,"Joey Votto (14, 36)",13095,R
3,4.,"Freddie Freeman (11, 30)",11178,R
4,5.,"Paul Goldschmidt (10, 32)",10985,R
5,6.,"Eric Hosmer (10, 30)",10838,L
6,7.,"Miguel Cabrera (18, 37)",10136,R
7,8.,"Anthony Rizzo (10, 30)",9983,L
8,9.,"Kurt Suzuki (14, 36)",9931,R
9,10.,"Chris Davis (13, 34)",9394,R
10,11.,"Carlos Santana (11, 34)",9255,R
11,12.,"Buster Posey (11, 33)",9035,R
12,13.,"Justin Smoak (11, 33)",8972,L
13,14.,"Jonathan Lucroy (11, 34)",8270,R
14,15.,"Brandon Belt (10, 32)",7986,L
15,16.,"Matt Wieters (12, 34)",7723,R
16,17.,"Chris Iannetta (14, 37)",7633,R
17,18.,"Mitch Moreland (11, 34)",7475,L
18,19.,"Yasmani Grandal (9, 31)",7051,R
19,20.,"Wilson Ramos (11, 32)",7019,R
20,21.,"Yonder Alonso (10, 33)",6791,R
21,22.,"José Abreu (7, 33)",6645,R
22,23.,"Alex Avila (12, 33)",6630,R
23,24.,"Salvador Perez (9, 30)",6558,R
24,25.,"Jeff Mathis (16, 37)",6272,R
25,26.,"Yan Gomes (9, 32)",6158,R
26,27.,"Jason Castro (10, 33)",5767,R
27,28.,"Tyler Flowers (12, 34)",5730,R
28,29.,"Martin Maldonado (10, 33)",5475,R
29,30.,"Mike Zunino (8, 29)",5364,R
30,31.,"J.T. Realmuto (7, 29)",5294,R
31,32.,"Logan Morrison (11, 32)",4950,L
32,33.,"Welington Castillo (10, 33)",4620,R
33,34.,"Edwin Encarnacion (16, 37)",4415,R
34,35.,"Tucker Barnhart (7, 29)",4383,R
35,36.,"Ryan Zimmerman (15, 35)",4355,R
36,37.,"Matt Adams (9, 31)",4313,R
37,38.,"Daniel Murphy (12, 35)",4310,R
38,39.,"James McCann (7, 30)",4227,R
39,40.,"Nick Markakis (15, 36)",4177,L
