,Rank,"Player (yrs, age)",Assists,Throws
0,1.,"Robinson Cano (16, 37)",5838,R
1,2.,"Elvis Andrus (12, 31)",4487,R
2,3.,"Asdrubal Cabrera (14, 34)",4057,R
3,4.,"Dustin Pedroia (14, 36)",4017,R
4,5.,"Starlin Castro (11, 30)",3778,R
5,6.,"Erick Aybar (12, 36)",3522,R
6,7.,"Brandon Crawford (10, 33)",3516,R
7,8.,"Jose Altuve (10, 30)",3173,R
8,9.,"Brian Dozier (9, 33)",3100,R
9,10.,"DJ LeMahieu (10, 31)",3040,R
10,11.,"Jean Segura (9, 30)",3025,R
11,12.,"Andrelton Simmons (9, 30)",3004,R
12,13.,"Evan Longoria (13, 34)",2970,R
13,14.,"Neil Walker (12, 34)",2944,R
14,15.,"Jason Kipnis (10, 33)",2822,R
15,16.,"Kyle Seager (10, 32)",2719,R
16,17.,"Ian Desmond (11, 34)",2568,R
17,18.,"Gordon Beckham (11, 33)",2523,R
18,19.,"Jed Lowrie (12, 36)",2514,R
19,20.,"Daniel Murphy (12, 35)",2467,R
20,21.,"Freddy Galvis (9, 30)",2452,R
21,22.,"Nolan Arenado (8, 29)",2429,R
22,23.,"Manny Machado (9, 27)",2391,R
23,24.,"Ryan Zimmerman (15, 35)",2388,R
24,25.,"Marcus Semien (8, 29)",2369,R
25,26.,"Jordy Mercer (9, 33)",2366,R
26,27.,"Didi Gregorius (9, 30)",2297,R
27,28.,"Xander Bogaerts (8, 27)",2282,R
28,29.,"Dee Strange-Gordon (10, 32)",2270,R
29,30.,"Adeiny Hechavarria (9, 31)",2244,R
30,31.,"Jonathan Schoop (8, 28)",2229,R
31,32.,"Rougned Odor (7, 26)",2198,R
32,33.,"Kolten Wong (8, 29)",2105,R
33,34.,"Zack Cozart (9, 34)",2060,R
34,35.,"José Iglesias (9, 30)",2034,R
35,36.,"Mike Moustakas (10, 31)",2004,R
36,37.,"Todd Frazier (10, 34)",1944,R
37,38.,"Cesar Hernandez (8, 30)",1942,R
38,39.,"Francisco Lindor (6, 26)",1908,R
39,40.,"Jonathan Villar (8, 29)",1872,R
