,Rank,"Player (yrs, age)",Assists as C,Throws
0,1.,"Yadier Molina (17, 37)",988,R
1,2.,"Jonathan Lucroy (11, 34)",580,R
2,3.,"Kurt Suzuki (14, 36)",553,R
3,4.,"Jeff Mathis (16, 37)",550,R
4,5.,"Chris Iannetta (14, 37)",548,R
5,6.,"Buster Posey (11, 33)",509,R
6,7.,"Salvador Perez (9, 30)",505,R
7,8.,"Wilson Ramos (11, 32)",454,R
8,9.,"Matt Wieters (12, 34)",428,R
9,10.,"Alex Avila (12, 33)",398,R
10,11.,"Welington Castillo (10, 33)",397,R
11,12.,"Yan Gomes (9, 32)",393,R
12,13.,"Jason Castro (10, 33)",382,R
13,14.,"Tyler Flowers (12, 34)",374,R
14,15.,"Martin Maldonado (10, 33)",353,R
15,16.,"Yasmani Grandal (9, 31)",350,R
16,17.,"J.T. Realmuto (7, 29)",337,R
17,18.,"Tucker Barnhart (7, 29)",333,R
18,19.,"Mike Zunino (8, 29)",316,R
19,20.,"Rene Rivera (12, 36)",262,R
20,21.,"Willson Contreras (5, 28)",252,R
21,22.,"James McCann (7, 30)",229,R
22,23.,"Roberto Perez (7, 31)",227,R
23,24.,"Christian Vazquez (6, 29)",221,R
24,25.,"Robinson Chirinos (9, 36)",219,R
25,26.,"Wilin Rosario (5, 31)",212,R
26,27.,"Tony Wolters (5, 28)",203,R
27,28.,"Sandy Leon (9, 31)",200,R
28,29.,"Josh Phegley (8, 32)",197,R
29,30.,"Caleb Joseph (7, 34)",185,R
30,31.,"Travis d'Arnaud (8, 31)",184,R
31,32.,"Drew Butera (11, 36)",182,R
32,33.,"Austin Romine (9, 31)",175,R
33,33.,"Gary Sanchez (6, 27)",175,R
34,35.,"Carlos Santana (11, 34)",173,R
35,36.,"Austin Hedges (6, 27)",168,R
36,37.,"Stephen Vogt (8, 35)",155,R
37,38.,"Elias Diaz (6, 29)",138,R
38,39.,"Jorge Alfaro (5, 27)",135,R
39,39.,"Manny Pina (7, 33)",135,R
