,Rank,"Player (yrs, age)",Putouts as 1B,Throws
0,1.,"Albert Pujols (20, 40)",16498,R
1,2.,"Joey Votto (14, 36)",13081,R
2,3.,"Freddie Freeman (11, 30)",11165,R
3,4.,"Paul Goldschmidt (10, 32)",10985,R
4,5.,"Eric Hosmer (10, 30)",10837,L
5,6.,"Anthony Rizzo (10, 30)",9983,L
6,7.,"Chris Davis (13, 34)",9204,R
7,8.,"Miguel Cabrera (18, 37)",9097,R
8,9.,"Justin Smoak (11, 33)",8972,L
9,10.,"Brandon Belt (10, 32)",7875,L
10,11.,"Mitch Moreland (11, 34)",7403,L
11,12.,"Carlos Santana (11, 34)",6969,R
12,13.,"Yonder Alonso (10, 33)",6767,R
13,14.,"José Abreu (7, 33)",6645,R
14,15.,"Logan Morrison (11, 32)",4515,L
15,16.,"Matt Adams (9, 31)",4267,R
16,17.,"Edwin Encarnacion (16, 37)",3919,R
17,18.,"Chris Carter (8, 33)",3710,R
18,19.,"C.J. Cron (7, 30)",3615,R
19,20.,"Josh Bell (5, 27)",3513,R
20,21.,"Ryan Zimmerman (15, 35)",3451,R
21,22.,"Matt Olson (5, 26)",3195,R
22,23.,"Yuli Gurriel (5, 36)",2936,R
23,24.,"Daniel Murphy (12, 35)",2795,R
24,25.,"Wil Myers (8, 29)",2761,R
25,26.,"Jesus Aguilar (7, 30)",2211,R
26,27.,"Matt Carpenter (10, 34)",2125,R
27,28.,"Eric Thames (6, 33)",1801,R
28,29.,"Rhys Hoskins (4, 27)",1798,R
29,30.,"Cody Bellinger (4, 24)",1725,L
30,31.,"Jorge Cantu (8, 38)",1689,R
31,32.,"Ronald Guzman (3, 25)",1622,L
32,33.,"Buster Posey (11, 33)",1560,R
33,34.,"Christian Walker (6, 29)",1411,R
34,35.,"Pete Alonso (2, 25)",1342,R
35,36.,"Ryon Healy (5, 28)",1318,R
36,37.,"Marwin Gonzalez (9, 31)",1317,R
37,38.,"Ian Desmond (11, 34)",1311,R
38,39.,"Luke Voit (4, 29)",1271,R
39,40.,"Max Muncy (5, 29)",1183,R
