,Rank,"Player (yrs, age)",Double Plays Turned as 1B,Throws
0,1.,"Albert Pujols (20, 40)",1648,R
1,2.,"Joey Votto (14, 36)",1267,R
2,3.,"Freddie Freeman (11, 30)",1052,R
3,4.,"Paul Goldschmidt (10, 32)",1018,R
4,4.,"Eric Hosmer (10, 30)",1018,L
5,6.,"Chris Davis (13, 34)",1002,R
6,7.,"Miguel Cabrera (18, 37)",940,R
7,8.,"Anthony Rizzo (10, 30)",921,L
8,9.,"Justin Smoak (11, 33)",896,L
9,10.,"Mitch Moreland (11, 34)",773,L
10,11.,"Brandon Belt (10, 32)",743,L
11,12.,"José Abreu (7, 33)",714,R
12,13.,"Carlos Santana (11, 34)",686,R
13,14.,"Yonder Alonso (10, 33)",593,R
14,15.,"Logan Morrison (11, 32)",425,L
15,16.,"Matt Adams (9, 31)",404,R
16,17.,"Edwin Encarnacion (16, 37)",355,R
17,18.,"C.J. Cron (7, 30)",339,R
18,19.,"Josh Bell (5, 27)",332,R
19,20.,"Chris Carter (8, 33)",330,R
20,21.,"Ryan Zimmerman (15, 35)",318,R
21,22.,"Wil Myers (8, 29)",308,R
22,23.,"Daniel Murphy (12, 35)",285,R
23,24.,"Yuli Gurriel (5, 36)",284,R
24,25.,"Matt Olson (5, 26)",283,R
25,26.,"Jesus Aguilar (7, 30)",249,R
26,27.,"Matt Carpenter (10, 34)",239,R
27,28.,"Ronald Guzman (3, 25)",177,L
28,28.,"Eric Thames (6, 33)",177,R
29,30.,"Rhys Hoskins (4, 27)",171,R
30,31.,"Cody Bellinger (4, 24)",152,L
31,31.,"Jorge Cantu (8, 38)",152,R
32,33.,"Christian Walker (6, 29)",146,R
33,34.,"Ryon Healy (5, 28)",145,R
34,35.,"Buster Posey (11, 33)",136,R
35,36.,"Pete Alonso (2, 25)",129,R
36,37.,"Ian Desmond (11, 34)",125,R
37,38.,"Ryan O'Hearn (3, 26)",120,L
38,39.,"Marwin Gonzalez (9, 31)",116,R
39,40.,"Luke Voit (4, 29)",115,R
