,Rank,"Player (yrs, age)",Def. Games as 3B,Throws
0,1.,"Evan Longoria (13, 34)",1639,R
1,2.,"Kyle Seager (10, 32)",1278,R
2,3.,"Ryan Zimmerman (15, 35)",1133,R
3,4.,"Nolan Arenado (8, 29)",1069,R
4,5.,"Todd Frazier (10, 34)",1066,R
5,6.,"Pablo Sandoval (13, 33)",1049,R
6,7.,"Mike Moustakas (10, 31)",1044,R
7,8.,"Josh Donaldson (10, 34)",979,R
8,9.,"Manny Machado (9, 27)",906,R
9,10.,"Anthony Rendon (8, 30)",811,R
10,11.,"Justin Turner (12, 35)",754,R
11,12.,"Miguel Cabrera (18, 37)",697,R
12,13.,"Edwin Encarnacion (16, 37)",674,R
13,14.,"Matt Carpenter (10, 34)",665,R
14,14.,"Eugenio Suarez (7, 28)",665,R
15,16.,"Maikel Franco (7, 27)",657,R
16,17.,"Kris Bryant (6, 28)",623,R
17,18.,"Jose Ramirez (8, 27)",540,R
18,19.,"Nicholas Castellanos (8, 28)",527,R
19,20.,"Jake Lamb (7, 29)",517,R
20,21.,"Eduardo Escobar (10, 31)",502,R
21,22.,"Travis Shaw (6, 30)",471,R
22,23.,"Alex Bregman (5, 26)",449,R
23,24.,"Matt Chapman (4, 27)",421,R
24,25.,"Rafael Devers (4, 23)",381,R
25,26.,"Matt Duffy (5, 29)",377,R
26,27.,"Jorge Cantu (8, 38)",347,R
27,28.,"Alex Gordon (14, 36)",329,R
28,29.,"Gio Urshela (5, 28)",316,R
29,30.,"Eduardo Nunez (11, 33)",301,R
30,31.,"Jedd Gyorko (8, 31)",289,R
31,32.,"Miguel Sano (6, 27)",280,R
32,33.,"Josh Harrison (10, 32)",276,R
33,34.,"Daniel Descalso (10, 33)",264,R
34,35.,"Jeimer Candelario (5, 26)",258,R
35,36.,"Colin Moran (5, 27)",252,R
36,37.,"Cheslor Cuthbert (6, 27)",241,R
37,38.,"Gordon Beckham (11, 33)",221,R
38,39.,"Brian Anderson (4, 27)",219,R
39,40.,"Rio Ruiz (5, 26)",211,R
