,Rank,"Player (yrs, age)",Assists as 3B,Throws
0,1.,"Evan Longoria (13, 34)",2969,R
1,2.,"Kyle Seager (10, 32)",2639,R
2,3.,"Nolan Arenado (8, 29)",2429,R
3,4.,"Ryan Zimmerman (15, 35)",2181,R
4,5.,"Todd Frazier (10, 34)",1884,R
5,6.,"Mike Moustakas (10, 31)",1871,R
6,7.,"Josh Donaldson (10, 34)",1856,R
7,8.,"Manny Machado (9, 27)",1827,R
8,9.,"Pablo Sandoval (13, 33)",1763,R
9,10.,"Anthony Rendon (8, 30)",1324,R
10,11.,"Justin Turner (12, 35)",1267,R
11,12.,"Edwin Encarnacion (16, 37)",1130,R
12,13.,"Eugenio Suarez (7, 28)",1110,R
13,14.,"Matt Carpenter (10, 34)",1103,R
14,15.,"Miguel Cabrera (18, 37)",1101,R
15,16.,"Kris Bryant (6, 28)",1084,R
16,17.,"Maikel Franco (7, 27)",1065,R
17,18.,"Jake Lamb (7, 29)",915,R
18,19.,"Matt Chapman (4, 27)",902,R
19,20.,"Nicholas Castellanos (8, 28)",847,R
20,21.,"Jose Ramirez (8, 27)",838,R
21,22.,"Travis Shaw (6, 30)",814,R
22,23.,"Alex Bregman (5, 26)",802,R
23,24.,"Eduardo Escobar (10, 31)",787,R
24,25.,"Rafael Devers (4, 23)",728,R
25,26.,"Matt Duffy (5, 29)",720,R
26,27.,"Alex Gordon (14, 36)",581,R
27,28.,"Gio Urshela (5, 28)",521,R
28,29.,"Jorge Cantu (8, 38)",516,R
29,30.,"Miguel Sano (6, 27)",508,R
30,31.,"Josh Harrison (10, 32)",486,R
31,32.,"Jeimer Candelario (5, 26)",458,R
32,33.,"Jedd Gyorko (8, 31)",456,R
33,34.,"Eduardo Nunez (11, 33)",443,R
34,35.,"Cheslor Cuthbert (6, 27)",391,R
35,36.,"Yoan Moncada (5, 25)",369,R
36,37.,"Brian Anderson (4, 27)",363,R
37,38.,"Rio Ruiz (5, 26)",361,R
38,39.,"Colin Moran (5, 27)",359,R
39,40.,"Yolmer Sanchez (7, 28)",354,R
