,Rank,"Player (yrs, age)",Errors Committed as 3B,Throws
0,1.,"Evan Longoria (13, 34)",147,R
1,2.,"Ryan Zimmerman (15, 35)",137,R
2,3.,"Kyle Seager (10, 32)",121,R
3,4.,"Josh Donaldson (10, 34)",114,R
4,4.,"Edwin Encarnacion (16, 37)",114,R
5,6.,"Mike Moustakas (10, 31)",110,R
6,7.,"Pablo Sandoval (13, 33)",106,R
7,8.,"Todd Frazier (10, 34)",96,R
8,9.,"Nolan Arenado (8, 29)",91,R
9,10.,"Manny Machado (9, 27)",81,R
10,11.,"Kris Bryant (6, 28)",74,R
11,11.,"Miguel Cabrera (18, 37)",74,R
12,11.,"Rafael Devers (4, 23)",74,R
13,14.,"Eugenio Suarez (7, 28)",73,R
14,15.,"Maikel Franco (7, 27)",68,R
15,16.,"Matt Carpenter (10, 34)",65,R
16,17.,"Jorge Cantu (8, 38)",59,R
17,18.,"Justin Turner (12, 35)",58,R
18,19.,"Anthony Rendon (8, 30)",56,R
19,20.,"Nicholas Castellanos (8, 28)",54,R
20,21.,"Matt Chapman (4, 27)",47,R
21,21.,"Jake Lamb (7, 29)",47,R
22,21.,"Miguel Sano (6, 27)",47,R
23,24.,"Alex Gordon (14, 36)",44,R
24,24.,"Jose Ramirez (8, 27)",44,R
25,26.,"Alex Bregman (5, 26)",41,R
26,27.,"Travis Shaw (6, 30)",40,R
27,28.,"Matt Duffy (5, 29)",37,R
28,29.,"Eduardo Escobar (10, 31)",34,R
29,29.,"Eduardo Nunez (11, 33)",34,R
30,31.,"Adonis Garcia (3, 35)",33,R
31,32.,"Cheslor Cuthbert (6, 27)",31,R
32,33.,"Ryon Healy (5, 28)",29,R
33,34.,"Ryan Braun (14, 36)",26,R
34,34.,"Jedd Gyorko (8, 31)",26,R
35,34.,"Colin Moran (5, 27)",26,R
36,37.,"Josh Harrison (10, 32)",25,R
37,38.,"Brian Anderson (4, 27)",24,R
38,38.,"Gio Urshela (5, 28)",24,R
39,40.,"Jeimer Candelario (5, 26)",22,R
