,Rank,"Player (yrs, age)",Def. Games as SS,Throws
0,1.,"Elvis Andrus (12, 31)",1628,R
1,2.,"Erick Aybar (12, 36)",1337,R
2,3.,"Brandon Crawford (10, 33)",1274,R
3,4.,"Asdrubal Cabrera (14, 34)",1078,R
4,5.,"Andrelton Simmons (9, 30)",1057,R
5,6.,"Ian Desmond (11, 34)",917,R
6,7.,"Jean Segura (9, 30)",909,R
7,8.,"Xander Bogaerts (8, 27)",908,R
8,9.,"Didi Gregorius (9, 30)",887,R
9,10.,"Starlin Castro (11, 30)",850,R
10,11.,"Jordy Mercer (9, 33)",837,R
11,12.,"Adeiny Hechavarria (9, 31)",813,R
12,13.,"Freddy Galvis (9, 30)",801,R
13,14.,"José Iglesias (9, 30)",778,R
14,15.,"Marcus Semien (8, 29)",775,R
15,16.,"Francisco Lindor (6, 26)",763,R
16,17.,"Zack Cozart (9, 34)",741,R
17,18.,"Nick Ahmed (7, 30)",646,R
18,19.,"Carlos Correa (6, 25)",601,R
19,20.,"Trevor Story (5, 27)",595,R
20,21.,"Tim Anderson (5, 27)",565,R
21,22.,"Orlando Arcia (5, 25)",528,R
22,23.,"Corey Seager (6, 26)",514,R
23,24.,"Jed Lowrie (12, 36)",508,R
24,25.,"Dansby Swanson (5, 26)",501,R
25,26.,"Jorge Polanco (7, 26)",456,R
26,27.,"Miguel Rojas (7, 31)",455,R
27,28.,"Trea Turner (6, 27)",443,R
28,29.,"Jonathan Villar (8, 29)",406,R
29,30.,"Paul DeJong (4, 26)",402,R
30,31.,"Amed Rosario (4, 24)",387,R
31,32.,"Javier Baez (7, 27)",386,R
32,33.,"Brad Miller (8, 30)",378,R
33,34.,"Eduardo Escobar (10, 31)",328,R
34,35.,"Marwin Gonzalez (9, 31)",292,R
35,36.,"Jose Peraza (6, 26)",284,R
36,37.,"Willy Adames (3, 24)",280,R
37,38.,"Eduardo Nunez (11, 33)",276,R
38,39.,"Ketel Marte (6, 26)",275,R
39,40.,"Aledmys Díaz (5, 29)",274,R
