,Rank,"Player (yrs, age)",Putouts as SS,Throws
0,1.,"Elvis Andrus (12, 31)",2529,R
1,2.,"Erick Aybar (12, 36)",1975,R
2,3.,"Brandon Crawford (10, 33)",1711,R
3,4.,"Andrelton Simmons (9, 30)",1582,R
4,5.,"Asdrubal Cabrera (14, 34)",1465,R
5,6.,"Ian Desmond (11, 34)",1319,R
6,7.,"Starlin Castro (11, 30)",1253,R
7,8.,"Xander Bogaerts (8, 27)",1161,R
8,9.,"Jean Segura (9, 30)",1097,R
9,10.,"Zack Cozart (9, 34)",1094,R
10,11.,"Didi Gregorius (9, 30)",1091,R
11,12.,"Freddy Galvis (9, 30)",1077,R
12,13.,"Marcus Semien (8, 29)",1024,R
13,14.,"Adeiny Hechavarria (9, 31)",1011,R
14,15.,"Jordy Mercer (9, 33)",999,R
15,16.,"Francisco Lindor (6, 26)",984,R
16,17.,"José Iglesias (9, 30)",957,R
17,18.,"Nick Ahmed (7, 30)",803,R
18,19.,"Trevor Story (5, 27)",797,R
19,20.,"Tim Anderson (5, 27)",774,R
20,21.,"Orlando Arcia (5, 25)",771,R
21,22.,"Carlos Correa (6, 25)",711,R
22,23.,"Dansby Swanson (5, 26)",615,R
23,24.,"Corey Seager (6, 26)",613,R
24,25.,"Miguel Rojas (7, 31)",588,R
25,26.,"Jed Lowrie (12, 36)",561,R
26,27.,"Trea Turner (6, 27)",551,R
27,28.,"Paul DeJong (4, 26)",527,R
28,29.,"Javier Baez (7, 27)",501,R
29,30.,"Jonathan Villar (8, 29)",492,R
30,31.,"Jorge Polanco (7, 26)",490,R
31,32.,"Brad Miller (8, 30)",480,R
32,33.,"Amed Rosario (4, 24)",413,R
33,34.,"Eduardo Escobar (10, 31)",391,R
34,35.,"Adalberto Mondesi (6, 24)",342,R
35,36.,"Aledmys Díaz (5, 29)",329,R
36,37.,"Marwin Gonzalez (9, 31)",315,R
37,38.,"Manny Machado (9, 27)",314,R
38,39.,"Ketel Marte (6, 26)",304,R
39,40.,"Eduardo Nunez (11, 33)",289,R
