,Rank,"Player (yrs, age)",Assists as SS,Throws
0,1.,"Elvis Andrus (12, 31)",4487,R
1,2.,"Brandon Crawford (10, 33)",3516,R
2,3.,"Erick Aybar (12, 36)",3393,R
3,4.,"Andrelton Simmons (9, 30)",3004,R
4,5.,"Asdrubal Cabrera (14, 34)",2798,R
5,6.,"Jean Segura (9, 30)",2518,R
6,7.,"Ian Desmond (11, 34)",2451,R
7,8.,"Starlin Castro (11, 30)",2379,R
8,9.,"Didi Gregorius (9, 30)",2270,R
9,10.,"Jordy Mercer (9, 33)",2239,R
10,11.,"Xander Bogaerts (8, 27)",2209,R
11,12.,"Marcus Semien (8, 29)",2182,R
12,13.,"Adeiny Hechavarria (9, 31)",2085,R
13,14.,"Freddy Galvis (9, 30)",2084,R
14,15.,"José Iglesias (9, 30)",1967,R
15,16.,"Zack Cozart (9, 34)",1929,R
16,17.,"Francisco Lindor (6, 26)",1908,R
17,18.,"Nick Ahmed (7, 30)",1786,R
18,19.,"Trevor Story (5, 27)",1694,R
19,20.,"Carlos Correa (6, 25)",1559,R
20,21.,"Tim Anderson (5, 27)",1432,R
21,22.,"Orlando Arcia (5, 25)",1288,R
22,23.,"Dansby Swanson (5, 26)",1285,R
23,24.,"Jed Lowrie (12, 36)",1267,R
24,25.,"Corey Seager (6, 26)",1231,R
25,26.,"Jorge Polanco (7, 26)",1113,R
26,27.,"Trea Turner (6, 27)",1060,R
27,28.,"Paul DeJong (4, 26)",1057,R
28,29.,"Miguel Rojas (7, 31)",1039,R
29,30.,"Jonathan Villar (8, 29)",1038,R
30,31.,"Javier Baez (7, 27)",1009,R
31,32.,"Brad Miller (8, 30)",913,R
32,33.,"Amed Rosario (4, 24)",881,R
33,34.,"Eduardo Escobar (10, 31)",787,R
34,35.,"Ketel Marte (6, 26)",732,R
35,36.,"Marwin Gonzalez (9, 31)",712,R
36,37.,"Willy Adames (3, 24)",680,R
37,38.,"Jose Peraza (6, 26)",653,R
38,39.,"Aledmys Díaz (5, 29)",650,R
39,40.,"Adalberto Mondesi (6, 24)",613,R
