,Rank,"Player (yrs, age)",Def. Games as LF (s.1901),Throws
0,1.,"Alex Gordon (14, 36)",1361,R
1,2.,"Ryan Braun (14, 36)",1242,R
2,3.,"Brett Gardner (13, 36)",1009,L
3,4.,"Justin Upton (14, 32)",936,R
4,5.,"Michael Brantley (12, 33)",811,L
5,6.,"Yoenis Céspedes (8, 34)",598,R
6,7.,"Corey Dickerson (8, 31)",593,R
7,7.,"Starling Marte (9, 31)",593,R
8,9.,"Eddie Rosario (6, 28)",581,R
9,10.,"Christian Yelich (8, 28)",567,R
10,11.,"Khris Davis (8, 32)",500,R
11,12.,"David Peralta (7, 32)",486,L
12,13.,"Adam Duvall (7, 31)",480,R
13,14.,"Carlos Gonzalez (12, 34)",476,L
14,15.,"Marcell Ozuna (8, 29)",469,R
15,16.,"Kyle Schwarber (6, 27)",461,R
16,17.,"Matthew Joyce (13, 35)",442,R
17,18.,"Andrew Benintendi (5, 25)",425,L
18,19.,"Robbie Grossman (8, 30)",414,L
19,20.,"J.D. Martinez (10, 32)",334,R
20,21.,"Tommy Pham (7, 32)",314,R
21,22.,"Matt Kemp (15, 35)",305,R
22,23.,"Juan Soto (3, 21)",300,L
23,24.,"Albert Pujols (20, 40)",269,R
24,25.,"Michael Conforto (6, 27)",259,R
25,26.,"Miguel Cabrera (18, 37)",248,R
26,27.,"Logan Morrison (11, 32)",245,L
27,28.,"Joc Pederson (7, 28)",229,L
28,29.,"Shin-Soo Choo (16, 37)",207,L
29,30.,"Ben Gamel (5, 28)",206,L
30,31.,"Jon Jay (11, 35)",202,L
31,32.,"Felix Pie (6, 35)",197,L
32,33.,"Bryce Harper (9, 27)",194,R
33,34.,"Trey Mancini (4, 28)",192,R
34,35.,"Marwin Gonzalez (9, 31)",175,R
35,36.,"Teoscar Hernandez (5, 27)",173,R
36,37.,"Derek Dietrich (8, 30)",172,R
37,38.,"Eloy Jimenez (2, 23)",168,R
38,39.,"Cameron Maybin (14, 33)",167,R
39,40.,"Rhys Hoskins (4, 27)",165,R
