,Rank,"Player (yrs, age)",Double Plays Turned as RF (s.1901),Throws
0,1.,"Jason Heyward (11, 30)",19,L
1,2.,"Jay Bruce (13, 33)",17,L
2,2.,"Nick Markakis (15, 36)",17,L
3,4.,"Gregory Polanco (7, 28)",16,L
4,5.,"Kole Calhoun (9, 32)",14,L
5,6.,"Josh Reddick (12, 33)",13,R
6,7.,"Shin-Soo Choo (16, 37)",11,L
7,7.,"Nelson Cruz (16, 39)",11,R
8,9.,"Max Kepler (6, 27)",10,L
9,10.,"George Springer (7, 30)",9,R
10,10.,"Giancarlo Stanton (11, 30)",9,R
11,12.,"Avisail Garcia (9, 29)",8,R
12,12.,"Bryce Harper (9, 27)",8,R
13,12.,"J.D. Martinez (10, 32)",8,R
14,15.,"Matthew Joyce (13, 35)",7,R
15,15.,"Matt Kemp (15, 35)",7,R
16,15.,"Justin Upton (14, 32)",7,R
17,18.,"Mookie Betts (7, 27)",5,R
18,18.,"Charlie Blackmon (10, 33)",5,L
19,18.,"Carlos Gonzalez (12, 34)",5,L
20,18.,"Aaron Judge (5, 28)",5,R
21,18.,"Steven Souza Jr. (6, 31)",5,R
22,23.,"Adam Eaton (9, 31)",4,L
23,23.,"Joey Rickard (5, 29)",4,L
24,25.,"Ryan Braun (14, 36)",3,R
25,25.,"Randal Grichuk (7, 28)",3,R
26,25.,"Jon Jay (11, 35)",3,L
27,25.,"David Peralta (7, 32)",3,L
28,25.,"Hunter Renfroe (5, 28)",3,R
29,25.,"Christian Yelich (8, 28)",3,R
30,31.,"Brian Anderson (4, 27)",2,R
31,31.,"Collin Cowgill (6, 34)",2,L
32,31.,"Dexter Fowler (13, 34)",2,R
33,31.,"Joey Gallo (6, 26)",2,R
34,31.,"Ben Gamel (5, 28)",2,L
35,31.,"Mitch Haniger (4, 29)",2,R
36,31.,"Teoscar Hernandez (5, 27)",2,R
37,31.,"Tyler Naquin (5, 29)",2,R
38,31.,"Marcell Ozuna (8, 29)",2,R
39,31.,"Mallex Smith (5, 27)",2,R
