,Rank,"Player (yrs, age)",Def. Games as OF,Throws
0,1.,"Nick Markakis (15, 36)",2107,L
1,2.,"Justin Upton (14, 32)",1694,R
2,3.,"Matt Kemp (15, 35)",1622,R
3,4.,"Andrew McCutchen (12, 33)",1575,R
4,5.,"Ryan Braun (14, 36)",1528,R
5,6.,"Jay Bruce (13, 33)",1510,L
6,7.,"Brett Gardner (13, 36)",1497,L
7,8.,"Jason Heyward (11, 30)",1401,L
8,9.,"Alex Gordon (14, 36)",1382,R
9,10.,"Dexter Fowler (13, 34)",1354,R
10,11.,"Shin-Soo Choo (16, 37)",1307,L
11,12.,"Carlos Gonzalez (12, 34)",1305,L
12,13.,"Josh Reddick (12, 33)",1186,R
13,14.,"Mike Trout (10, 28)",1182,R
14,15.,"Michael Brantley (12, 33)",1145,L
15,16.,"Bryce Harper (9, 27)",1111,R
16,17.,"Cameron Maybin (14, 33)",1087,R
17,18.,"Jon Jay (11, 35)",1062,L
18,19.,"Charlie Blackmon (10, 33)",1057,L
19,20.,"Giancarlo Stanton (11, 30)",1027,R
20,21.,"Lorenzo Cain (11, 34)",1026,R
21,22.,"Matthew Joyce (13, 35)",1005,R
22,23.,"Kole Calhoun (9, 32)",992,L
23,24.,"Starling Marte (9, 31)",986,R
24,25.,"Nelson Cruz (16, 39)",970,R
25,26.,"Christian Yelich (8, 28)",954,R
26,27.,"Marcell Ozuna (8, 29)",934,R
27,28.,"Kevin Pillar (8, 31)",886,R
28,29.,"Jackie Bradley Jr. (8, 30)",863,R
29,30.,"Mookie Betts (7, 27)",817,R
30,31.,"J.D. Martinez (10, 32)",813,R
31,32.,"Billy Hamilton (8, 29)",802,R
32,33.,"Jarrod Dyson (11, 35)",792,R
33,34.,"Adam Eaton (9, 31)",788,L
34,35.,"Ender Inciarte (7, 29)",785,L
35,36.,"George Springer (7, 30)",742,R
36,37.,"Yoenis Céspedes (8, 34)",721,R
37,38.,"Kevin Kiermaier (8, 30)",718,R
38,39.,"AJ Pollock (9, 32)",716,R
39,40.,"Avisail Garcia (9, 29)",691,R
