,Rank,"Player (yrs, age)",Putouts as P,Throws
0,1.,"Zack Greinke (17, 36)",292,R
1,2.,"Mike Leake (10, 32)",213,R
2,3.,"Adam Wainwright (15, 38)",191,R
3,4.,"Bartolo Colon (21, 47)",188,R
4,4.,"Felix Hernandez (15, 34)",188,R
5,6.,"Anibal Sanchez (15, 36)",173,R
6,6.,"Justin Verlander (16, 37)",173,R
7,8.,"Johnny Cueto (13, 34)",158,R
8,9.,"Edwin Jackson (17, 36)",144,R
9,10.,"Rick Porcello (12, 31)",140,R
10,11.,"Jon Lester (15, 36)",138,L
11,12.,"Jake Arrieta (11, 34)",133,R
12,13.,"Sonny Gray (8, 30)",132,R
13,14.,"Max Scherzer (13, 35)",127,R
14,15.,"Homer Bailey (14, 34)",126,R
15,16.,"Cole Hamels (15, 36)",113,L
16,17.,"Kyle Gibson (8, 32)",111,R
17,18.,"Jhoulys Chacin (12, 32)",110,R
18,19.,"Jeff Samardzija (13, 35)",105,R
19,20.,"Corey Kluber (10, 34)",104,R
20,20.,"Jordan Zimmermann (12, 34)",104,R
21,22.,"Stephen Strasburg (11, 31)",96,R
22,23.,"Jacob deGrom (7, 32)",95,R
23,24.,"Ian Kennedy (14, 35)",90,R
24,24.,"Ivan Nova (11, 33)",90,R
25,26.,"Carlos Martinez (8, 28)",87,R
26,27.,"Josh Tomlin (11, 35)",86,R
27,28.,"Julio Teheran (10, 29)",85,R
28,29.,"Kyle Hendricks (7, 30)",84,R
29,30.,"Dallas Keuchel (9, 32)",82,L
30,30.,"Michael Wacha (8, 28)",82,R
31,32.,"Gerrit Cole (8, 29)",80,R
32,32.,"Edinson Volquez (15, 36)",80,R
33,34.,"Trevor Cahill (12, 32)",79,R
34,34.,"Mike Fiers (10, 35)",79,R
35,34.,"Gio Gonzalez (13, 34)",79,L
36,37.,"David Price (12, 34)",78,L
37,37.,"Tyson Ross (10, 33)",78,R
38,39.,"Joe Musgrove (5, 27)",77,R
39,40.,"Wade Davis (12, 34)",76,R
