,Rank,"Player (yrs, age)",Errors Committed as P,Throws
0,1.,"Bartolo Colon (21, 47)",48,R
1,2.,"Justin Verlander (16, 37)",33,R
2,3.,"Edwin Jackson (17, 36)",31,R
3,4.,"Anibal Sanchez (15, 36)",30,R
4,5.,"Jake Arrieta (11, 34)",27,R
5,6.,"Rick Porcello (12, 31)",26,R
6,7.,"Derek Holland (12, 33)",25,L
7,8.,"Johnny Cueto (13, 34)",23,R
8,9.,"Cole Hamels (15, 36)",21,L
9,10.,"Jon Lester (15, 36)",20,L
10,11.,"Felix Hernandez (15, 34)",19,R
11,11.,"Mike Leake (10, 32)",19,R
12,13.,"Joe Kelly (9, 32)",17,R
13,14.,"Steve Cishek (11, 34)",16,R
14,14.,"Max Scherzer (13, 35)",16,R
15,16.,"Madison Bumgarner (12, 30)",15,L
16,16.,"Mike Fiers (10, 35)",15,R
17,16.,"Carlos Martinez (8, 28)",15,R
18,19.,"Chris Archer (8, 31)",14,R
19,19.,"Jhoulys Chacin (12, 32)",14,R
20,19.,"Charlie Morton (13, 36)",14,R
21,19.,"Tyson Ross (10, 33)",14,R
22,19.,"Jordan Zimmermann (12, 34)",14,R
23,24.,"Trevor Cahill (12, 32)",13,R
24,24.,"Alex Cobb (9, 32)",13,R
25,24.,"Rich Hill (16, 40)",13,L
26,24.,"Ivan Nova (11, 33)",13,R
27,24.,"Jeff Samardzija (13, 35)",13,R
28,29.,"Danny Duffy (10, 31)",12,L
29,29.,"Sonny Gray (8, 30)",12,R
30,29.,"Jordan Lyles (10, 29)",12,R
31,29.,"David Price (12, 34)",12,L
32,29.,"Garrett Richards (10, 32)",12,R
33,29.,"Matt Shoemaker (8, 33)",12,R
34,29.,"Noah Syndergaard (5, 27)",12,R
35,36.,"Homer Bailey (14, 34)",11,R
36,36.,"Shane Greene (7, 31)",11,R
37,36.,"Oliver Perez (18, 38)",11,L
38,36.,"Stephen Strasburg (11, 31)",11,R
39,36.,"Alex Wood (8, 29)",11,L
