,Rank,"Player (yrs, age)",Total Zone Runs as C (s.1953),Throws
0,1.,"Yadier Molina (17, 37)",149,R
1,2.,"Buster Posey (11, 33)",66,R
2,3.,"Salvador Perez (9, 30)",59,R
3,4.,"Matt Wieters (12, 34)",50,R
4,5.,"Roberto Perez (7, 31)",35,R
5,6.,"Yan Gomes (9, 32)",34,R
6,6.,"J.T. Realmuto (7, 29)",34,R
7,8.,"Martin Maldonado (10, 33)",30,R
8,9.,"James McCann (7, 30)",29,R
9,10.,"Tucker Barnhart (7, 29)",27,R
10,11.,"Manny Pina (7, 33)",23,R
11,12.,"Robinson Chirinos (9, 36)",21,R
12,13.,"Sandy Leon (9, 31)",14,R
13,14.,"Willson Contreras (5, 28)",13,R
14,15.,"Alex Avila (12, 33)",12,R
15,15.,"Jeff Mathis (16, 37)",12,R
16,17.,"Austin Hedges (6, 27)",11,R
17,17.,"Caleb Joseph (7, 34)",11,R
18,17.,"Wilson Ramos (11, 32)",11,R
19,17.,"Christian Vazquez (6, 29)",11,R
20,21.,"Bryan Holaday (9, 32)",7,R
21,22.,"Yasmani Grandal (9, 31)",6,R
22,22.,"Carson Kelly (5, 25)",6,R
23,22.,"Luke Maile (5, 29)",6,R
24,22.,"Jacob Stallings (5, 30)",6,R
25,26.,"Welington Castillo (10, 33)",5,R
26,26.,"Rene Rivera (12, 36)",5,R
27,28.,"Austin Barnes (6, 30)",4,R
28,28.,"Anthony Bemboom (2, 30)",4,R
29,30.,"Victor Caratini (4, 26)",3,R
30,30.,"Dustin Garneau (6, 32)",3,R
31,30.,"Michael Perez (3, 27)",3,R
32,33.,"Drew Butera (11, 36)",2,R
33,33.,"Jonah Heim (1, 25)",2,R
34,33.,"Andrew Knizner (2, 25)",2,R
35,33.,"Jose Trevino (3, 27)",2,R
36,33.,"Chad Wallach (4, 28)",2,R
37,33.,"Tony Wolters (5, 28)",2,R
38,39.,"Kevin Plawecki (6, 29)",1,R
39,39.,"Chadwick Tromp (1, 25)",1,R
