,Rank,"Player (yrs, age)",Range Factor/Game as 2B,Throws
0,1.,"DJ LeMahieu (10, 31)",4.602,R
1,2.,"Gordon Beckham (11, 33)",4.581,R
2,3.,"Robinson Cano (16, 37)",4.575,R
3,4.,"Neil Walker (12, 34)",4.468,R
4,5.,"Rougned Odor (7, 26)",4.462,R
5,6.,"Dustin Pedroia (14, 36)",4.409,R
6,7.,"Jonathan Schoop (8, 28)",4.400,R
7,8.,"Brian Dozier (9, 33)",4.399,R
8,9.,"Kolten Wong (8, 29)",4.372,R
9,10.,"Dee Strange-Gordon (10, 32)",4.368,R
10,11.,"Joe Panik (7, 29)",4.275,R
11,12.,"Cesar Hernandez (8, 30)",4.081,R
12,13.,"Daniel Murphy (12, 35)",4.071,R
13,14.,"Jason Kipnis (10, 33)",4.057,R
14,15.,"Jose Altuve (10, 30)",4.037,R
15,16.,"Starlin Castro (11, 30)",3.862,R
16,17.,"Logan Forsythe (10, 33)",3.747,R
