,Rank,"Player (yrs, age)",Fielding % as 3B,Throws
0,1.,"Nolan Arenado (8, 29)",.9720,R
1,2.,"Anthony Rendon (8, 30)",.9713,R
2,3.,"Manny Machado (9, 27)",.9688,R
3,4.,"Eduardo Escobar (10, 31)",.9682,R
4,5.,"Kyle Seager (10, 32)",.9664,R
5,6.,"Justin Turner (12, 35)",.9660,R
6,7.,"Evan Longoria (13, 34)",.9659,R
7,8.,"Jose Ramirez (8, 27)",.9647,R
8,9.,"Todd Frazier (10, 34)",.9640,R
9,10.,"Jake Lamb (7, 29)",.9626,R
10,11.,"Mike Moustakas (10, 31)",.9599,R
11,12.,"Josh Donaldson (10, 34)",.9585,R
12,13.,"Pablo Sandoval (13, 33)",.9576,R
13,14.,"Matt Carpenter (10, 34)",.9570,R
14,15.,"Ryan Zimmerman (15, 35)",.9568,R
15,16.,"Maikel Franco (7, 27)",.9565,R
16,17.,"Miguel Cabrera (18, 37)",.9556,R
17,18.,"Nicholas Castellanos (8, 28)",.9554,R
18,18.,"Eugenio Suarez (7, 28)",.9554,R
19,20.,"Kris Bryant (6, 28)",.9502,R
20,21.,"Edwin Encarnacion (16, 37)",.9343,R
