,Rank,"Player (yrs, age)",Fielding % as SS,Throws
0,1.,"José Iglesias (9, 30)",.9845,R
1,2.,"Freddy Galvis (9, 30)",.9841,R
2,3.,"Andrelton Simmons (9, 30)",.9812,R
3,4.,"Francisco Lindor (6, 26)",.9807,R
4,5.,"Carlos Correa (6, 25)",.9806,R
5,6.,"Jordy Mercer (9, 33)",.9797,R
6,7.,"Trevor Story (5, 27)",.9796,R
7,8.,"Adeiny Hechavarria (9, 31)",.9794,R
8,9.,"Zack Cozart (9, 34)",.9793,R
9,10.,"Didi Gregorius (9, 30)",.9785,R
10,11.,"Nick Ahmed (7, 30)",.9777,R
11,12.,"Xander Bogaerts (8, 27)",.9774,R
12,13.,"Brandon Crawford (10, 33)",.9748,R
13,14.,"Asdrubal Cabrera (14, 34)",.9746,R
14,15.,"Dansby Swanson (5, 26)",.9744,R
15,16.,"Jed Lowrie (12, 36)",.9739,R
16,17.,"Elvis Andrus (12, 31)",.9731,R
17,17.,"Orlando Arcia (5, 25)",.9731,R
18,19.,"Erick Aybar (12, 36)",.9730,R
19,20.,"Jean Segura (9, 30)",.9689,R
20,21.,"Marcus Semien (8, 29)",.9686,R
21,22.,"Corey Seager (6, 26)",.9685,R
22,23.,"Starlin Castro (11, 30)",.9634,R
23,24.,"Ian Desmond (11, 34)",.9625,R
24,25.,"Tim Anderson (5, 27)",.9591,R
