,Rank,"Player (yrs, age)",Total Zone Runs as CF (s.1953),Throws
0,1.,"Billy Hamilton (8, 29)",60,R
1,2.,"Kevin Kiermaier (8, 30)",53,R
2,3.,"Mike Trout (10, 28)",45,R
3,4.,"Odubel Herrera (5, 28)",42,R
4,5.,"Lorenzo Cain (11, 34)",41,R
5,5.,"Juan Lagares (8, 31)",41,R
6,7.,"Byron Buxton (6, 26)",40,R
7,8.,"Manuel Margot (5, 25)",39,R
8,9.,"George Springer (7, 30)",37,R
9,10.,"Kevin Pillar (8, 31)",30,R
10,11.,"AJ Pollock (9, 32)",28,R
11,12.,"Ender Inciarte (7, 29)",24,L
12,13.,"Jake Marisnick (8, 29)",23,R
13,14.,"Starling Marte (9, 31)",20,R
14,15.,"Shin-Soo Choo (16, 37)",18,L
15,15.,"Jon Jay (11, 35)",18,L
16,17.,"Andrew McCutchen (12, 33)",17,R
17,18.,"Felix Pie (6, 35)",16,L
18,19.,"Cody Bellinger (4, 24)",15,L
19,19.,"Delino DeShields (6, 27)",15,R
20,19.,"Michael A. Taylor (7, 29)",15,R
21,22.,"Mallex Smith (5, 27)",14,R
22,23.,"Ronald Acuna Jr. (3, 22)",13,R
23,23.,"Travis Jankowski (6, 29)",13,R
24,25.,"Carlos Gonzalez (12, 34)",12,L
25,25.,"Jason Heyward (11, 30)",12,L
26,25.,"Oscar Mercado (2, 25)",12,R
27,28.,"Brett Phillips (4, 26)",11,R
28,29.,"Albert Almora (5, 26)",10,R
29,29.,"Keon Broxton (5, 30)",10,R
30,29.,"Adam Engel (4, 28)",10,R
31,29.,"Enrique Hernandez (7, 28)",10,R
32,33.,"Harrison Bader (4, 26)",9,R
33,33.,"Randal Grichuk (7, 28)",9,R
34,33.,"Whit Merrifield (5, 31)",9,R
35,36.,"Brett Eibner (3, 31)",8,R
36,36.,"Michael Hermosillo (3, 25)",8,R
37,38.,"Abraham Almonte (8, 31)",7,R
38,38.,"Steven Duggar (3, 26)",7,R
39,38.,"Austin Hays (3, 24)",7,R
