,Rank,"Player (yrs, age)",Range Factor/Game as CF (s.1901),Throws
0,1.,"Lorenzo Cain (11, 34)",2.585,R
1,2.,"Ender Inciarte (7, 29)",2.531,L
2,3.,"Kevin Kiermaier (8, 30)",2.504,R
3,4.,"Mike Trout (10, 28)",2.488,R
4,5.,"Kevin Pillar (8, 31)",2.408,R
5,6.,"Odubel Herrera (5, 28)",2.406,R
6,7.,"Aaron Hicks (8, 30)",2.360,R
7,8.,"Cameron Maybin (14, 33)",2.359,R
8,9.,"Jackie Bradley Jr. (8, 30)",2.352,R
9,10.,"Billy Hamilton (8, 29)",2.306,R
10,11.,"Andrew McCutchen (12, 33)",2.270,R
11,12.,"Jarrod Dyson (11, 35)",2.249,R
12,13.,"Jon Jay (11, 35)",2.199,L
13,14.,"AJ Pollock (9, 32)",2.163,R
14,15.,"Brett Gardner (13, 36)",2.145,L
15,16.,"Matt Kemp (15, 35)",2.128,R
16,17.,"Charlie Blackmon (10, 33)",2.107,L
17,18.,"Dexter Fowler (13, 34)",2.081,R
18,19.,"Juan Lagares (8, 31)",2.021,R
19,20.,"Jake Marisnick (8, 29)",1.920,R
