,Rank,"Player (yrs, age)",Fielding % as CF (s.1901),Throws
0,1.,"Jon Jay (11, 35)",.9960,L
1,2.,"Billy Hamilton (8, 29)",.9946,R
2,3.,"Mike Trout (10, 28)",.9942,R
3,4.,"AJ Pollock (9, 32)",.9936,R
4,5.,"Aaron Hicks (8, 30)",.9930,R
5,6.,"Brett Gardner (13, 36)",.9925,L
6,6.,"Jake Marisnick (8, 29)",.9925,R
7,8.,"Jackie Bradley Jr. (8, 30)",.9908,R
8,9.,"Ender Inciarte (7, 29)",.9902,L
9,10.,"Kevin Pillar (8, 31)",.9892,R
10,11.,"Charlie Blackmon (10, 33)",.9891,L
11,11.,"Kevin Kiermaier (8, 30)",.9891,R
12,13.,"Cameron Maybin (14, 33)",.9889,R
13,14.,"Andrew McCutchen (12, 33)",.9879,R
14,15.,"Odubel Herrera (5, 28)",.9876,R
15,16.,"Juan Lagares (8, 31)",.9859,R
16,17.,"Matt Kemp (15, 35)",.9854,R
17,18.,"Lorenzo Cain (11, 34)",.9851,R
18,19.,"Dexter Fowler (13, 34)",.9850,R
19,20.,"Jarrod Dyson (11, 35)",.9833,R
