,Rank,"Player (yrs, age)",Range Factor/Game as RF (s.1901),Throws
0,1.,"Mookie Betts (7, 27)",2.228,R
1,2.,"Giancarlo Stanton (11, 30)",2.159,R
2,3.,"Shin-Soo Choo (16, 37)",2.064,L
3,4.,"Nelson Cruz (16, 39)",2.062,R
4,5.,"Jay Bruce (13, 33)",2.033,L
5,6.,"Justin Upton (14, 32)",2.030,R
6,7.,"Kole Calhoun (9, 32)",2.028,L
7,8.,"Nick Markakis (15, 36)",1.998,L
8,9.,"Avisail Garcia (9, 29)",1.941,R
9,10.,"Jason Heyward (11, 30)",1.895,L
10,11.,"Gregory Polanco (7, 28)",1.858,L
11,12.,"Josh Reddick (12, 33)",1.829,R
12,13.,"Stephen Piscotty (6, 29)",1.780,R
13,14.,"George Springer (7, 30)",1.742,R
14,15.,"Bryce Harper (9, 27)",1.716,R
15,16.,"Carlos Gonzalez (12, 34)",1.690,L
16,17.,"Matt Kemp (15, 35)",1.647,R
17,18.,"Matthew Joyce (13, 35)",1.628,R
