,Rank,"Player (yrs, age)",Fielding % as RF (s.1901),Throws
0,1.,"Nick Markakis (15, 36)",.9938,L
1,2.,"Stephen Piscotty (6, 29)",.9908,R
2,3.,"Mookie Betts (7, 27)",.9902,R
3,4.,"Jason Heyward (11, 30)",.9885,L
4,5.,"Carlos Gonzalez (12, 34)",.9865,L
5,6.,"George Springer (7, 30)",.9852,R
6,7.,"Kole Calhoun (9, 32)",.9848,L
7,8.,"Bryce Harper (9, 27)",.9842,R
8,9.,"Jay Bruce (13, 33)",.9838,L
9,10.,"Nelson Cruz (16, 39)",.9827,R
10,11.,"Shin-Soo Choo (16, 37)",.9819,L
11,12.,"Gregory Polanco (7, 28)",.9817,L
12,13.,"Josh Reddick (12, 33)",.9800,R
13,14.,"Avisail Garcia (9, 29)",.9797,R
14,14.,"Giancarlo Stanton (11, 30)",.9797,R
15,16.,"Matthew Joyce (13, 35)",.9788,R
16,17.,"Matt Kemp (15, 35)",.9773,R
17,18.,"Justin Upton (14, 32)",.9690,R
