,Rank,"Player (yrs, age)",Total Zone Runs as OF (s.1953),Throws
0,1.,"Jason Heyward (11, 30)",147,L
1,2.,"Alex Gordon (14, 36)",119,R
2,3.,"Mookie Betts (7, 27)",68,R
3,4.,"Nick Markakis (15, 36)",63,L
4,5.,"Billy Hamilton (8, 29)",60,R
5,5.,"Giancarlo Stanton (11, 30)",60,R
6,7.,"Kevin Kiermaier (8, 30)",57,R
7,8.,"Lorenzo Cain (11, 34)",56,R
8,8.,"Max Kepler (6, 27)",56,L
9,10.,"Mike Trout (10, 28)",55,R
10,11.,"Aaron Judge (5, 28)",47,R
11,12.,"Manuel Margot (5, 25)",42,R
12,13.,"Byron Buxton (6, 26)",40,R
13,13.,"Brett Gardner (13, 36)",40,L
14,13.,"Juan Lagares (8, 31)",40,R
15,16.,"Ender Inciarte (7, 29)",39,L
16,17.,"Odubel Herrera (5, 28)",38,R
17,17.,"Jake Marisnick (8, 29)",38,R
18,19.,"Kevin Pillar (8, 31)",35,R
19,20.,"Kole Calhoun (9, 32)",33,L
20,21.,"Randal Grichuk (7, 28)",31,R
21,22.,"Jay Bruce (13, 33)",30,L
22,22.,"Starling Marte (9, 31)",30,R
23,24.,"George Springer (7, 30)",27,R
24,25.,"Nelson Cruz (16, 39)",26,R
25,26.,"Delino DeShields (6, 27)",24,R
26,26.,"Mallex Smith (5, 27)",24,R
27,28.,"Ronald Acuna Jr. (3, 22)",21,R
28,28.,"AJ Pollock (9, 32)",21,R
29,28.,"Justin Upton (14, 32)",21,R
30,31.,"Joey Gallo (6, 26)",20,R
31,31.,"Michael A. Taylor (7, 29)",20,R
32,33.,"Travis Jankowski (6, 29)",19,R
33,33.,"Josh Reddick (12, 33)",19,R
34,33.,"Christian Yelich (8, 28)",19,R
35,36.,"Mark Canha (6, 31)",18,R
36,36.,"David Peralta (7, 32)",18,L
37,36.,"Brett Phillips (4, 26)",18,R
38,39.,"Corey Dickerson (8, 31)",17,R
39,39.,"Anthony Santander (4, 25)",17,R
