,Rank,"Player (yrs, age)",Fielding % as OF,Throws
0,1.,"Jon Jay (11, 35)",.9958,L
1,2.,"Billy Hamilton (8, 29)",.9946,R
2,3.,"Alex Gordon (14, 36)",.9937,R
3,3.,"Nick Markakis (15, 36)",.9937,L
4,5.,"Mike Trout (10, 28)",.9932,R
5,6.,"Michael Brantley (12, 33)",.9931,L
6,7.,"Aaron Hicks (8, 30)",.9926,R
7,7.,"AJ Pollock (9, 32)",.9926,R
8,9.,"Brett Gardner (13, 36)",.9919,L
9,10.,"Tommy Pham (7, 32)",.9917,R
10,11.,"Max Kepler (6, 27)",.9911,L
11,11.,"Jake Marisnick (8, 29)",.9911,R
12,13.,"Joc Pederson (7, 28)",.9906,L
13,14.,"Christian Yelich (8, 28)",.9904,R
14,15.,"Mookie Betts (7, 27)",.9902,R
15,16.,"Jackie Bradley Jr. (8, 30)",.9901,R
16,17.,"Kevin Pillar (8, 31)",.9900,R
17,18.,"Michael A. Taylor (7, 29)",.9898,R
18,19.,"Randal Grichuk (7, 28)",.9897,R
19,20.,"Stephen Piscotty (6, 29)",.9896,R
20,21.,"Nomar Mazara (5, 25)",.9895,L
21,21.,"George Springer (7, 30)",.9895,R
22,23.,"Corey Dickerson (8, 31)",.9894,R
23,24.,"Michael Conforto (6, 27)",.9893,R
24,25.,"Ryan Braun (14, 36)",.9891,R
25,26.,"Andrew McCutchen (12, 33)",.9885,R
26,27.,"Jason Heyward (11, 30)",.9884,L
27,28.,"Charlie Blackmon (10, 33)",.9881,L
28,29.,"Cameron Maybin (14, 33)",.9879,R
29,30.,"Carlos Gonzalez (12, 34)",.9876,L
30,31.,"Ender Inciarte (7, 29)",.9872,L
31,31.,"Kevin Kiermaier (8, 30)",.9872,R
32,31.,"David Peralta (7, 32)",.9872,L
33,34.,"Odubel Herrera (5, 28)",.9870,R
34,35.,"Juan Lagares (8, 31)",.9862,R
35,36.,"Marcell Ozuna (8, 29)",.9858,R
36,37.,"Lorenzo Cain (11, 34)",.9854,R
37,38.,"Kole Calhoun (9, 32)",.9848,L
38,39.,"Adam Eaton (9, 31)",.9843,L
39,40.,"Dexter Fowler (13, 34)",.9840,R
