,Rank,"Player (yrs, age)",Replay Challenges
0,1.,"Joe Maddon (17, 66)",290
1,2.,"Kevin Cash (6, 42)",288
2,3.,"Don Mattingly (10, 59)",277
3,4.,"Terry Francona (20, 61)",232
4,5.,"Bob Melvin (17, 58)",215
5,6.,"Mike Matheny (8, 49)",207
6,7.,"Bud Black (13, 63)",187
7,7.,"Craig Counsell (6, 49)",187
8,9.,"Rick Renteria (5, 58)",175
9,10.,"Brian Snitker (5, 64)",169
10,11.,"Dave Roberts (6, 48)",164
11,12.,"Scott Servais (5, 53)",158
12,13.,"Joe Girardi (12, 55)",157
13,14.,"Torey Lovullo (4, 54)",137
14,15.,"Ron Gardenhire (16, 62)",123
15,16.,"Gabe Kapler (3, 44)",122
16,17.,"Dusty Baker (23, 71)",92
17,18.,"Dave Martinez (3, 55)",90
18,19.,"Lloyd McClendon (8, 61)",74
19,20.,"Rocco Baldelli (2, 38)",69
20,20.,"Aaron Boone (3, 47)",69
21,22.,"Charlie Montoyo (2, 54)",68
22,23.,"Chris Woodward (2, 44)",67
23,24.,"Mike Shildt (3, 51)",65
24,25.,"David Bell (2, 47)",57
25,26.,"Brandon Hyde (3, 46)",54
26,27.,"Ron Roenicke (6, 63)",53
27,28.,"Jayce Tingler (1, 39)",20
28,29.,"Luis Rojas (1, 38)",18
29,30.,"David Ross (1, 43)",17
30,31.,"Derek Shelton (1, 49)",10
