,Rank,"Player (yrs, age)",Successful Replay Challenges
0,1.,"Joe Maddon (17, 66)",154
1,2.,"Don Mattingly (10, 59)",145
2,3.,"Kevin Cash (6, 42)",131
3,4.,"Terry Francona (20, 61)",116
4,5.,"Joe Girardi (12, 55)",111
5,6.,"Bob Melvin (17, 58)",107
6,7.,"Mike Matheny (8, 49)",102
7,8.,"Bud Black (13, 63)",93
8,9.,"Dave Roberts (6, 48)",90
9,10.,"Rick Renteria (5, 58)",85
10,11.,"Craig Counsell (6, 49)",78
11,12.,"Scott Servais (5, 53)",75
12,12.,"Brian Snitker (5, 64)",75
13,14.,"Torey Lovullo (4, 54)",73
14,15.,"Ron Gardenhire (16, 62)",65
15,16.,"Gabe Kapler (3, 44)",61
16,17.,"Dave Martinez (3, 55)",50
17,18.,"Lloyd McClendon (8, 61)",48
18,19.,"Aaron Boone (3, 47)",46
19,20.,"Chris Woodward (2, 44)",40
20,21.,"Ron Roenicke (6, 63)",37
21,22.,"Dusty Baker (23, 71)",35
22,23.,"Mike Shildt (3, 51)",28
23,24.,"David Bell (2, 47)",25
24,25.,"Rocco Baldelli (2, 38)",23
25,25.,"Charlie Montoyo (2, 54)",23
26,27.,"Brandon Hyde (3, 46)",19
27,28.,"David Ross (1, 43)",10
28,29.,"Jayce Tingler (1, 39)",9
29,30.,"Luis Rojas (1, 38)",8
30,31.,"Derek Shelton (1, 49)",2
